"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","imagecode","phylum","class","order","typeStatus","individualCount"
"1","2020-11-04 10:54:43-03","ESALQ","ESA","140366","PreservedSpecimen","Plantae","Aristolochiaceae","Aristolochia","wendeliana","Aristolochia wendeliana","Hoehne","Gibau, A.","1.0","2016","07","17","Brasil","São Paulo","Rosana","Plantio de Restauração Ecológica, Duke Energy","-53.0499992370605","-22.5799999237061","49200","Liana. Perigônio externamente marrom-avermelhado e internamente verde-claro com linhas vinosas e lábio branco com ápice vinoso","ESA140366","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-16 08:38:23-03","UTFPR","HCF","24926","S","Plantae","Aristolochiaceae","Aristolochia","wendeliana","Aristolochia wendeliana","Hoehne","M.G. Caxambu","7988","2018","02","01","Brasil","PR","Nova Tebas","Estação Ecológica Municipal João Dasko","-51.839917","-24.446694",NA,"trepadeira volúvel, semi-ciófila. Flores com cálice verde listrado longitudinalmente com listras castanhas, corola de corolação avermelhada com fauce verde, pontilhada de castanho. Orla de floresta.",NA,NA,"M.G. Caxambu","2018","02","16","51°50'23,7 W","24°26'48,1 S","612","612",NA,NA,NA,NA,NA,NA,NA
"3","2019-08-16 08:38:23-03","UTFPR","HCF","4817","S","Plantae","Aristolochiaceae","Aristolochia","wendeliana","Aristolochia wendeliana","Hoehne","A.R. Silva","226","2007","02","16","Brasil","PR","Campo Mourão","Parque Estadual Lago Azul (PELA)","-52.312722","-24.101306",NA,"Trepadeira volúvel, a 1m do solo. Flores roxeadas.",NA,NA,"J. Cordeiro & E. Barboza","2007","05",NA,"52°18'45,8'' W","24°6'4,7'' S","602","602",NA,NA,NA,NA,NA,NA,NA
"4","2019-08-16 08:38:23-03","UTFPR","HCF","26571","S","Plantae","Aristolochiaceae","Aristolochia","wendeliana","Aristolochia wendeliana","Hoehne","L.B. Coleto",NA,"2018","09","09","Brasil","PR","Nova Londrina","Bosque","-52.978917","-22.754444",NA,"trepadeira volúvel, semi-ciófila. Frutos imaturos verdes.",NA,NA,"M.G. Caxambu","2018","11","19","52°58'44,1 W","22°45'16 S","944","944",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:13:39-03","MBM","MBM","54166","PreservedSpecimen","Plantae","Aristolochiaceae","Aristolochia","wendeliana","Aristolochia wendeliana","Hoehne","Hatschbach, G.","40214","1977","10","04","Brazil","Paraná","Cerro Azul","Boi Perdido","-49.261100769043","-24.823600769043","32006",NA,"MBM054166","auto","Hatschbach, G.",NA,NA,NA,NA,NA,NA,NA,"Southern America","MBM054166",NA,NA,NA,NA,NA
"6","2020-12-21 16:13:39-03","MBM","MBM","54165","PreservedSpecimen","Plantae","Aristolochiaceae","Aristolochia","wendeliana","Aristolochia wendeliana","Hoehne","Hatschbach, G.","39884","1977","05","03","Brazil","Paraná","Cerro Azul","Morro Grande","-49.261100769043","-24.823600769043","32006",NA,"MBM054165","auto","Hatschbach, G.",NA,NA,NA,NA,NA,NA,NA,"Southern America","MBM054165",NA,NA,NA,NA,NA
"7","2020-12-21 16:13:39-03","MBM","MBM","269613","PreservedSpecimen","Plantae","Aristolochiaceae","Aristolochia","wendeliana","Aristolochia wendeliana","Hoehne","Tessmann, G.","2781","1947","12",NA,"Brazil","Paraná","Piraquara","Florestal","-49.0633010864258","-25.4416999816895","12577",NA,"MBM269613","auto","Tessmann, G.",NA,NA,NA,NA,NA,NA,NA,"Southern America","MBM269613",NA,NA,NA,NA,NA
"8","2020-12-11 11:32:07-03","UFMG","BHCB","163464","PreservedSpecimen","Plantae","Aristolochiaceae","Aristolochia","wendeliana","Aristolochia wendeliana","Hoehne","Paula, LFA de; Augsten, M","366","2011","04","16","Brasil","Minas Gerais","Teófilo Otoni","MG-418, Lado esquerdo da rodovia, cerca de 30 km norte de Teófilo Otoni","-41.260833","-17.856111",NA,"Borda de mata. Afloramento rochoso","BHCB007018",NA,NA,NA,NA,NA,"-41.260833","-17.856111","546","546","Southern America",NA,"Dicotyledon",NA,NA,NA,NA
"9","2020-12-11 11:32:07-03","UFMG","BHCB","76244","PreservedSpecimen","Plantae","Aristolochiaceae","Aristolochia","wendeliana","Aristolochia wendeliana","Hoehne","Hatschbach, G; Ribas, OS; Barbosa, E","72305","2001","08","26","Brasil","Paraná","Roncador","Rodovia PR 460, Próximo ao rio Muquilão","-52.2750015258789","-24.6028003692627","31309","Volúvel, flor bordô; Orla da mata","BHCB011285","auto",NA,"2013","11","13",NA,NA,NA,NA,"Southern America",NA,"Dicotyledon",NA,NA,NA,NA
"10","2021-02-11 17:17:56-03","UFPR","UPCB","65288","PreservedSpecimen","Plantae","Aristolochiaceae","Aristolochia","wendeliana","Aristolochia wendeliana","Hoehne","Nascimento, D.S.","268B","2008","02","14","Brasil","Paraná","Curitiba","Jardim Botânico Municipal.","-49.2731018066406","-25.4277992248535","25180",NA,NA,"auto","Nascimento, D.S.","2008","01","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-02-11 17:17:56-03","UFPR","UPCB","65287","PreservedSpecimen","Plantae","Aristolochiaceae","Aristolochia","wendeliana","Aristolochia wendeliana","Hoehne","Nascimento, D.S.","263","2007","03","23","Brasil","Paraná","Jundiaí do Sul","Fazenda Monte Verde.","-50.247501373291","-23.4367008209229","17300",NA,NA,"auto","Nascimento, D.S.","2007","01","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-09-12 05:00:02-03","US","US","2562789","PreservedSpecimen","Plantae","Aristolochiaceae","Aristolochia","wendeliana","Aristolochia wendeliana","Hoehne","F. C. Hoehne & A. Gehrt","39546","1938","8",NA,"Brazil","São Paulo",NA,"Sitio da Saudade; (flowere Bot. de Sao Paulo).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America - Neotropics",NA,NA,"Dicotyledonae","Aristolochiales","Isotype","1"
"13","2021-01-07 17:28:34-03","USP","SPF","71760","PreservedSpecimen","Plantae","Aristolochiaceae","Aristolochia","wendeliana","Aristolochia wendeliana","Hoehne","Hoehne, FC; Gehrt, A","s.n.","1938","12",NA,"Brasil","São Paulo",NA,"Entre Botucatú e Conchas, Sítio da Saudade.",NA,NA,NA,"Em terrendo cultivado de milho. Flores castanhas. Cultivada no Jardim Botânico de São Paulo.","SPF00071760",NA,"Hoehne, FC","1939",NA,NA,NA,NA,NA,NA,NA,"SPF00071760",NA,NA,NA,"isotype",NA
"14","2019-09-07 18:49:15-03","UEM","HUEM","35430","S","Plantae","Aristolochiaceae","Aristolochia","wendeliana","Aristolochia wendeliana","Hoehne","Rosado","901","2019","07","02","Brasil","Paraná","Maringá","Horto Florestal Dr. Luiz Teixeira Mendes., Borda, enrolada na cerca.","-51.968333","-23.435",NA,"Trepadeira. Botões florais e flores vináceos; frutos imaturos verdes.","HUEM000021193",NA,"Rosado","2019","08",NA,"-51.968333","-23.435",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 17:28:31-03","UEM","HUEM","9534","S","Plantae","Aristolochiaceae","Aristolochia","wendeliana","Aristolochia wendeliana","Hoehne","Janunzzi, AM; et al.","460","2002","09","07","Brasil","Paraná","Diamante do Norte","Estação Ecológica do Caiuá, Trilha da Cachoeira","-52.822778","-22.599167",NA,"trepadeira, folha partida. Fruto verde com 6 carpelos. Presença de gavinhas.","HUEM000000975",NA,"Juliana S. Carneiro","2006",NA,NA,"-52.822778","-22.599167","265","367",NA,"HUEM000000975",NA,NA,NA,NA,NA
"16","2020-11-12 17:02:19-03","UEL","FUEL","38523","PreservedSpecimen","Plantae","Aristolochiaceae","Aristolochia","wendeliana","Aristolochia wendeliana","Hoehne","Juliana S. Carneiro; et al.","356","2005","04","15","Brasil","Paraná","Lupionópolis","R.P.P.N. Mata São Pedro","-51.701667","-22.688333",NA,NA,NA,NA,NA,NA,NA,NA,"-51.701667","-22.688333",NA,NA,NA,NA,"Tracheophyta",NA,"Piperales",NA,NA
