"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","typeStatus","eventTime","individualCount","yearIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","573621","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Stachytarpheta","almasensis","Stachytarpheta almasensis","Mansf.","S. Atkins","R. M. Harley","26559","1988","12","02","South America","Brazil","Bahia","Rio de Contas","Pico das Almas. Vertente leste. Vale ao sudeste do Campo do Queiroz","-41.95","-13.53","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=152549' target='other'> <mi>dwc_moreinfo</mi></a>","NY00573621","NY00573621_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:48:34-03","UFJF","CESJ","30185","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Stachytarpheta","almasensis","Stachytarpheta almasensis","Mansf.",NA,"R.M.Harley; et al.","26559","1988","12","02","América do Sul","Brasil","Bahia","Rio de Contas","Pico das Almas, Vertente leste. Vale do sudoeste do Campo do Queiroz. Em solo arenoso-graminoso, entre rochas. Elev.: 1500 m","-41.8114013671875","-13.5789003372192",NA,NA,NA,"Subarbusto, ca. 80 cm alt. Brácteas verde-claro com ápice vermelho. Flor completamente vermelho-brilhante com estilete e estigma alvos. Ramos verde-claro.","CESJ030185",NA,"49773","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2014-10-14 15:56:43-03","BS","M","M-0111813","S","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Stachytarpheta","almasensis","Stachytarpheta almasensis","Mansf.",NA,"Luetzelburg, P. von",NA,"1913","12","31",NA,"Brasil",NA,NA,"Brasilia: Bahia. Serra das Almas. Carrasco.",NA,NA,NA,NA,NA,NA,"M0111813",NA,NA,NA,"Magnoliopsida","PARATYPE","21:00",NA,NA,NA,NA,NA,NA
"4","2014-10-14 15:56:41-03","BS","M","M-0111812","S","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Stachytarpheta","almasensis","Stachytarpheta almasensis","Mansf.",NA,"Luetzelburg, P. von",NA,"1913","12","31",NA,"Brasil",NA,NA,"Brasilia: Bahia. Serra das Almas. Carrasco.",NA,NA,NA,NA,NA,NA,"M0111812",NA,NA,NA,"Magnoliopsida","ISOTYPE","21:00",NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:47:15-03","MBM","MBM","71488","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","almasensis","Stachytarpheta almasensis","Mansf.","Moldenke, H.N.","Schwarz, E.A.; et al.; et al.","2","1980","08","30","Southern America","Brazil","Distrito Federal",NA,"Região Palma, próximo a Rod. DF-5",NA,NA,NA,NA,NA,NA,"MBM071488","MBM071488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-21 17:12:00-03","MO","MOBOT","100224289","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","almasensis","Stachytarpheta almasensis","Mansf.","S. Atkins (K)","Ph. von Lützelburg","Lützelburg 253","1914",NA,NA,"South America","Brazil","Bahia",NA,"Serra das Almas",NA,NA,"1600.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"Lectotype",NA,"1",NA,NA,NA,NA,NA
"7","2015-08-13 05:50:00-03","MO","MOBOT","2896750","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","almasensis","Stachytarpheta almasensis","Mansf.","S.Atkins (K)","R.M. Harley|David J.N. Hind|Renato de Mello-Silva|I. Cordeiro|Lucia Rossi","Harley 26559","1988","12","2","South America","Brazil","Bahia",NA,"mun.: Rio de Contas. Pio das Almas. Vertente leste. Vale ao sudeste do Campo do Quiroz. Em solo arenoso-graminoso, entre rochas","-41.95","-13.5333333","1500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2931997","PreservedSpecimen","Plantae",NA,"Lamiales","Verbenaceae","Stachytarpheta","almasensis","Stachytarpheta almasensis","Mansf.",NA,"E. Schwarz & O. L. Bueno","2","1980","8","30","South America","Brazil",NA,NA,"Região Palma, prox. a Rod. DF-5, DF.",NA,NA,NA,NA,NA,NA,"US03201709","US03201709_01",NA,NA,"Dicotyledonae",NA,NA,"1",NA,NA,NA,NA,NA
"9","2019-11-13 11:32:53-03","USP","SPF","82416","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","almasensis","Stachytarpheta almasensis","Mansf.","Atkins, S","Ganev, W","2061","1993","08","09",NA,"Brasil","Bahia","Rio de Contas","Serra dos Brejões.","-42.4","-13.816667","1400","1400",NA,NA,"SPF00082416","SPF00082416",NA,NA,NA,NA,NA,NA,"1997","-42.4","-13.816667",NA,NA
"10","2019-11-13 11:32:53-03","USP","SPF","80600","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Stachytarpheta","almasensis","Stachytarpheta almasensis","Mansf.","Anônimo","Harley, RM","26559","1988","12","02",NA,"Brasil","Bahia","Rio de Contas","Pico das Almas","-41.95","-13.533333","1500","1500",NA,NA,"SPF00080600","SPF00080600",NA,NA,NA,NA,NA,NA,NA,"-41.95","-13.533333",NA,NA
"11","2019-10-07 09:17:22-03","UEFS","HUEFS","227126","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Verbenaceae","Stachytarpheta","almasensis","Stachytarpheta almasensis","Mansf.",NA,"Lima, A.Q.","115","2015","01","27",NA,"Brasil","Bahia","Rio de Contas","Subida para o Pico das Almas, depois do Campo Queiroz-Chapada Diamantina.","-41.964167","-13.526389","1724","1724",NA,"Campo limpo.","HUEFS0227126",NA,NA,NA,"Asteranae",NA,NA,NA,NA,"41W57'51''","13S31'35''",NA,NA
"12","2019-10-07 09:17:22-03","UEFS","HUEFS","42225","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Verbenaceae","Stachytarpheta","almasensis","Stachytarpheta almasensis","Mansf.",NA,"Luetzelburg","253","1914",NA,NA,NA,"Brasil","Bahia","Rio de Contas","Serra das Almas.","-41.95","-13.55","1600","1600",NA,"Carrasco.","HUEFS0042225",NA,NA,NA,"Asteranae",NA,NA,NA,NA,"41W57'","13S33'",NA,NA
