"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","locality","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","fieldNumber","continentOcean","sex","preparationType"
"1","2021-03-05 16:09:37-03","MN","R-TIPOS","32483","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","vulpinoidea","Vriesea vulpinoidea","L.B. Sm.","Smith, L.B.","1964","10","01","Isotypus","Foster, M.B. ; Foster, R.","356","1939","08","15","Brasil","São Paulo","Estacion Florestal","R000032483","R000032483_001",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 10:02:55-03","IBt","SP","441791","S","Plantae","Bromeliaceae","Vriesea","vulpinoidea","Vriesea vulpinoidea","L.B.Sm.","Araújo, CC","2011","10","27",NA,"Araújo, CC","10","2011","10","01","Brasil","São Paulo","Parque Estadual da Cantareira, Núcleo Cabuçu. Trilha da cachoeira","SP053518","SP053518","Guarulhos","-46.5299987792969","-23.4599990844727","26398","auto",NA,NA,NA,NA
"3","2010-08-16 16:43:08-03","GH","HU-HERB","GH 00029539","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","vulpinoidea","Vriesea vulpinoidea","L. B. Smith",NA,NA,NA,NA,"Type","M. B. Foster & R. Foster","356","1939","8","15","Brazil","São Paulo","Estacion, Florestal",NA,NA,NA,NA,NA,NA,NA,"356","South America","undetermined","Sheet"
