"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","year","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","identifiedBy","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","class","coordinatePrecision","geoFlag","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2020-09-23 10:40:56-03","E","E","259180","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","breviscapa","Utricularia breviscapa","isotype","Spruce, Richard","E. Tropical South America","BR","Pará","In the vicinity of Santarem","herbarium specimen of unspecif","BGBASE:266456","<a href=http://data.rbge.org.uk/herb/E00259180 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:56-03","E","E","259179","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","breviscapa","Utricularia breviscapa","isotype","Spruce, Richard","E. Tropical South America","BR","Pará","In the vicinity of Santarem","herbarium specimen of unspecif","BGBASE:266455","<a href=http://data.rbge.org.uk/herb/E00259179 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01173356","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","breviscapa","Utricularia breviscapa",NA,"B. V. Rabelo","South America","Brazil","Amapá",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388405' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173356","Magnoliophyta","Lamiales","C.Wright ex Griseb.","601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","04207903","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","breviscapa","Utricularia breviscapa",NA,"N. Ritter","South America","Bolivia","Santa Cruz","Parque Nacional Noel Kempff Mercado. Arroyo El Tigre","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4565962' target='other'> <mi>dwc_moreinfo</mi></a>","NY04207903","Magnoliophyta","Lamiales","C.Wright ex Griseb.","3547","1996","08","13","José Miguel de Velasco","-61.1508","-14.4697","210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01173357","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","breviscapa","Utricularia breviscapa",NA,"C. A. Cid Ferreira","South America","Brazil","Pará","Rio Trombetas, margem esquerda, Lago Erepecu.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388417' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173357","Magnoliophyta","Lamiales","C.Wright ex Griseb.","1576","1980","07","17","Oriximiná","-56.5784955","-1.3418401",NA,"P. G. Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01173358","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","breviscapa","Utricularia breviscapa",NA,"M. L. Alencar","South America","Brazil","Amazonas","Between São Tomé and Temendaui","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388421' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173358","Magnoliophyta","Lamiales","C.Wright ex Griseb.","224","1979","06","29",NA,"-64.542","-0.5",NA,"P. G. Taylor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","04207904","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","breviscapa","Utricularia breviscapa",NA,"J. A. Steyermark","South America","Venezuela","Amazonas","Raudales de Atures, 10 km. South of Puerto Auacucho, downstream along Río Orinoco, backwater swamps and vicinity of igneous rocks","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4565969' target='other'> <mi>dwc_moreinfo</mi></a>","NY04207904","Magnoliophyta","Lamiales","C.Wright ex Griseb.","131499","1985","09","06","Atures","-67.57","5.58","75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","312435","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","quinqueradiata","Utricularia quinqueradiata","isotype","R. Spruce","South America","Brazil","Pará","Prope Santarem","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=371464' target='other'> <mi>dwc_moreinfo</mi></a>","NY00312435","Magnoliophyta","Lamiales","Spruce ex Oliv.","s.n.","1850","08",NA,NA,"-54.740486","-2.449614",NA,NA,"NY00312435_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","312434","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","quinqueradiata","Utricularia quinqueradiata","isotype","R. Spruce","South America","Brazil","Pará","In vicinibus Santarem.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=371463' target='other'> <mi>dwc_moreinfo</mi></a>","NY00312434","Magnoliophyta","Lamiales","Spruce ex Oliv.","s.n.","1850","08",NA,NA,NA,NA,NA,NA,"NY00312434_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-09-10 21:43:16-03","UNEMAT","TANG","1830","S","Plantae","Lentibulariaceae","Utricularia","breviscapa","Utricularia breviscapa",NA,"Abdo, MSA",NA,"Brasil","Mato Grosso","Baía Dona Maria, Baia de origem do alargamento de um córrego que desgua no rio Alegre, e possui um grande batume interrompendo a navegação.",NA,NA,NA,"TANG000001830",NA,NA,"C.Wright ex Griseb.","116","2012","06","29","VBS Trindade","-59.975806","-15.048889",NA,"Abdo, MSA",NA,"2012","07","05","-59.975806","-15.048889",NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-08-23 09:17:15-03","UNEMAT","TANG","1799","S","Plantae","Lentibulariaceae","Utricularia","breviscapa","Utricularia breviscapa",NA,"Abdo, MSA",NA,"Brasil","Mato Grosso","Baía Dona Maria, Baia de origem do alargamento de um córrego que desgua no rio Alegre, e possui um grande batume interrompendo a navegação.",NA,NA,NA,"TANG000001799",NA,NA,"C.Wright ex Griseb.","97","2012","06","02","VBS Trindade","-59.960286","-14.999242",NA,"Abdo, MSA",NA,"2012","06","20","-59.960286","-14.999242",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-09-10 21:43:16-03","UNEMAT","TANG","4665","S","Plantae","Lentibulariaceae","Utricularia","breviscapa","Utricularia breviscapa",NA,"Engels, ME; Freitas, JAO; Silva, LS",NA,"Brasil","Mato Grosso","Resgate de flora da UHE Colíder., Floresta do Planalto dos Parecis, região de ecótono entre a Floresta Amazônica e Cerrado.",NA,NA,NA,"TANG000004665",NA,NA,"C.Wright ex Griseb.","5144","2017","04","10","Itaúba","-55.726047","-11.222308","265","Engels, ME",NA,"2017","04","10","-55.726047","-11.222308","265",NA,NA,NA,NA,NA,NA,NA
