"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","class","yearIdentified","typeStatus","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","monthIdentified","dayIdentified","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","01096505","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","kleinii","Merostachys kleinii","Send.","R. Vinícius-Silva","G. G. Hatschbach","33561","1973","12","20","South America","Brazil","Paraná","Mun. 4-Barras, Rio Timbú.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1238692' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096505","NY01096505_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01096506","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","kleinii","Merostachys kleinii","Send.","R. Vinícius-Silva","R. Kummrow","154","1973","11","23","South America","Brazil","Paraná","Rio Itararé","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1238693' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096506","NY01096506_01","Guaratuba","-48.5744","-25.8831",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:26:00-03","IAP","PACA-AGP","66921","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Merostachys","kleinii","Merostachys kleinii","Sendulsky","Smith","R. M. Klein","11062","1974","01","22",NA,"Brasil","SC","2 km ao leste de Bocaina do Sul.",NA,"Conforme Novon, volume 5, Number 1, 1995, p.84-86. Habitat: mata de araucária Fenofase: fruto","PACA066921","PACA066921","Lages","-50.326099395752","-27.8160991668701","Liliatae","1976","Paratipo","70701","900","900","auto",NA,NA,NA,NA,NA
"4","2019-12-09 15:31:01-03","UNICAMP","UEC","17018","S","Plantae","Liliopsida",NA,"Poaceae","Merostachys","kleinii","Merostachys kleinii","Send.",NA,"Kummrow, R","154","1973","11","23",NA,"Brazil","Paraná","Rio Itararé, Em mata.",NA,"Caespitosa, 6m.","UEC096787","UEC096787","Guaratuba","-48.5746994018555","-25.8827991485596",NA,NA,NA,"41937",NA,NA,"auto",NA,NA,NA,NA,NA
"5","2020-12-21 16:40:34-03","MBM","MBM","300513","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Merostachys","kleinii","Merostachys kleinii","Send.","Lizarazu, M.","Budziak, C.; Abe, L.M.; Abe, L.M.","44","2004","12","16","Southern America","Brazil","Paraná","Passa Vinte",NA,"Cespitosa. No aracaurieto floresce a cada 12 - 15 anos.; Na beira da estrada, próximo ao charco.","MBM300513","MBM300513","Bocaiúva do Sul","-49.1150016784668","-25.2061004638672",NA,"2011",NA,"61623",NA,NA,"auto","04","08",NA,NA,NA
"6","2010-11-13 04:25:00-02","MO","MOBOT","2481773","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Merostachys","kleinii","Merostachys kleinii","Send.","Judziewicz, E. J.","Roberto M. Klein","Klein 11008","1974","1","16","South America","Brazil","Santa Catarina","Papanduva, E.R.F., 1 km ao sul da entrada para Papanduva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"800.00000000",NA,NA,NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","2694121","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","kleinii","Merostachys kleinii","Send.","Vinicius-Silva, R.","R. Kummrow","154","1973","11","23","South America","Brazil","Paraná","Rio itarare",NA,NA,"US00026430","US00026430_01","Guaratuba","-48.5746994018555","-25.8827991485596","Monocotyledonae",NA,NA,"41937",NA,NA,"auto",NA,NA,"1",NA,NA
"8","2020-09-12 05:00:02-03","US","US","2773099","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","kleinii","Merostachys kleinii","Send.","Sendulsky, T.","R. M. Klein & M. M. Klein","11008","1974","1","16","South America","Brazil","Santa Catarina","E.R.F., 1 km ao sul da Entrada para Papanduva, Papanduva.",NA,"Holotype at RB.","US00026434","US00026434_01",NA,NA,NA,"Monocotyledonae",NA,"Isotype",NA,"800",NA,NA,NA,NA,"1",NA,NA
"9","2020-09-12 05:00:02-03","US","US","2773043","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","kleinii","Merostachys kleinii","Send.",NA,"R. M. Klein & M. M. Klein","11062","1974","1","22","South America","Brazil","Santa Catarina","Bocaina do sul, lajes",NA,NA,"US00028684","US00028684_01",NA,NA,NA,"Monocotyledonae",NA,NA,NA,"900","900",NA,NA,NA,"1",NA,NA
"10","2020-08-20 14:59:47-03","UFSC","FLOR","4389","PreservedSpecimen","Plantae",NA,"Poales","Poaceae","Merostachys","kleinii","Merostachys kleinii","Send.","Lizarazu, M.","Klein, R.M.; Bresolin, A.","10682","1973","01","16",NA,"Brasil","Santa Catarina","Águas Mornas.",NA,"verifica-se intensas frutificações.","FLOR0004389",NA,"Imaruí","-48.8199996948242","-28.3414001464844",NA,"2011",NA,"29971","450","450","auto","04","04",NA,NA,NA
