"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:37-03","UNESC","CRI","14541","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","eugenioides","Campomanesia eugenioides","(Cambess.) D.Legrand ex Landrum","Sobral, M.","2015","07","10","Korte, A.; Kniess, A.","4801","2010","10","27","Brasil","Santa Catarina","Major Vieira","Rio da Serra","-50.4","-26.64","50º24'0''W","26º38'24''S","1009","1009","Flor branca Doação FURB 32189 Habito: arbusto","CRI013687","CRI013687",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:47-03","E","E","285758","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","eugenioides","Campomanesia eugenioides",NA,NA,NA,NA,NA,"Martius",NA,"1904","12","31","BR","Bahia",NA,"Desert.",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00285758 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285758",NA,"possible type","E. Tropical South America","herbarium specimen of unspecif","BGBASE:297231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1181445","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","eugenioides","Campomanesia eugenioides","(Cambess.) D.Legrand",NA,NA,NA,NA,"R. D. Ribeiro","1063","2008","12","06","Brazil","Rio de Janeiro","Rio das Ostras","Mar do Norte. Balneário das Garças, área com remanescentes sobre morrotes.","-41.9447","-22.5269",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1370090' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181445","NY01181445_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1145855","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","eugenioides","Campomanesia eugenioides","(Cambess.) D.Legrand","P. G. Delprete",NA,NA,NA,"P. G. Delprete","9377","2005","12","10","Brazil","Goiás","Cocalzinho de Goiás","Parque Estadual dos Pireneus. Area de cerrado perto do portal da Fazenda Capitão do Mato, em direção do morro.","-48.8153","-15.8081",NA,NA,"1230","1230","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1322257' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145855","NY01145855_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1183961","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","eugenioides","Campomanesia eugenioides","(Cambess.) D.Legrand","M. C. de Souza",NA,NA,NA,"M. C. Souza","573","2008","01","12","Brazil","Espírito Santo","Nova Venécia","Pedra do Elefante.","-40.4614","-18.7647",NA,NA,"165","165","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1459035' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183961","NY01183961_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1737862","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","eugenioides","Campomanesia eugenioides","(Cambess.) D.Legrand","B. S. Amorim; A. R. L. Lourenço",NA,NA,NA,"B. S. Amorim","1380","2012","01","12","Brazil","Pernambuco","Triunfo","Pico do Papagaio.","-38.0558","-7.8228",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1946084' target='other'> <mi>dwc_moreinfo</mi></a>","NY01737862","NY01737862_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","561432","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","eugenioides","Campomanesia eugenioides","(Cambess.) D.Legrand","M. Sobral",NA,NA,NA,"K. Andrade","291","1996","01","12","Brazil","Pernambuco","Buíque","Sopé da Serra.","-37.1542","-8.625",NA,NA,"799","799","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479671' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561432","NY00561432_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1039343","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","eugenioides","Campomanesia eugenioides","(Cambess.) D.Legrand",NA,NA,NA,NA,"J. M. Pires","s.n.","2007","11","24","Brazil","Rio de Janeiro","Rio das Ostras","Reserva Biologica União, parcela permanente, gasoduto 3, ind. 801.","-42.0372","-22.4583",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485573' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039343","NY01039343_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1039344","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","eugenioides","Campomanesia eugenioides","(Cambess.) D.Legrand",NA,NA,NA,NA,"J. M. Pires","s.n.","2007","11","24","Brazil","Rio de Janeiro","Rio das Ostras","Reserva Biologica União, parcela permanente, gasoduto 3, ind. 801.","-42.0372","-22.4583",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485577' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039344","NY01039344_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","567189","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","eugenioides","Campomanesia eugenioides eugenioides","(Cambess.) D.Legrand","L. R. Landrum",NA,NA,NA,"G. Eiten","10021","1969","12","26","Brazil","Tocantins","Gurupi","South side of city of GURUPI. On west side of Belém-Brasília highway across from Rodobrás station.","-49.07","-11.73",NA,NA,NA,NA,"(Specimens of this number taken from 3 plants.) <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707908' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567189","NY00567189_01",NA,"South America","sheet",NA,"Magnoliophyta","Myrtales","eugenioides",NA,NA,NA,NA,NA,NA,NA
