"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","class","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","dayIdentified","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1738437","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","willdenowii","Miconia willdenowii","Klotzsch","M. K. Caddah","M. K. Caddah","826","2011","02","04","South America","Brazil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi. Floresta secundária, próximo à canga.","-43.51192","-20.44297","1350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568278' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738437","NY01738437_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","685445","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","willdenowii","Miconia willdenowii","Klotzsch","R. Goldenberg","R. Goldenberg","805","2005","10","26","South America","Brazil","Paraná","Morretes","Parque Estadual do Pico Marumbi, Morro do Facãozinho","-48.943119","-25.423502","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=894885' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685445","NY00685445_01","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","522416","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","willdenowii","Miconia willdenowii","Klotzsch",NA,"J. B. E. Pohl","3580",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"Inter Fazenda Caccaes et Villa Itambe",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=370798' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522416","NY00522416_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","685446","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","willdenowii","Miconia willdenowii","Klotzsch","R. Goldenberg","R. Goldenberg","737","2005","10","17","South America","Brazil","Paraná","Tunas do Paraná","Estrada Tunas - Parque das Lauráceas","-49.0856","-24.9744",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=894886' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685446","NY00685446_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","522415","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","willdenowii","Miconia willdenowii","Klotzsch",NA,"D. Lemos","7529","1921","09","12","South America","Brazil","São Paulo","Ribeirao Pires","Alto da Serra","-46.4097","-23.71",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=370797' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522415","NY00522415_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01318319","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","willdenowii","Miconia willdenowii","Klotzsch","M. K. Caddah","M. K. Caddah","757","2010","01","22","South America","Brazil","Rio de Janeiro","Nova Friburgo","Casa do Seu David Müller","-42.498333","-22.373611","1470","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305644' target='other'> <mi>dwc_moreinfo</mi></a>","NY01318319","NY01318319_01","1470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1144939","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","willdenowii","Miconia willdenowii","Klotzsch",NA,"A. F. M. Glaziou","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1301133' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144939","NY01144939_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1738457","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","willdenowii","Miconia willdenowii","Klotzsch","M. K. Caddah","M. K. Caddah","863","2011","02","10","South America","Brazil","Rio de Janeiro","Santa Maria Madalena","Pico do Desengano. Trilha para o Alto.","-41.9112","-21.89375","1470","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568353' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738457","NY01738457_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01318252","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","willdenowii","Miconia willdenowii","Klotzsch","M. Reginato","M. Reginato","760","2006","12","22","South America","Brazil","Paraná","Morretes","Parque Estadual do Marumbi, Facãozinho.","-48.948337","-25.417512",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1727715' target='other'> <mi>dwc_moreinfo</mi></a>","NY01318252","NY01318252_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:03:31-03","NBC","NL-BOTANY","L.2550446","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","argyraea","Miconia argyraea","Cogn.",NA,"Glaziou AFM",NA,"1888","01","01","Southern America","Brazil",NA,NA,"Prov. Rio de Janeiro.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2550446 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2550446","NL-L2550446",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
