"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","relatedCatalogItem","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","individualCount","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","428069","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Couepia","cidiana","Couepia cidiana","Prance","isotype","C. A. Cid Ferreira","2261","1908","07","09","South America","Brazil","Pará","Oriximiná","Rio Paru do Oeste, margem esquerda da cachoiera Chuvisco","-56.0783","-0.9997","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=19870' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428069","NY00428069_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:45:17-03","NBC","NL-BOTANY","U 0001062","PreservedSpecimen","Plantae",NA,"Malpighiales","Chrysobalanaceae","Couepia","cidiana","Couepia cidiana","Prance","isotype","Cid Ferreira CA; Ramos J; Mota CD; Rosas N",NA,"1980","09","07","Southern America","Brazil","Pará",NA,"Planta do ParáMunicípio de Oriximiná, rio Paru do Oeste, margem esquerda da cachoeira Chuvisco.",NA,NA,NA,"Mata de terra firme<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200001062 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0001062","NL-U0001062","Magnoliopsidae","Prance GT","453738 B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-08-31 09:00:44-03","INPA","INPA","96502","S","Plantae","Dicotyledon Com-Clade","Malpighiales","Chrysobalanaceae","Couepia","cidiana","Couepia cidiana","Prance","holotype","Ferreira, CAC","2261","1980","09","07","Southern America","Brasil","Pará","Oriximiná","Rio Paru do Oeste, Rio Parus do Oeste, cachoeira Chuvisco.","-56.0783","-0.9997",NA,NA,"INPA0096502","INPA0096502 INPA0096502_e INPA0096502_e1",NA,"Prance, GT",NA,"1982","01","-56.0783","-0.9997",NA,NA,NA,NA,NA,NA
"4","2021-01-10 20:45:02-03","INPA","INPA","101648","S","Plantae","Dicotyledon Com-Clade","Malpighiales","Chrysobalanaceae","Couepia","cidiana","Couepia cidiana","Prance","paratype","Martinelli, G","7052","1980","06","22","Southern America","Brasil","Pará","Oriximinã","Serra do Cachorro, Rio Cachorro, Serra do Cachorro, 16 km NW de Cachoeira Porteira. Mata de terra firme.","-57.254286","-1.570322",NA,NA,"INPA0101648","INPA0101648 INPA0101648_e INPA0101648_e1",NA,"Prance, GT",NA,"1987","01","-57.254286","-1.570322","21","80","80",NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","2985757","PreservedSpecimen","Plantae",NA,"Rosales","Rosaceae","Couepia","cidiana","Couepia cidiana","Prance","Isotype","C. A. Cid Ferreira","2261","1980","7","9","South America - Neotropics","Brazil","Pará","Oriximiná","Rio Paru do Oeste.","-55.8661003112793","-1.76556003093719",NA,NA,"US00130921","US00130921_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"479450","1","auto"
