"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","typeStatus","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","885500","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lepidaploa","lilacina","Lepidaploa lilacina","(Mart. ex DC.) H.Rob.","R. M. Harley","22883","1980","05","31","South America","Brazil","Bahia","Morro do Chapéu","Rio do Ferro Doido, 19.5 km SE of Morro do CHapeu on the BA 052 highway to Mundo Novo. D6.","-41.03","-11.63","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998209' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","885498","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lepidaploa","lilacina","Lepidaploa lilacina","(Mart. ex DC.) H.Rob.","H. S. Irwin","31133","1971","02","26","South America","Brazil","Bahia",NA,"Serra da Agua de Rega, at margin of Rio Riachão, ca. 27 km N. of Seabra, road to Agua de Rega","-41.7786111","-12.1919","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998194' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","802867","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lepidaploa","lilacina","Lepidaploa lilacina","(Mart. ex DC.) H.Rob.","S. A. Mori","13577","1980","03","24","South America","Brazil","Bahia",NA,"Agua Quente. Pico das Almas, a 17 km ao NW de Rio de Contas.",NA,NA,"1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800406' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802867","NY00802867_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","859531","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lepidaploa","lilacina","Lepidaploa lilacina","(Mart. ex DC.) H.Rob.","A. M. V. de Carvalho","6553","1998","08","02","South America","Brazil","Minas Gerais","Grão Mogol","Atrás da cidade. Trilha do Barão.","-42.895","-16.5517",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959438' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859531","NY00859531_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","859528","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lepidaploa","lilacina","Lepidaploa lilacina","(Mart. ex DC.) H.Rob.","H. S. Irwin","20649","1968","02","23","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, at Lapinha, ca. 18km N. of Sêrro on road (MG 2) to Diamantina.","-43.55","-18.55","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959432' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859528","NY00859528_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","802870","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lepidaploa","lilacina","Lepidaploa lilacina","(Mart. ex DC.) H.Rob.","S. A. Mori","14544","1981","06","18","South America","Brazil","Bahia","Morro do Chapéu","BR052, 4-6 km E of Morro do Chapeu.","-41.156","-11.55039","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802870","NY00802870_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","859530","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lepidaploa","lilacina","Lepidaploa lilacina","(Mart. ex DC.) H.Rob.","W. R. Anderson","8920","1973","04","14","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, 3.5 km by road SW of Rio Jequití and Mendanha","-43.52338","-18.12236","880","880","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959437' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859530","NY00859530_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","859532","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lepidaploa","lilacina","Lepidaploa lilacina","(Mart. ex DC.) H.Rob.","T. M. Koyama","13891","1970","03","20","South America","Brazil","Minas Gerais",NA,"Road between Serro and Diamantina, 32 km SSE of Datas.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959441' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859532","NY00859532_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","802869","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lepidaploa","lilacina","Lepidaploa lilacina","(Mart. ex DC.) H.Rob.","S. A. Mori","14533","1981","06","18","South America","Brazil","Bahia","Morro do Chapéu","BR052, 4-6 km E of Morro do Chapeu.","-41.156","-11.55039","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800408' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802869","NY00802869_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","859529","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lepidaploa","lilacina","Lepidaploa lilacina","(Mart. ex DC.) H.Rob.","H. S. Irwin","27852","1970","03","18","South America","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço, Ca. 18 km E. of Diamantina","-43.5367","-18.1838","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959436' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859529","NY00859529_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
