"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","class","order","day","continentOcean","locality","occurrenceRemarks","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","preparationType","individualCount","sex"
"1","2019-12-04 15:26:39-03","PUCPR","HUCP","24599","S","Plantae","Monocotiledonea","Orchidaceae","Zootrophion","atropurpureum","Zootrophion atropurpureum","(Lindl.) Luer","Smidt, EC","2016","02","Almeida, ABR","032","2016","05","Brasil","Santa Catarina","Corupá","-49.2430992126465","-26.4253005981445","23917","HUCP00003522","HUCP00003522","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:46:43-03","NBC","NL-BOTANY","L.1531185","PreservedSpecimen","Plantae",NA,"Orchidaceae","Pleurothallis","atropurpurea","Pleurothallis atropurpurea","(Lindl.) Lindl.",NA,NA,NA,"Dusén PKH",NA,"1909","09","Brazil",NA,NA,NA,NA,NA,"NL-L1531185","NL-L1531185",NA,"Magnoliopsidae","Asparagales","10","Southern America","Paraná: blasa Nova, in silvula.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1531185 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:41:13-03","MN","R","20344","PreservedSpecimen","Plantae",NA,"Orchidaceae","Pleurothallis","atropurpurea","Pleurothallis atropurpurea","(Lindl.) Lindl.","Brade, A.C.",NA,NA,"Sampaio, A.J.",NA,NA,NA,"Brasil","Minas Gerais","Passa Quatro","-44.9667015075684","-22.3903007507324","17293",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-10-14 10:04:26-03","FURB","FURB","37960","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zootrophion","atropurpureum","Zootrophion atropurpureum","(Lindl.) Luer","Caetano, JO","2012","03","Caetano, J.O.",NA,"2012","03","Brasil","Santa Catarina","Benedito Novo","-49.4291667","-26.7872222",NA,"FURB02888","FURB02888",NA,NA,NA,"05",NA,"Próximo a Ceesan Liberdade.",NA,"05","-49.4291667","-26.7872222","380","380",NA,NA,NA,NA
"5","2015-09-04 19:05:23-03","MNHN","RECOLNAT_MNHN_P","P00489113","PreservedSpecimen",NA,NA,"Orchidaceae","Pleurothallis","atropurpurea","Pleurothallis atropurpurea","Lindl.",NA,NA,NA,"Smith, L.B.|Reitz, R.",NA,"1964","10","Brésil",NA,NA,"-52.33333","-26.53333",NA,"P00489113","P00489113_01",NA,NA,NA,"23",NA,"Santa Catarina : municipalite Abelardo Luz : 12 km N of Abelardo Luz","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00489113' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"900","1000","12817","hb",NA,NA
"6","2015-09-03 19:29:28-03","MNHN","RECOLNAT_MNHN_P","P00489111","PreservedSpecimen",NA,NA,"Orchidaceae","Pleurothallis","atropurpurea","Pleurothallis atropurpurea","Lindl.",NA,NA,NA,"Dusén, P.",NA,"1909","9","Brésil",NA,NA,NA,NA,NA,"P00489111","P00489111_01",NA,NA,NA,"10",NA,"Parana : Balsa Nova","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00489111' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"8519","hb",NA,NA
"7","2015-09-03 19:29:28-03","MNHN","RECOLNAT_MNHN_P","P00489112","PreservedSpecimen",NA,NA,"Orchidaceae","Pleurothallis","atropurpurea","Pleurothallis atropurpurea","Lindl.",NA,NA,NA,"Regnell, A.",NA,"1877","4","Brésil",NA,NA,NA,NA,NA,"P00489112","P00489112_01",NA,NA,NA,"21",NA,"Brésil","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00489112' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"III 1671","hb",NA,NA
"8","2020-12-11 11:44:54-03","UFMG","BHCB","181957","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Zootrophion","atropurpureum","Zootrophion atropurpureum","(Lindl.) Luer",NA,NA,NA,"Barbosa, AR; Viana, PL","314","2016","04","Brasil","Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","BHCB035357",NA,"auto",NA,NA,"11","Southern America","Macaé de Cima","Planta em cultivo no Museu de História Natural e Jardim Botânico da UFMG número MHNJB01407.; Sépalas roxa escuras. Pétalas transparentes com traços roxos. Labelo roxo. Coluna base roxa e ápice branco; Erva epífita associada a mata úmi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-11 17:21:03-03","UFPR","UPCB","92431","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zootrophion","atropurpureum","Zootrophion atropurpureum","(Lindl.) Luer","Santos, T.F.","2017",NA,"Santos, T.F. | M.M-Reis","272","2017","03","Brasil","São Paulo","Apiaí","-48.8400001525879","-24.5","37738","UPCB0038273","UPCB0038273","auto",NA,NA,"24",NA,NA,"Flor roxa, bastante fechada, com uma fenda lateral formada pela pétala, para entrada do polinizador.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-11 17:21:03-03","UFPR","UPCB","93709","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zootrophion","atropurpureum","Zootrophion atropurpureum","(Lindl.) Luer","M. Bolson","2016","02","Bolson, M. | Bacci, L.F. | Bochorny, T.","594","2016","01","Brasil","Rio de Janeiro","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","UPCB0041841","UPCB0041841","auto",NA,NA,"27",NA,"Macaé de Cima. Trilha Pico do Faraó.","Em um tronco de árvore caído sobre o rio, acesso fácil pela trilha. Amostra de DNA..","01",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-02-11 17:21:03-03","UFPR","UPCB","70049","PreservedSpecimen","Plantae",NA,"Orchidaceae","Zootrophion","atropurpureum","Zootrophion atropurpureum","(Lindl.) Luer","Mancinelli, W.S.","2010","02","Mancinelli, W.S.","1138","2010","02","Brasil","Santa Catarina","Joinville","-48.8456001281738","-26.3043994903564","37150",NA,NA,"auto",NA,NA,"04",NA,"Morro da Tromba","Epífita, flores púrpuras, ocorrente em Floresta Ombrófila Densa Sub Montana..","04",NA,NA,NA,NA,NA,NA,NA,NA
