"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber","class","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","625822","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Zygostates","cornuta","Zygostates cornuta","Lindl.","A. L. V. Toscano de Brito","P. K. H. Dusén","14038","1912","02","12","South America","Brazil","Paraná","Jacareí.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272134' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625822","NY00625822_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 12:17:40-03","ESALQ","ESA","123982","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Zygostates","cornuta","Zygostates cornuta",NA,"Forster, W.","Virillo, C.B. ; Caramez, R.B.","116.0","2013","03","29",NA,"Brasil","São Paulo","Reserva particular da Votorantim (CBA). Trilha do Boa Tudo. Floresta Ombrófila Densa (Tapiraí), com áreas antigas de roça em alguns trechos",NA,"Epífita.","ESA123982","ESA123982","2013","04","12","Tapiraí","-47.376608","-24.039016","-47.376608","-24.039016","365","365",NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 12:17:40-03","ESALQ","ESA","125292","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Zygostates","cornuta","Zygostates cornuta",NA,"Forster, W.","Virillo, C.B.","116.0","2013","03","29",NA,"Brasil","São Paulo","Reserva Particulrar da Votorantim (CBA). Trilha do Boa Tudo. Floresta Ombrófila Densa (Tapiraí), com áreas antigas de roça em alguns trechos",NA,NA,"ESA125292",NA,"2013","04","12","Tapiraí","-47.376608","-24.038166","-47.376608","-24.038166",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 12:17:40-03","ESALQ","ESA","76857","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Zygostates","cornuta","Zygostates cornuta","Lindl.","Forster, W.","Sztutman, M. et al.","104.0","1999","01","05",NA,"Brasil","São Paulo",NA,NA,NA,"ESA076857","ESA076857",NA,NA,NA,"Pariquera-Açu","-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,"17990","auto",NA,NA,NA,NA,NA
"5","2020-11-04 12:17:40-03","ESALQ","ESA","94151","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Zygostates","cornuta","Zygostates cornuta","Lindl.","Royer, C.A.","Souza, V.C. ; Paula-Souza, J.","32189.0","2003","04","01",NA,"Brasil","São Paulo","BLOQUEADO",NA,NA,"ESA094151","ESA094151",NA,NA,NA,"Cananéia","-47.9199981689453","-25.0100002288818",NA,NA,NA,NA,"37574","auto",NA,NA,NA,NA,NA
"6","2021-03-31 13:41:19-03","MN","R","35808","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Zygostates","cornuta","Zygostates cornuta","Lindl.","Toscano, A.B.","Mota, M.",NA,"1879","09",NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"1994","08",NA,"Caeté","-43.6697006225586","-19.8799991607666",NA,NA,NA,NA,"22051","auto",NA,NA,NA,NA,NA
"7","2020-02-27 19:22:12-03","UFJF","CESJ","50845","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Zygostates","cornuta","Zygostates cornuta","Lindl.","C.A. Royer","J.M. Silva; C.B. Poliquesi; E. Barbosa","2266","1998","02","07","América do Sul","Brasil","Paraná","Castelhanos",NA,"Epífita, flor amarela. Floresta atlântica.","CESJ050845",NA,"2019",NA,NA,"São José dos Pinhais","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA
"8","2019-08-20 10:01:05-03","UNICAMP","UEC","67521","S","Plantae","Liliopsida",NA,"Orchidaceae","Zygostates","chateaubriandii","Zygostates chateaubriandii","Ruschi",NA,"Barros, F; et al.","29779","1993","11","09",NA,"Brazil","São Paulo","Trilha do Corisco, Mata de encosta.",NA,"Epífita com flores de sépalas amarelas e cabelo branco.","UEC001396","UEC001396",NA,NA,NA,"Ubatuba","-44.816667","-23.333333","-44.816667","-23.333333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-10-14 10:04:26-03","FURB","FURB","20049","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Zygostates","cornuta","Zygostates cornuta","Lindl.","Royer, C.A.","Dreveck, S.; Carneiro, F.E.","1735","2010","02","04",NA,"Brasil","Santa Catarina","Poço d#?#Anta.",NA,"Florística IFFSC 953 Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: flor pétalas amarela, labelo branco","FURB36580","FURB36580","2019",NA,NA,"Corupá","-49.2327778","-26.46","-49.2327778","-26.4600000","280","280",NA,NA,NA,NA,NA,NA,NA
"10","2020-10-14 10:04:26-03","FURB","FURB","5645","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Zygostates","cornuta","Zygostates cornuta","Lindl.","Mancinelli, WS","Gasper, A.L. de; Sevegnani, L.","88","2007","03","30",NA,"Brasil","Santa Catarina","CEPA.",NA,NA,"FURB02892","FURB02892","2010","01","25","São Bento do Sul","-49.3072222","-26.3236111","-49.3072222","-26.3236111","640","640",NA,NA,NA,NA,NA,NA,NA
