"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","448163","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","G. G. Hatschbach","P. I. Oliveira","662","1982","08","25","South America","Brazil","Paraná","Quatro Barras","Rio Taquari.","-49.0767","-25.3658","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332272' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448163","NY00448163_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","448162","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Matayba","cristae","Matayba cristae","Reitz",NA,"G. G. Hatschbach","14557","1966","08","04","South America","Brazil","Paraná","Quatro Barras","Encosta Morro Mae Catira.","-48.909237","-25.347215","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332273' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448162","NY00448162_01","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:25:50-03","PUCPR","HUCP","12471","S","Plantae","Eudicotiledonea",NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz.","Rosado","Dalla Rosa, S","019","1999","08","24",NA,"Brasil","Paraná","Morretes","Parque Estadual Pico do Marumbi","-48.834400177002","-25.476900100708",NA,"Nº 40754.","HUCP00003751","HUCP00003751",NA,NA,"2017","05","30","30514","auto",NA,NA,NA,NA,NA
"4","2019-12-04 15:25:50-03","PUCPR","HUCP","20423","S","Plantae","Eudicotiledonea",NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz.","Rosado","Bonaldi, R","393","2008","09","21",NA,"Brasil","Paraná","Paranaguá","Tinguçu","-48.5092010498047","-25.5200004577637",NA,NA,"HUCP00003652","HUCP00003652",NA,NA,"2017","05","30","24916","auto",NA,NA,NA,NA,NA
"5","2019-10-09 11:24:38-03","UFBA","ALCB","025719","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz..","Ferrucci, MS; Perdiz, R","Guedes, ML; Silva, LB da","s/n","1993","11","30","Southern America","Brasil","Bahia","Salvador","Região Metropolitana Salvador, Itapuã. Abaeté","-38.5","-12.966667",NA,"Ca. 3m de alt.; folhas coriáceas, flores singelas esverdeadas.","ALCB065168",NA,NA,NA,"2010",NA,NA,NA,NA,"-38.5","-12.966667",NA,NA,NA
"6","2019-10-09 11:24:38-03","UFBA","ALCB","101141","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz..","Coelho, LG","Silva, JM; Barbosa, E; Costa, EF","3753","2003","07","01","Southern America","Brasil","Paraná","Paranaguá","Trilha para a Torre da Prata.","-48.5","-25.516667",NA,"Ca. 10m.; flor alva.","ALCB065150",NA,NA,NA,NA,NA,NA,NA,NA,"-48.5","-25.516667",NA,NA,NA
"7","2019-10-09 11:24:38-03","UFBA","ALCB","101141","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz..","Coelho, LG","Silva, JM; Barbosa, E; Costa, EF","3753","2003","07","01","Southern America","Brasil","Paraná","Paranaguá","Trilha para a Torre da Prata.","-48.5092010498047","-25.5200004577637",NA,"10 m. Flor alva.; Encosta do morro.",NA,NA,NA,NA,NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA
"8","2020-02-08 10:32:29-03","NBC","NL-BOTANY","L.4287759","PreservedSpecimen","Plantae",NA,"Sapindales","Sapindaceae","Matayba","cristae","Matayba cristae","Reitz",NA,"Cordeiro I",NA,NA,NA,NA,"Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4287759 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4287759","NL-L4287759",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"9","2020-02-08 10:32:29-03","NBC","NL-BOTANY","L.4287760","PreservedSpecimen","Plantae",NA,"Sapindales","Sapindaceae","Matayba","cristae","Matayba cristae","Reitz",NA,"Cordeiro I",NA,NA,NA,NA,"Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4287760 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4287760","NL-L4287760",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"10","2020-11-04 11:19:28-03","ESALQ","ESA","35666","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","cristae","Matayba cristae",NA,NA,"Silva, J.M. ; Ribas, O.S.","600.0","1988","11","23",NA,"Brasil","Paraná","Quatro Barras",NA,"-49.0769004821777","-25.3656005859375",NA,NA,"ESA035666",NA,NA,NA,NA,NA,NA,"17116","auto",NA,NA,NA,NA,NA
"11","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0045864","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","G. Hatschbach","J. M. Silva; E. Barbosa & J. Vaz","3649","2002","9","30",NA,"Brazil","Sao Paulo",NA,"Torre da Embratel, Estação Repetidora da Serra do Aleixo (Mun. Cajati).","-48.102792","-24.729933",NA,"Árvore, 8m, flor alva.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-21 14:44:59-03","UFJF","CESJ","63886","PreservedSpecimen","Plantae","Angiosperma",NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","E. Barbosa","E. Barbosa; J. Cordeiro","3429","2012","08","09","América do Sul","Brasil","Paraná","Guaratuba","Morro dos Perdidos","-48.5746994018555","-25.8827991485596",NA,"Arbusto 3m, flores creme. Beira de rio encachoeirado.","CESJ063886",NA,"1200","1200","2012","08",NA,"41937","auto",NA,NA,NA,NA,NA
"13","2019-11-21 14:44:59-03","UFJF","CESJ","46597","PreservedSpecimen","Plantae","Angiosperma",NA,"Sapindaceae","Matayba","cristae","Matayba cristae","Reitz","G. Hatschbach","J.M. Silva; E. Barbosa; J.Vaz","3649","2002","09","30","América do Sul","Brasil","São Paulo","Cajati","Torre da EMBRATEL, Estação Repetidora da Serra do Aleixo.","-48.1199989318848","-24.7299995422363",NA,"Árvore, 8m, flor alva. Floresta atlântica.","CESJ046597",NA,NA,NA,"2002",NA,NA,"24646","auto",NA,NA,NA,NA,NA
