"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","year","month","day","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","typeStatus","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","459750","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Beilschmiedia","fluminensis","Beilschmiedia fluminensis","Kosterm.","S. Nishida","Pessoal do Horto Florestal","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara, mata escura obras Publicas proximo da sede do Horto Florestal","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=527741' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459750","NY00459750_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:32:18-03","UNICAMP","UEC","133163","S","Plantae","Magnoliopsida",NA,"Lauraceae","Beilschmiedia","fluminensis","Beilschmiedia fluminensis","Kosterm.","Barbosa, TDM","Vervloet, RR; Bausen, E",NA,"Brazil","Espírito Santo","Santa Teresa","Nova Lombardia, Reseva Biólogica Augusto Ruschi, Goipabo-Açú, linha de divisa, marco 53 a 55.","-40.6002998352051","-19.9356002807617",NA,"Arvoreto 11m, frutos imaturos de cor marrom. meia encosta, dossel 19m.","UEC073973","UEC073973","2008","12","05","2177","2003","04","09","23813","auto",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:32:18-03","UNICAMP","UEC","132208","S","Plantae","Magnoliopsida",NA,"Lauraceae","Beilschmiedia","fluminensis","Beilschmiedia fluminensis","Kosterm.","Barbosa, TDM","Vervloet, RR; Bausen, E",NA,"Brazil","Espírito Santo","Santa Teresa","Nova Lombardia, Resrva Biológica Augustio Ruschi, estrada para Lombardia.","-40.6002998352051","-19.9356002807617",NA,"Árvore com 12 m de altura, frutos iamaturos marrom claro, muito rígido, rugosa, lado direito da estrada, beira do córrego.","UEC073971","UEC073971","2008","12","05","199","2002","04","25","23813","auto",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:32:18-03","UNICAMP","UEC","132619","S","Plantae","Magnoliopsida",NA,"Lauraceae","Beilschmiedia","fluminensis","Beilschmiedia fluminensis","Kosterm.","Barbosa, TDM","Vervloet, RR; Bausen, E",NA,"Brazil","Espírito Santo","Santa Teresa","Nova Lombardia, Resrva Biológica Augustio Ruschi, linha da divisa, lado esquerdo, seguindo córrego.","-40.6002998352051","-19.9356002807617",NA,"Árvore de 18m. frutos de cor marrom, meia encosta, dossel 16m.","UEC073974","UEC073974","2008","12","05","2016","2003","03","20","23813","auto",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:32:18-03","UNICAMP","UEC","133124","S","Plantae","Magnoliopsida",NA,"Lauraceae","Beilschmiedia","fluminensis","Beilschmiedia fluminensis","Kosterm.","Barbosa, TDM","Vervloet, RR; Bausen, E; Pizziolo, W",NA,"Brazil","Espírito Santo","Santa Teresa","Nova Lombardia, Resrva Biológica Augustio Ruschi, trilha da divisa, Goipabo- Açú, Boeirão, linha de divisa, Marco 53 a 52. Picada.","-40.6002998352051","-19.9356002807617",NA,"Arvoreto de 9m, frutos de cor marrom. Topo de morro, dossel 10m.","UEC073970","UEC073970","2008","12","05","2326","2003","04","29","23813","auto",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:32:18-03","UNICAMP","UEC","133118","S","Plantae","Magnoliopsida",NA,"Lauraceae","Beilschmiedia","fluminensis","Beilschmiedia fluminensis","Kosterm.","Barbosa, TDM","Vervloet, RR; Bausen, E; Pizziolo, W",NA,"Brazil","Espírito Santo","Santa Teresa","Nova Lombardia, Resrva Biológica Augustio Ruschi, trilha da divisa, lado direito Goipabo.","-40.6002998352051","-19.9356002807617",NA,"Árovre com 12m de altura,interior de mata, baixada.","UEC073969","UEC073969","2008","12","05","718","2002","08","21","23813","auto",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:32:18-03","UNICAMP","UEC","133119","S","Plantae","Magnoliopsida",NA,"Lauraceae","Beilschmiedia","fluminensis","Beilschmiedia fluminensis","Kosterm.","Barbosa, TDM","Vervloet, RR; Bausen, E; Pizziolo, W",NA,"Brazil","Espírito Santo","Santa Teresa","Nova Lombardia, Resrva Biológica Augustio Ruschi, trilha da divisa, lado direito Goipabo.","-40.6002998352051","-19.9356002807617",NA,"Árvore com 15m de altura, interior de mata, baixada.","UEC073968","UEC073968","2008","12","05","715","2002","08","21","23813","auto",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:32:18-03","UNICAMP","UEC","133120","S","Plantae","Magnoliopsida",NA,"Lauraceae","Beilschmiedia","fluminensis","Beilschmiedia fluminensis","Kosterm.","Barbosa, TDM","Vervloet, RR; Bausen, E; Pizziolo, W",NA,"Brazil","Espírito Santo","Santa Teresa","Nova Lombardia, Resrva Biológica Augustio Ruschi, trilha da divisa, saída para Goipaboa-çu, lado direito.","-40.6002998352051","-19.9356002807617",NA,"Árvore de16m, frutos imaturos de cor marrom, meia encosa, dossel 18m.","UEC073972","UEC073972","2008","12","05","1845","2003","02","18","23813","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 09:30:35-03","UFRRJ","RBR","43760","S","Plantae",NA,NA,"Lauraceae","Beilschmiedia","fluminensis","Beilschmiedia fluminensis","Kosterm.","T.P.P. Alverga","L.H. Soares",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","PNM Mendanha. Inventário complementar F95/77.","-43.511111","-22.828889",NA,NA,"RBR00043760",NA,NA,NA,NA,NA,"2014","03","21",NA,NA,"43º30'40''W","22º49'44''S",NA,NA,NA,NA,NA
"10","2020-06-29 09:30:35-03","UFRRJ","RBR","43762","S","Plantae",NA,NA,"Lauraceae","Beilschmiedia","fluminensis","Beilschmiedia fluminensis","Kosterm.","T.P.P. Alverga","L.H. Soares",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","PEPB. Inventário complementar F119/88.","-43.450556","-22.956667",NA,NA,"RBR00043762",NA,NA,NA,NA,NA,"2014","04","01",NA,NA,"43º27'2''W","22º57'24''S",NA,NA,NA,NA,NA
"11","2020-06-29 09:30:35-03","UFRRJ","RBR","43973","S","Plantae",NA,NA,"Lauraceae","Beilschmiedia","fluminensis","Beilschmiedia fluminensis","Kosterm.","G.P.R. Gonçalves","L.H. Soares",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","PNM Mendanha. F18/73.","-43.501111","-22.832778",NA,NA,"RBR00043973",NA,NA,NA,NA,NA,"2014","02","26",NA,NA,"43º30'4''W","22º49'58''S",NA,NA,NA,NA,NA
"12","2019-11-01 15:33:06-03","PUC-RIO","FCAB","8125","PreservedSpecimen","Plantae",NA,"Angiospermae","Lauraceae","Beilschmiedia","fluminensis","Beilschmiedia fluminensis","Kosterm","A. Quinet","J.M. Freire; R.R. Oliveira; B.L. Rosendo",NA,"Brasil","Rio de Janeiro","Camorim","Maciço da Pedra Branca 2.4","-74.967667","-66.199167",NA,"Árvore com 7 m de altura, 20 cm de CAP.","FCAB008125",NA,NA,NA,NA,"425","2008","06","20",NA,NA,"-74.967667","-66.199167","110","110",NA,NA,NA
