"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","typeStatus","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","eventTime","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","478135","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Henriettea","cogniauxiana","Henriettea cogniauxiana","Penneys, Michelang., Judd & Almeda","A. C. Brade","17175","1942","02","16","South America","Brazil","Rio de Janeiro","Itatiaia","Itatiaia; lote 88, beira do Rio Campo Bello","-44.61807","-22.433227","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=462404' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478135","NY00478135_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","478132","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Henriettea","glabra","Henriettea glabra","(Vell.) Penneys, Michelang., Judd & Almeda","A. F. M. Glaziou","13858","1882","02","19","South America","Brazil","Rio de Janeiro","Nova Friburgo","Nova Friburgo","-42.5308","-22.2819",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=646656' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478132","NY00478132_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","478131","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Henriettea","glabra","Henriettea glabra","(Vell.) Penneys, Michelang., Judd & Almeda","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=646659' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478131","NY00478131_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01093272","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Henriettea","glabra","Henriettea glabra","(Vell.) Penneys, Michelang., Judd & Almeda","J. F. A. Baumgratz","781","2000","12","20","South America","Brazil","Rio de Janeiro","Macaé","estrada p/ cidade de Frade, ca. 45 km. da BR 101, apõs a bifurcação Frade, Tapera, seguindo estrada àdireita em direção à esquerada da estrada, apõs o sío Santa Barbara.","-42.0856","-22.2022","600","650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1232053' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093272","NY01093272_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","03315100","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Henriettea","glabra","Henriettea glabra","(Vell.) Penneys, Michelang., Judd & Almeda","R. R. Voltz","1272","2017","04","06","South America","Brazil","Paraná","Guaraqueçaba","RPPN Salto Morato","-48.3014","-25.1733","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3620665' target='other'> <mi>dwc_moreinfo</mi></a>","NY03315100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","478130","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Henriettea","glabra","Henriettea glabra","(Vell.) Penneys, Michelang., Judd & Almeda","Collector unspecified","1294",NA,NA,NA,"South America","Brazil",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=646658' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478130","NY00478130_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","478134","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Henriettea","glabra","Henriettea glabra","(Vell.) Penneys, Michelang., Judd & Almeda","L. B. Smith","1361","1928","11","27","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Federal District; Estrada Dona Castorina, between Jardim Botanico and Alto da Boa Vista, Rio de Janeiro","-43.25","-22.95","100","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=646660' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478134","NY00478134_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","478133","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Henriettea","glabra","Henriettea glabra","(Vell.) Penneys, Michelang., Judd & Almeda","C. Angeli","341","1962","12","20","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara, Estr. Vista Chinesa, próximo à Estaçao Biologica","-43.273873","-22.971901",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=646657' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478133","NY00478133_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","2480357","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Henriettea","glabra","Henriettea glabra","(Vell.) Penneys, Michelang., Judd & Almeda","A. M. Amorim","7587","2008","09","20","South America","Brazil","Espírito Santo","Alegre","Reserva Biologica de Duas Bocas. Localidade de Alegre, Trilha do Pau- Oco","-40.5194","-20.2914","600",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2705370' target='other'> <mi>dwc_moreinfo</mi></a>","NY02480357","NY02480357_01","F. A. Michelangeli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01404489","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Henriettella","glabra","Henriettella glabra","(Vell.) Cogn.","M. C. H. Mamede","386","1990","12","18","South America","Brazil","São Paulo","São Paulo","Iguape, Estação Ecológica da Juréia-Itatins, trilha para Figueira Grande.","-46.6300010681152","-23.5400009155273","100.00","100.00","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2867114' target='other'> <mi>dwc_moreinfo</mi></a>","NY01404489","NY01404489_01","S. A. C. Chiea","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
