"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","00915475","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","brevigluma","Merostachys brevigluma","Send.","R. Vinícius-Silva","L. G. Clark","615","1990","01","13","South America","Brazil","São Paulo","Campos do Jordão","Serra de Campos do Jordão, Horto Florestal","-45.53","-22.7","1730","1730","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1196298' target='other'> <mi>dwc_moreinfo</mi></a>","NY00915475","NY00915475_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00915511","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys","brevigluma","Merostachys brevigluma","Send.","R. Vinícius-Silva","M. Kuhlmann","2453","1950","06","08","South America","Brazil","Minas Gerais",NA,"São Francisco dos Campos, Delfim Moreira. Fazenda São Francisco",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1196404' target='other'> <mi>dwc_moreinfo</mi></a>","NY00915511","NY00915511_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-20 21:18:59-03","UFV","VIC","53416","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Merostachys","brevigluma","Merostachys brevigluma","Send.","Silva, V.R.","Kuhlmann","2453","1950","06","08",NA,"Brasil","Minas Gerais","Delfim Moreira","Fazenda São Francisco","-45.2799987792969","-22.5091991424561",NA,NA,NA,NA,"VIC053416",NA,NA,"2019","09","21","20219","auto",NA,NA,NA,NA
"4","2020-12-20 21:18:59-03","UFV","VIC","48885","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Merostachys","brevigluma","Merostachys brevigluma","Send.","Vinícius-Silva, R.","Vinícius-Silva, R.; Costa, C.J.; Silva, M.C.N.A.","107","2016","07","07",NA,"Brasil","Minas Gerais","Delfim Moreira","Estrada para a Fazenda São Francisco, A partir da Lanchonete Tostão","-45","-22","1703","1703",NA,"Indivíduos com, aproximadamente, 8-10 m de altura, inicialmente eretos e arqueando-se no ápice. Entrenós com 58-62 cm de comprimento, 0.9 cm de diâmetro, verdes com estrias amarelas, glabros.","VIC048885","VIC048885",NA,"2017","07","07",NA,NA,"-45","-22",NA,NA
"5","2020-12-11 11:45:10-03","UFMG","BHCB","119071","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Merostachys","brevigluma","Merostachys brevigluma","Send.",NA,"Viana, PL; Mota, NFO; Silva, LVC; Maciel, GM","3563","2008","05","15","Southern America","Brasil","Minas Gerais","Alagoa","Parque Estadual da Serra do Papagaio., Estrada da Usina","-44.827778","-22.223333","1291","1291",NA,"Colmos eretos a escandentes. Ápice dos colmos com entrenós escabros.; Mata Ciliar","BHCB046616",NA,NA,"2018","07","03",NA,NA,"-44.827778","-22.223333",NA,NA
"6","2020-12-11 11:45:10-03","UFMG","BHCB","148016","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Merostachys","brevigluma","Merostachys brevigluma","Send.",NA,"Fernandes, R; Chaves, C; Hattori, EKO; Vale, AA","953","2011","03","21","Southern America","Brasil","Minas Gerais","Delfim Moreira","Serra da Mantiqueira, Fazenda Boa Esperança, estrada para mata do Barão.","-45.329306","-22.596194","1618","1618",NA,"Planta herbácea.; Floresta ombrófila mista. Coletada em local ensolarado a margem da trilha.","BHCB046618",NA,NA,"2018","07","03",NA,NA,"-45.329306","-22.596194",NA,NA
"7","2020-12-11 11:45:10-03","UFMG","BHCB","148081","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Merostachys","brevigluma","Merostachys brevigluma","Send.",NA,"Almeida, TE; Mota, NFO; Ramalho, AJ; Lau, BL; Kamino, LHY","2813","2011","03","15","Southern America","Brasil","Minas Gerais","Delfim Moreira","Fazenda do Onça","-45.360944","-22.618444","1868","1868",NA,"Prensado em álcool.; Bambu escandente. Poucos indivíduos floridos. Espiguetas verdes e inflorescências vináceas. Colmos verdes e folhas glaucas abaxialmente, exceto na faixa marginal.; Em borda de mata, na beira de estrada. Floresta O","BHCB046617",NA,NA,"2018","07","03",NA,NA,"-45.360944","-22.618444",NA,NA
"8","2020-12-11 11:45:10-03","UFMG","BHCB","200700","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Merostachys","brevigluma","Merostachys brevigluma","Send.",NA,"Vinícius-Silva, R; Costa, CJ; Silva, MC","107","2016","07","07","Southern America","Brasil","Minas Gerais","Delfim Moreira","Estrada para a fazenda São Francisco, a partir da lanchonete Tostão","-45.260417","-22.574917","1703","1703",NA,"Indivíduos com aproximadamente 8-10 m de altura, inicialmente eretos e arqueando no ápice. Entrenós com 58-62 cm de comprimento, 0,9 cm de diâmetro, verdes com estrias amarelas, glabros. Folhas com pouquíssimas fimbrias, algumas follh","BHCB200700","BHCB200700_1 BHCB200700_2",NA,"2016",NA,NA,NA,NA,"-45.260417","-22.574917",NA,NA
"9","2014-09-29 08:31:00-03","MO","MOBOT","3268022","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Merostachys","brevigluma","Merostachys brevigluma","Send.","A.P. Santos Gonçalves & R. Silva (VIC)","Moysés Kuhlmann","Kuhlmann s.n.","1948","10","4","South America","Brazil","São Paulo",NA,"Campos do Jordac.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"10","2020-09-12 05:00:02-03","US","US","2926643","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Merostachys","brevigluma","Merostachys brevigluma","Send.",NA,"W. Bockermann","s.n.","1981","1","4","South America - Neotropics","Brazil","São Paulo",NA,"Campos do jardao, alto do ferradura",NA,NA,"1700","1700",NA,NA,"US00028613","US00028613_01",NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae"
