"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","locality","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","547370","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Bulbophyllum","gladiatum","Bulbophyllum gladiatum","Lindl.","E. de C. Smidt","H. S. Irwin","5912","1964","09","03","South America","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797","700","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=155181' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547370","NY00547370_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","03998703","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Bulbophyllum","laciniatum","Bulbophyllum laciniatum","(Barb.Rodr.) Cogn.",NA,"E. M. Zardini","12635","1989","06","04","South America","Paraguay",NA,NA,NA,NA,NA,NA,"sheet","26.00S-26.07S; 56.46W-56 .53W. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4314253' target='other'> <mi>dwc_moreinfo</mi></a>","NY03998703","NY03998703_01","Parque Nacional Ybycu'i. Cerrado forestt 5 kms N of administration area.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:38:16-03","MBM","MBM","49070","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","gladiatum","Bulbophyllum gladiatum","Lindl.","Smidt, E.C.","Hatschbach, G.","3145","1956","06",NA,"Southern America","Brazil","Paraná","Campo Largo","-49.5283012390137","-25.4585990905762",NA,NA,NA,"Flor verde, epífita. Unicata","MBM049070","MBM049070","Conceição de São Silvestre","2007","08","53742","auto",NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:38:16-03","MBM","MBM","253366","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","gladiatum","Bulbophyllum gladiatum","Lindl.","et al.; Mancinelli, W.S.","Dusén, P.","3531","1916","06","12","Southern America","Brazil","Paraná","Porto Amazonas","-49.8903007507324","-25.5447006225586",NA,NA,NA,NA,"MBM253366",NA,"Rio Iguaçu","2010","04","14684","auto","14",NA,NA,NA,NA,NA
"5","2015-09-03 20:02:39-03","MNHN","RECOLNAT_MNHN_P","P00419834","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Bulbophyllum","gladiatum","Bulbophyllum gladiatum","Lindl.",NA,"Regnell, A.F.",NA,"1853","9","1",NA,"Brésil",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00419834' target='other'> <mi>dwc_moreinfo</mi></a>","P00419834","P00419834_01","Brésil",NA,NA,NA,NA,NA,"III 1133",NA,NA,NA,NA
"6","2008-05-27 22:02:00-03","MO","MOBOT","635953","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","laciniatum","Bulbophyllum laciniatum","(Barb. Rodr.) Cogn.","G. Carnevali (MO)","Elsa M. Zardini","Zardini 12635","1989","6","4","South America","Paraguay","Paraguarí",NA,"-56.8","-26",NA,NA,NA,NA,NA,NA,"Parque Nacional Ybycu'í. Cerrado forest, 5 kms N of administration area. 26.00S-26.07S 56.46W-56.53W",NA,NA,NA,NA,NA,"99","4",NA,NA,NA
"7","2008-05-27 22:02:00-03","MO","MOBOT","652664","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","laciniatum","Bulbophyllum laciniatum","(Barb. Rodr.) Cogn.","C. Dodson","William J. Hahn","Hahn 2775","1984","9","5","South America","Paraguay","Paraguarí",NA,"-56.66666","-26.08333",NA,NA,NA,NA,NA,NA,"Parque Nacional Ybycuí. Dry forest.",NA,NA,NA,NA,NA,"84-44","2",NA,NA,NA
"8","2020-07-10 09:48:11-03","MBML","MBML-HERBARIO","18884",NA,"Plantae",NA,NA,"Orchidaceae","Bulbophyllum","gladiatum","Bulbophyllum gladiatum","Lindl.","Eric C. Smidt/VIII-2007","A. P. Fontana; et al","100","2001","02","24",NA,"Brasil","Espírito Santo","Santa Teresa","-40.681389","-19.805556",NA,NA,NA,"Epífita. Fruto verde imatura; flores quase secas, parecendo com sépelas e pétalas amarelas e base vermelha. Idem coleta 96. Herb./Culti.","MBML018884","MBML018884","São João de Petrópolis, E.A.F.S.T.",NA,NA,NA,NA,NA,NA,NA,"40W40'53","19S48'20",NA
"9","2020-07-10 09:48:11-03","MBML","MBML-HERBARIO","18885",NA,"Plantae",NA,NA,"Orchidaceae","Bulbophyllum","gladiatum","Bulbophyllum gladiatum","Lindl.","Eric C. Smidt/VIII-2007","A. P. Fontana; et al","96","2001","02","10",NA,"Brasil","Espírito Santo","Santa Teresa","-40.681389","-19.805556",NA,NA,NA,"Epífita, pseudobulbos amarronzados e folhas verdes. Flores amareladas. Idem coleta 100. Herb./Culti.","MBML018885","MBML018885","São João de Petrópolis, E.A.F.S.T.",NA,NA,NA,NA,NA,NA,NA,"40W40'53","19S48'20",NA
"10","2020-09-12 05:00:02-03","US","US","203867","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Bulbophyllum","gladiatum","Bulbophyllum gladiatum",NA,NA,"A. F. Regnell","1135","1855","9","1","South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"US00503418","US00503418_01",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"Monocotyledonae"
