"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","month","day","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","376163","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","F. Segadas-Vianna","1382","1953","South America","Brazil","Rio de Janeiro","Resende","Resende Co., Serra do Itatiaia","-44.4467","-22.4692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=142520' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376163","NY00376163_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:32:47-03","UFRJ","RFA","42303","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","M.B.Plumm; A.P.M.Buzzani, B.V.Vinolo, E.C.N.Melo, F.Sciammarella","91","2017",NA,"Brasil","Rio de Janeiro","Itatiaia","PARNA Itatiaia, na parte alta, trilha para as Prateleiras. Campo de altitude.","-44.68",NA,NA,"Erva em encosta rochosa. Sol. Cerca de 15 cm de altura. Flor roxa","RFA35984",NA,"M.B.Plumm, A.P.M.Buzzani, B.V.Vinolo, E.C.N.Melo, F.Sciammarella","2017","12","06","12","06","44º40'48''W","22ºS","2300","2300",NA,NA,NA,NA,NA
"3","2020-06-29 11:32:47-03","UFRJ","RFA","22863","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","Newton Santos","5762","1964",NA,"Brasil","Rio de Janeiro","Itatiaia","Abrigo Rebouças","-44.5633010864258","-22.4960994720459",NA,"Pouco comum","RFA50395",NA,"L. B. Smith",NA,NA,NA,"12","12",NA,NA,NA,NA,"19648","auto",NA,NA,NA
"4","2020-06-29 11:32:47-03","UFRJ","RFA","4859","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","P. Occhioni","1292","1952",NA,"Brasil","Rio de Janeiro","Itatiaia","Pedra Sentada","-44.5633010864258","-22.4960994720459",NA,"Flor roxo púrpura","RFA50392",NA,"L. B. Smith","1975",NA,NA,"04","28",NA,NA,NA,NA,"19648","auto",NA,NA,NA
"5","2020-11-13 09:21:05-03","UFRJ","RFA","28087","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","O. M. Barth","I 163","1960",NA,"Brasil","Rio de Janeiro","Itatiaia","Planalto, Parque Nacional do Itatiaia","-44.5633010864258","-22.4960994720459",NA,NA,"RFA50403",NA,"L. B. Smith",NA,NA,NA,"02","07",NA,NA,NA,NA,"19648","auto",NA,NA,NA
"6","2020-11-13 09:21:05-03","UFRJ","RFA","22928","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","F. Segadas-Vianna","1382","1953",NA,"Brasil","Rio de Janeiro","Resende","Serra de Itatiaia","-44.4467010498047","-22.468900680542",NA,NA,"RFA50391",NA,"L.B. Smith","1961",NA,NA,NA,NA,NA,NA,NA,NA,"36089","auto",NA,NA,NA
"7","2020-06-29 11:32:47-03","UFRJ","RFA","22929","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","Newton Santos","5050","1964",NA,"Brasil","Rio de Janeiro","Resende","Serra de Itatiaia, abrigo Rebouças","-44.4467010498047","-22.468900680542",NA,NA,"RFA50393",NA,"L. B. Smith",NA,NA,NA,"02","07",NA,NA,"2350","2350","36089","auto",NA,NA,NA
"8","2020-06-29 11:32:48-03","UFRJ","RFA","30779","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Pleurostima","gounelleana","Pleurostima gounelleana","(Beauverd) N.L. Menezes","Kátia T. Ribeiro",NA,"1998",NA,"Brasil",NA,"Brasil","Moitas sobre laje de pedra ao norte das Prateleiras",NA,NA,NA,NA,"RFA50410",NA,"J. M. A. Braga",NA,NA,NA,"02",NA,NA,NA,"2400","2400",NA,NA,NA,NA,NA
"9","2020-02-08 10:09:44-03","NBC","NL-BOTANY","U.1752924","PreservedSpecimen","Plantae",NA,"Pandanales","Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","Camerik AM",NA,"1975","Southern America","Brazil",NA,NA,"Brasil, Est. Rio de Janeiro, Parque Nac. do Itatrata.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1752924 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1752924","NL-U1752924",NA,NA,NA,NA,"03","15",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"10","2020-02-08 10:09:44-03","NBC","NL-BOTANY","U.1752925","PreservedSpecimen","Plantae",NA,"Pandanales","Velloziaceae","Barbacenia","gounelleana","Barbacenia gounelleana","Beauverd","Camerik AM",NA,"1975","Southern America","Brazil",NA,NA,"Brasil, Est. Rio de Janeiro, Parque Nac. do Itatrata.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1752925 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1752925","NL-U1752925",NA,NA,NA,NA,"03","15",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
