"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","continentOcean","country","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","month","day","stateProvince","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1043471","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","elliptica","Myrcia elliptica","Gardner","E. M. Nic Lughadha","isotype","G. Gardner","II, no.415","1837","South America","Brazil","Serra dos Orgaos","-43.073169","-22.496706","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1207610' target='other'> <mi>dwc_moreinfo</mi></a>","NY01043471","NY01043471_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1043468","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","elliptica","Myrcia elliptica","Gardner","E. M. Nic Lughadha","isotype","G. Gardner","II, no.415","1837","South America","Brazil","Serra dos Orgaos","-43.073169","-22.496706","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1207614' target='other'> <mi>dwc_moreinfo</mi></a>","NY01043468","NY01043468_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00979149","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eriocalyx","Myrcia eriocalyx","DC.",NA,NA,"E. Forero","8002","1980","South America","Brazil","Serra do Cipó, km 107 camino para Usina Dr. Pacífico Mascarenhas","-43.7142","-19.1692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1076851' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979149","NY00979149_01","09","07","Minas Gerais","Santana do Riacho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00907976","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eriocalyx","Myrcia eriocalyx","DC.",NA,NA,"H. S. Irwin","28731","1971","South America","Brazil","Serra do Espinhaço, middle and upper slopes, south side of Serra da Piedade, ca. 5 km N. of Caeté","-43.67613","-19.82237","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990231' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907976","NY00907976_01","01","19","Minas Gerais",NA,"1800","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","823240","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eriocalyx","Myrcia eriocalyx","DC.",NA,NA,"J. G. Jardim","54","1993","South America","Brazil","Ca. de 10 km, no Morrão do Chapéu, ao SW da cidade.","-41.1558","-11.5503","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=938163' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823240","NY00823240_01","02","22","Bahia","Morro do Chapéu","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00979148","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eriocalyx","Myrcia eriocalyx","DC.",NA,NA,"H. S. Irwin","19629","1968","South America","Brazil","Serra do Itabirito, ca. 48km S.E. of Belo Horizonte.","-43.8","-20.22","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1076827' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979148","NY00979148_01","02","09","Minas Gerais",NA,"1750","1750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00979151","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eriocalyx","Myrcia eriocalyx","DC.",NA,NA,"W. R. Anderson","35492","1972","South America","Brazil","Serra do Espinhaço, ca. 14 km SW of Diamantina on road to Gouveia","-43.68695","-18.3159","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1076833' target='other'> <mi>dwc_moreinfo</mi></a>","NY00979151","NY00979151_01","02","05","Minas Gerais",NA,"1300","1360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00907977","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eriocalyx","Myrcia eriocalyx","DC.",NA,NA,"W. R. Anderson","36360","1972","South America","Brazil","Serra do Espinhaço, Serra do Cipó","-43.567497","-19.391589","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=990235' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907977","NY00907977_01","02","20","Minas Gerais",NA,"1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","594963","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eriocalyx","Myrcia eriocalyx","DC.",NA,NA,"H. S. Irwin","29387","1971","South America","Brazil","Serra do Espinhaço. Lower slopes of Pico de Itacolomí, ca. 2 km S of Ouro Preto","-43.473094","-20.427823","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=54470' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594963","NY00594963_01","01","30","Minas Gerais",NA,"1600","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","594961","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eriocalyx","Myrcia eriocalyx","DC.",NA,NA,"L. R. Landrum","4202","1982","South America","Brazil","Posse section of Teresópolis","-42.9656","-22.4122","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=54471' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594961","NY00594961_01","01","27","Rio de Janeiro","Teresópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
