"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","recordNumber","year","month","day","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","decimalLongitude","decimalLatitude","imagecode","class","relatedCatalogItem","typeStatus","yearIdentified","county","coordinatePrecision","geoFlag","individualCount","fieldNumber","verbatimLongitude","verbatimLatitude"
"1","2020-09-23 10:38:32-03","E","E","153099","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","drummondii","Cyperus drummondii","Reineck, E.M.","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:160342","<a href=http://data.rbge.org.uk/herb/E00153099 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","668637","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","virens","Cyperus virens drummondii","I. L. Wiggins","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=637473' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668637","Magnoliophyta","Poales","drummondii","(Torr. & Hook.) Kük.","M. F. Denton","680","1967","02","18","Galápagos","Foot of steep ridge, S slope of Mt. Crocker, Isla Santa Cruz (Indefatigable Island).","630","630",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-10-19 09:33:00-02","NY","NYBG","668638","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","virens","Cyperus virens drummondii","F. H. F. Oldenburger","South America","Suriname","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=637470' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668638","Magnoliophyta","Poales","drummondii","(Torr. & Hook.) Kük.","M. F. Denton","ON51","1968","09","03","Sipaliwini","West Sip.sav. N. of '4-Gebroeders' creek. Sipaliwini savanna area on Brazilian frontier.","260","260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","636769","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","virens","Cyperus virens drummondii","C. E. O. Kuntze","South America","Brazil","sheet",NA,"Friedenau b. Berlin <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=637471' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636769","Magnoliophyta","Poales","drummondii","(Torr. & Hook.) Kük.","M. F. Denton","24","1892","12",NA,"Rio de Janeiro","Itatiaya.","1200","1200","-44.581244","-22.382006","NY00636769_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","636768","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","virens","Cyperus virens drummondii","A. Usteri","South America","Brazil","sheet",NA,"Ex.Herv.da Esc.Polyt.de S.Paulo. s/n° <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=637469' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636768","Magnoliophyta","Poales","drummondii","(Torr. & Hook.) Kük.","M. F. Denton","9371","1905","02","26","São Paulo","Rio Tietê, S. Paulo.",NA,NA,"-46.5647","-23.523464","NY00636768_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:13:13-03","NBC","NL-BOTANY","U.1238288","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","drummondii","Cyperus drummondii","Oldenburger FHF; Norde R; Schulz JP","Southern America","Surinam",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1238288 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1238288",NA,"Poales",NA,"Torr. & Hook.","Tucker GC",NA,"1968","09","03",NA,NA,NA,NA,NA,NA,"NL-U1238288","Magnoliopsidae","U 0070622",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:13:13-03","NBC","NL-BOTANY","U.1238289","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","drummondii","Cyperus drummondii","Rombouts HE","Southern America","Surinam",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1238289 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1238289",NA,"Poales",NA,"Torr. & Hook.","Tucker GC",NA,"1937","12","30",NA,NA,NA,NA,NA,NA,"NL-U1238289","Magnoliopsidae","U 0070619",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:13:13-03","NBC","NL-BOTANY","U.1238290","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","drummondii","Cyperus drummondii","Collector indigenous (Sur)","Southern America","Surinam",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1238290 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1238290",NA,"Poales",NA,"Torr. & Hook.","Tucker GC",NA,"1913","08","24",NA,NA,NA,NA,NA,NA,"NL-U1238290","Magnoliopsidae","U 0070620",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:13:44-03","NBC","NL-BOTANY","L.1383486","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","virens","Cyperus virens drummondii","Ule EHG","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1383486 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1383486",NA,"Poales","drummondii",NA,NA,NA,"1909","10","01",NA,"An einem Bashe riv., Serra do Utelu, Serra do Banco, Rio Branco; !. *.",NA,NA,NA,NA,"NL-L1383486","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:13:44-03","NBC","NL-BOTANY","L.1383487","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","virens","Cyperus virens drummondii","Pedersen TM","Southern America","Paraguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1383487 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1383487",NA,"Poales","drummondii",NA,NA,NA,"1965","12","27",NA,"West ground, Estancia 'La Soledad' (Isla Carpincho), Santiago, Dep. Misiones.",NA,NA,NA,NA,"NL-L1383487","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-02-02 14:38:00-02","BGBM","B","B 10 0244288","S","Plantae","Cyperaceae","Cyperus","virens","Cyperus virens var. drummondii","F. Sellow","Middle and South America","Brazil",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100244288 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100244288",NA,NA,"var. drummondii","Kük.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B100244288",NA,NA,"holotype",NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-02-02 14:38:00-02","BGBM","B","B 10 0244287","S","Plantae","Cyperaceae","Cyperus","virens","Cyperus virens var. drummondii","F. Sellow","Middle and South America","Brazil",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100244287 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100244287",NA,NA,"var. drummondii","Kük.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B100244287",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-08-20 09:59:39-03","UNICAMP","UEC","94540","S","Plantae","Cyperaceae","Cyperus","drummondii","Cyperus drummondii","Faria, AD; Aona, LYS",NA,"Brazil",NA,NA,NA,"UEC098390","Liliopsida",NA,NA,"Torr. & Hook.","Tucker, GC","9538","1995","12","05","São Paulo","Lago Próximo à Engenharia Elétrica no Campus da UNICAMP.",NA,NA,"-47.060001373291","-22.8999996185303","UEC098390",NA,NA,NA,"2002","Campinas","23900","auto",NA,NA,NA,NA
"14","2019-09-20 09:45:00-03","MO","MOBOT","101155409","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","drummondii","Cyperus drummondii","Dimitri Sucre|Pedro I.S. Braga","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"Torr. & Hook.","G.C. Tucker","Sucre 4247","1968","12","7","Rio de Janeiro","Mata do Judeu.","700.00000000",NA,"-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,NA,"Petrópolis","36524","auto","1",NA,NA,NA
"15","2013-05-13 09:25:00-03","MO","MOBOT","2911976","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","drummondii","Cyperus drummondii","C. D'Angelo","South America","Argentina",NA,NA,NA,NA,NA,NA,NA,"Torr. & Hook.","Gordon C. Tucker (EIU)","D'Angelo 813","1984","4",NA,"Santa Fé","Proximidades de Nueva Italia. En un chilcal de Tessaria dodoneaefolia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"San Cristóbal",NA,NA,"1",NA,NA,NA
"16","2011-03-30 20:03:00-03","MO","MOBOT","2939312","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","drummondii","Cyperus drummondii","Ariel Lliully|Martha Serrano|Jeaneth Villalobos","South America","Bolivia",NA,NA,NA,NA,NA,NA,NA,"Torr. & Hook.","Gordon C. Tucker (EIU)","Lliully 240","2005","3","6","Tarija","Mpio. Padcaya. Reserva Nacional de Florea y Fauna Tariquía. Suelos anegados y vertientes permanentes cercanas al E del campamento Los Pinos. Bosque montano Tucumano-Boliviano. Abundancia de especies siempreverdes: Myrcianthes callicoma, Siphoneugena occidentalis. Area on alta influencia de neblina permanente, muy húmedo. Sotobosque caracterizado por la presencia de Pteris deflexa y Salvia spp.","1600.00000000",NA,"-64.51666","-21.92027",NA,NA,NA,NA,NA,"Arce",NA,NA,NA,NA,NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","3100025","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","drummondii","Cyperus drummondii","Henry H. Rusby","South America","Bolivia",NA,NA,NA,NA,NA,NA,NA,"Torr. & Hook.","G.C. Tucker (EIU)","Rusby 1407","1921","11",NA,"Beni","Near Lake Rogagua","304.80000000",NA,"-67","-14.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2009-10-17 06:50:00-03","MO","MOBOT","270679","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","virens","Cyperus virens drummondii","Elsa M. Zardini|Isabel Basualdo|Fátima Mereles|Nélida Soria","South America","Paraguay",NA,NA,NA,NA,NA,NA,"drummondii","(Torr. & Hook.) Kük.","R. Carter (VSC)","Zardini 2655","1987","5","25","Presidente Hayes","Cerrito. Cercanias del Río Verde.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","87-18",NA,NA
"19","2009-10-14 20:36:00-03","MO","MOBOT","3053036","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","virens","Cyperus virens drummondii","Rosa Degen|Elsa M. Zardini","South America","Paraguay",NA,NA,NA,NA,NA,NA,"drummondii","(Torr. & Hook.) Kük.","R. Carter","Degen 573","1987","12","4","Cordillera","Cerro Tobati. En sitios bajos y húmedos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2012-04-11 11:40:00-03","MO","MOBOT","3053070","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","virens","Cyperus virens drummondii","Alban N. Stewart","South America","Ecuador",NA,NA,NA,NA,NA,NA,"drummondii","(Torr. & Hook.) Kük.","M.F. Denton","Stewart 1075","1905",NA,NA,"Galapagos","Chatham Island. Wreck Bay. In open, grassy areas at 1750 ft. Collected February 23.","533.40000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
