"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","relatedCatalogItem","verbatimLongitude","verbatimLatitude","relationshipType","previousCatalogNumber","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","784372","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","sabulosa","Polygala sabulosa","A.W.Benn.","M. do C. M. Marques","M. Kuhlmann","2583","1950","10","26","South America","Brazil","Minas Gerais","Sapucai-Mirim, Serraria Boa Vista Pedra de Afiar.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=631172' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784372","NY00784372_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00784367","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","sabulosa","Polygala sabulosa","A.W.Benn.","O. A. Guimarães","A. C. Cervi","2079","1982","10","06","South America","Brazil","Paraná","Parque Vila Velha.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=631170' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784367","NY00784367_01","Ponta Grossa","-50.012929","-25.234872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00784371","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","sabulosa","Polygala sabulosa","A.W.Benn.","J. Y. V. Norlind","P. K. H. Dusén","6787","1908","10","07","South America","Brazil","Paraná","Curityba, in paludosis.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=631171' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784371","NY00784371_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01131951","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","sabulosa","Polygala sabulosa","A.W.Benn.","R. Lüdtke","R. Lüdtke","91","2002","12","17","South America","Brazil","Rio Grande do Sul","Beira de estrada, próximo a banhado.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1285209' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131951","NY01131951_01","Sao José dos Ausentes","-50.0656","-28.7483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00784369","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","sabulosa","Polygala sabulosa","A.W.Benn.","J. J. Wurdack","R. Reitz","5333","1957","10","19","South America","Brazil","Santa Catarina","Faz. Ernesto Scheide, Campo Alegre.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=631174' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784369","NY00784369_01",NA,NA,NA,"900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00634518","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","sabulosa","Polygala sabulosa","A.W.Benn.","R. Lüdtke","G. G. Hatschbach","17251","1967","10","03","South America","Brazil","Paraná","Rio Canguiri","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=154920' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634518","NY00634518_01","Colombo","-49.2242","-25.2919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00932499","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","sabulosa","Polygala sabulosa","A.W.Benn.","M. do C. M. Marques","M. Kuhlmann","2583","1950","10","26","South America","Brazil","Minas Gerais","Sapucai-Mirim, Serraria Boa Vista, Pedra de Afiar","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1005770' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00784370","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","sabulosa","Polygala sabulosa","A.W.Benn.","J. J. Wurdack","R. Reitz","10147","1960","10","13","South America","Brazil","Santa Catarina","Serra da Boa Vista, Sao José.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=631173' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784370","NY00784370_01","Sao José","-48.6272","-27.6156","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00784368","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","sabulosa","Polygala sabulosa","A.W.Benn.","A. L. Bernardi","B. Rambo","33869","1946","01","01","South America","Brazil","Rio Grande do Sul","Vila Oliva, S. Fr. de Paula.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=631175' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784368","NY00784368_01",NA,"-50.890537","-29.219297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:20:43-03","UFRJ","RFA","9072","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","sabulosa","Polygala sabulosa","A.W. Benn.","J.J. Wurdack","G.G. Hatschbach","17251","1967","10","03",NA,"Brasil","Paraná","Rio Canguiri",NA,"Flor alvascenta","RFA47708",NA,"Colombo","-49.2242012023926","-25.2917003631592",NA,NA,"13536","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
