"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","821638","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Malouetia","arborea","Malouetia arborea","(Vell.) Miers","M. E. Endress","J. G. Kuhlmann","s.n.","1925","12","15","South America","Brazil","Rio de Janeiro","Sta. Tereza","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=900021' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821638","NY00821638_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","821632","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Malouetia","arborea","Malouetia arborea","(Vell.) Miers","M. E. Endress","G. G. Hatschbach","23300","1970","01","07","South America","Brazil","Paraná","Rio de Cedro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=900004' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821632","NY00821632_01","Guaraqueçaba","-48.3289","-25.3069","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 20:28:00-03","NY","NYBG","821637","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Malouetia","arborea","Malouetia arborea",NA,"M. E. Endress","H. C. de Lima","2487","1984","12","13","South America","Brazil","Rio de Janeiro","Paraiso, Centro de Primatologia, próximo a represa da CEDAE. Quadrat Iv, árvore no. 15.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=900018' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821637","NY00821637_01","Magé","-43.0406","-22.6531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","821636","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Malouetia","arborea","Malouetia arborea","(Vell.) Miers","M. E. Endress","H. de F. Leitão Filho","10761","1979","12","11","South America","Brazil","São Paulo","Mun. Ilha do Cardoso.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=900016' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821636","NY00821636_01",NA,"-47.992538","-25.197304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 00:45:00-03","NY","NYBG","1018099","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Malouetia","arborea","Malouetia arborea",NA,NA,"S. J. da Silva Neto","1582","2001","12","12","South America","Brazil","Rio de Janeiro","Repressa do Macuco, trilha Cana do Reino.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1248671' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018099","NY01018099_01","Nova Iguaçú","-43.4508","-22.7594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","821639","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Malouetia","arborea","Malouetia arborea","(Vell.) Miers","M. E. Endress","Pessoal do Horto Florestal","s.n.","1928","01","18","South America","Brazil","Rio de Janeiro","Horto Florestal do Rio Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=900022' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821639","NY00821639_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","821634","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Malouetia","arborea","Malouetia arborea","(Vell.) Miers","M. E. Endress","G. Gardner","4547",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=900006' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821634","NY00821634_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","821635","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Malouetia","arborea","Malouetia arborea","(Vell.) Miers","M. E. Endress","A. F. M. Glaziou","5934","1872","01","03","South America","Brazil","Rio de Janeiro","Gavea","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=900013' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821635","NY00821635_01",NA,"-43.250118","-22.98261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","970990","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Malouetia","arborea","Malouetia arborea","(Vell.) Miers","M. E. Endress","G. Gardner","4547","1842",NA,NA,"South America","Brazil","Minas Gerais",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063959' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970990","NY00970990_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","887242","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Malouetia","arborea","Malouetia arborea","(Vell.) Miers","L. S. Kinoshita-Gouvêa","M. R. F. Melo","600","1985","12","09","South America","Brazil","São Paulo","Ilha do Cardoso, Praia de Ipanema, restinga de Ipanema.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1090090' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887242","NY00887242_01","Cananéia","-47.903368","-25.112762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","821633","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Malouetia","arborea","Malouetia arborea","(Vell.) Miers","M. E. Endress","G. G. Hatschbach","s.n.","1967","12","15","South America","Brazil","Paraná","Fazenda Abobreira.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=900005' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821633","NY00821633_01","Guaraqueçaba","-48.3289","-25.3069","20","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","821640","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Malouetia","arborea","Malouetia arborea","(Vell.) Miers","M. E. Endress","H. de F. Leitão Filho","10762","1979","12","11","South America","Brazil","São Paulo","Mun. Ilha do Cardoso.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=900024' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821640","NY00821640_01",NA,"-47.992538","-25.197304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","821629","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Malouetia","cestroides","Malouetia cestroides","(Nees ex Mart.) Müll.Arg.","M. E. Fallen","J. S. Blanchet","s.n.",NA,NA,NA,"South America","Brazil","Bahia","Intratrop.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=900001' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821629","NY00821629_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","440532","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Malouetia","cestroides","Malouetia cestroides","(Nees ex Mart.) Müll.Arg.","B. F. Hansen","A. M. Amorim","1437","1993","11","10","South America","Brazil","Bahia","Coletas efetuadas na Picada da Bandeira","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551498' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440532","NY00440532_01","Una","-39.08","-15.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","415617","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Malouetia","cestroides","Malouetia cestroides","(Nees ex Mart.) Müll.Arg.","A. J. M. Leeuwenberg","W. W. Thomas","11387","1996","11","24","South America","Brazil","Bahia","Reserva Biologica de Una. Picada do Marimbondo.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=551496' target='other'> <mi>dwc_moreinfo</mi></a>","NY00415617","NY00415617_01","Una","-39.07","-15.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","821630","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Malouetia","cestroides","Malouetia cestroides","(Nees ex Mart.) Müll.Arg.","M. E. Fallen","J. S. Blanchet","2056",NA,NA,NA,"South America","Brazil",NA,"Probably Bahia.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=900002' target='other'> <mi>dwc_moreinfo</mi></a>","NY00821630","NY00821630_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
