"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","identifiedBy","year","month","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","day","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","440161","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","E. Hassler","10742","South America","Paraguay","Sierra de Amambay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754156' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","440160","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","A. C. Brade","12907","South America","Brazil","Vila Emma","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754155' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440160","G. O. A. Malme","1933","12","São Paulo","Piracicaba","-46.543068","-23.587347","NY00440160_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","440159","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","P. K. H. Dusén","7540","South America","Brazil","Rio Tibagí","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754154' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440159","G. O. A. Malme","1909","01","Paraná","Tibagi","-50.4133","-24.5094","NY00440159_01","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:18:51-03","UFRJ","RFA","11459","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","G.G. Hatschbach","26100",NA,"Brasil",NA,NA,"Ereto, flor alvecente.","RFA11125","J. Fontella","1971","01","Mato Grosso do Sul","Rio Brilhante","-54.5463981628418","-21.8019008636475",NA,"24","1971","65544","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:20:05-03","NBC","NL-BOTANY","L.2723167","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","Pedersen TM",NA,"Southern America","Argentina","Plantae Argentinae. Carambola. Dep. Concepcion. Prov. Corrientes.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2723167 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2723167",NA,"1972","01",NA,NA,NA,NA,"NL-L2723167","07",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-14 15:21:54-03","MN","R","95213","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Melinia","corymbosa","Melinia corymbosa","(Malme) Fontella & Farinaccio","Brade, A.C.","12143",NA,"Brasil",NA,NA,NA,NA,"Fontella, J.P.","1932","07","São Paulo",NA,NA,NA,NA,NA,"2002",NA,NA,NA,"10","14",NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:21:54-03","MN","R","52810","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Melinia","corymbosa","Melinia corymbosa","(Malme) Fontella & Farinaccio","Hoehne, F.C.","3101",NA,"Brasil",NA,NA,"Comissão Rondon",NA,"Fontella, J.P.","1911","06","Mato Grosso do Sul","Coxim","-54.7599983215332","-18.5067005157471",NA,NA,"2002","102528","auto",NA,"10","14",NA,NA,NA,NA,NA,NA
"8","2021-01-15 14:41:35-03","MN","R","95266","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Melinia","corymbosa","Melinia corymbosa","(Malme) Fontella & Farinaccio","Regnell, A.F.","III - 61",NA,"Brasil",NA,NA,"Ex Heb. Brasil. Regnellian. Musei bot. Stockholm.",NA,"Fontella, J.P.","1861",NA,"Minas Gerais","Caldas","-46.386100769043","-21.9235992431641",NA,NA,"2002","25710","auto",NA,"10","14",NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:21:54-03","MN","R","5129","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Melinia","corymbosa","Melinia corymbosa","(Malme) Fontella & Farinaccio","Dúsen, P.K.H.","2424",NA,"Brasil",NA,NA,"Plantae Paranaenses",NA,"Fontella, J.P.","1903","12","Paraná","Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,"06","2002","46557","auto",NA,"10","14",NA,NA,NA,NA,NA,NA
"10","2021-04-07 11:41:05-03","UFMS","CGMS","52939","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Widgrenia","corymbosa","Widgrenia corymbosa","Malme","V.J. Pott; A. Pott; S.N. Moreira","9727",NA,"Brasil","Varjão, Fazenda Modelo (Embrapa), nascente próxima à ferrovia.",NA,"Flor amarelo-clara. Habitat: Lagoa úmida em época seca. Solo orgânico. Relevo plano deprimido. Mancha ocasional. Habito: Erva ereta anfíbia, 30 - 70 cm de altura.","CGMS1082909","V.J. Pott","2007","10","Mato Grosso do Sul","Terenos","-54.7894444","-20.5583333",NA,"02",NA,NA,NA,NA,NA,NA,"-54,7894444","-20,5583333","500","500",NA,NA
