"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","county","imagecode","infraspecificEpithet","scientificNameAuthorship","typeStatus","decimalLongitude","decimalLatitude","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","coordinatePrecision","geoFlag","fieldNumber"
"1","2020-09-23 10:44:05-03","E","E","334914","PreservedSpecimen","Plantae","Umbelliferae","Eryngium","stenophyllum","Eryngium stenophyllum","Pedersen, Troels Myndel","4441","1957","01","19","Temperate South America","AR","Provincia de Corrientes","Dep. Itati; Estancia Tuyuti. By the Rí0 Paraná","herbarium specimen of unspecif","BGBASE:365035","<a href=http://data.rbge.org.uk/herb/E00334914 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:44:05-03","E","E","129132","PreservedSpecimen","Plantae","Umbelliferae","Eryngium","stenophyllum","Eryngium stenophyllum","Reineck, E.M. & Czermak, J.","239",NA,NA,NA,"E. Tropical South America","BR",NA,NA,"herbarium specimen of unspecif","BGBASE:136057","<a href=http://data.rbge.org.uk/herb/E00129132 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00129132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:44:05-03","E","E","129131","PreservedSpecimen","Plantae","Umbelliferae","Eryngium","stenophyllum","Eryngium stenophyllum","Reineck, E.M.",NA,NA,NA,NA,"E. Tropical South America","BR",NA,NA,"herbarium specimen of unspecif","BGBASE:136058","<a href=http://data.rbge.org.uk/herb/E00129131 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00129131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:44:05-03","E","E","334913","PreservedSpecimen","Plantae","Umbelliferae","Eryngium","stenophyllum","Eryngium stenophyllum","Pedersen, Troels Myndel","3066","1954","12","23","Temperate South America","AR","Provincia de Corrientes","Dep. Empedrado; Estancia Las Tres Marias. Wet ground along Arroya Ahumá","herbarium specimen of unspecif","BGBASE:365034","<a href=http://data.rbge.org.uk/herb/E00334913 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-10-21 18:41:00-02","NY","NYBG","617657","PreservedSpecimen","Plantae","Apiaceae","Eryngium","stenophyllum","Eryngium stenophyllum","E. Schwindt","2346","1949","11","08","South America","Argentina","Misiones","Delicia (Centro)","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=162217' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617657","Magnoliophyta","Apiales","Iguazú","NY00617657_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","405939","PreservedSpecimen","Plantae","Apiaceae","Eryngium","stenophyllum","Eryngium stenophyllum hassleri","E. Hassler","7130",NA,NA,NA,"South America","Paraguay",NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=359479' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405939","Magnoliophyta","Apiales",NA,"NY00405939_01","hassleri","Urb.","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","617656","PreservedSpecimen","Plantae","Apiaceae","Eryngium","stenophyllum","Eryngium stenophyllum subracemosum","G. O. A. Malme","685","1901","12","05","South America","Brazil","Rio Grande do Sul","Porto Alegre, Navagantes","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=604873' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617656","Magnoliophyta","Apiales","Porto Alegre","NY00617656_01","subracemosum","Urb.",NA,"-51.23","-30.0331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","617656","PreservedSpecimen","Plantae","Apiaceae","Eryngium","stenophyllum","Eryngium stenophyllum subracemosum","G. O. A. Malme","685","1901","12","05","South America","Brazil","Rio Grande do Sul","Porto Alegre, Navagantes","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=604873' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617656","Magnoliophyta","Apiales","Porto Alegre","NY00617656_01","subracemosum","Urb.",NA,"-51.23","-30.0331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:33:50-03","EAO","IAN","126685","PreservedSpecimen","Plantae","Apiaceae","Eryngium","stenophyllum","Eryngium stenophyllum","Del, Puerto","3801","1962","03","30","Southern America","Uruguai",NA,"Herbario 3801. Arrocera R.I.U.S.A. San Gregorio. Depto. de Artigas.",NA,NA,"Plants slender, to 2m tall, the scapes 1 few; foliage slightly bluish-green; heads white, unscented.","IAN126685","Dicotiledônea",NA,NA,NA,NA,"Urb.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:43:55-03","NBC","NL-BOTANY","L.2576465","PreservedSpecimen","Plantae","Umbelliferae","Eryngium","stenophyllum","Eryngium stenophyllum","Pedersen TM",NA,"1969","04","23","Southern America","Argentina",NA,"Paso Concepción, Dep. Santo Tomé, Prov. Corrientes.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2576465 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2576465",NA,"Apiales",NA,"NL-L2576465",NA,"Urb.",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
