"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","fieldNumber","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","individualCount","typeStatus","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","492163","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica","Lindau","D. C. Wasshausen","G. G. Hatschbach","24753","1970","09","24","South America","Brazil","Paraná","Guaraqueçaba","Fda. Abobreira.","-48.3289","-25.3069","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487215' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492163","NY00492163_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01060078","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica","Lindau",NA,"G. T. Prance","58905",NA,NA,NA,"South America","Brazil","Pará",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1215467' target='other'> <mi>dwc_moreinfo</mi></a>","NY01060078","NY01060078_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01060077","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica","Lindau","D. C. Wasshausen","C. A. Cid Ferreira","2262","1980","09","07","South America","Brazil","Pará","Oriximiná","Rio Paru do Oeste, margem esquerda da cachoeira Chuvisco. Mata de terra firme, solo argilo-arenoso.","-56.0783","-0.9997",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1215716' target='other'> <mi>dwc_moreinfo</mi></a>","NY01060077","NY01060077_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","492165","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica","Lindau","D. C. Wasshausen","C. A. Cid Ferreira","2125","1980","09","05","South America","Brazil","Pará","Oriximiná","Rio Paru do Oeste, cachoeira Pancada.","-56.05175","-1.054011",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487217' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492165","NY00492165_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01060079","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica","Lindau",NA,"G. T. Prance","1685","1965","10","26","South America","Brazil","Pará",NA,"Road BR 22, Capanema to Maranhão. Vicinty of Cachoeira, km. 96","-46.537506","-1.765546",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1215468' target='other'> <mi>dwc_moreinfo</mi></a>","NY01060079","NY01060079_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","492164","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica","Lindau","D. C. Wasshausen","C. A. Todzia","2269","1983","06","27","South America","Brazil","Amazonas","Borba","Mouth of Rio Canuma, across river from Canuma; blackwater.","-59.1036","-4.0039",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487216' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492164","NY00492164_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:29:25-03","NBC","NL-BOTANY","L.2832720","PreservedSpecimen","Plantae",NA,"Lamiales","Acanthaceae","Justicia","pseudo-amazonica","Justicia pseudo-amazonica","Lindau",NA,"Ule EHG",NA,"1901","10","01","Southern America","Brazil",NA,NA,"Bl. weiss mit violett, Fortaleza.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2832720 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2832720","NL-L2832720","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:29:25-03","NBC","NL-BOTANY","U.1047112","PreservedSpecimen","Plantae",NA,"Lamiales","Acanthaceae","Justicia","pseudo-amazonica","Justicia pseudo-amazonica","Lindau",NA,"Prance GT; Silva NT",NA,"1964","08","27","Southern America","Brazil",NA,NA,"Exploration of New Braziliam Highways, Pará. Belém-Brasília: Highway, Km. 32 Forest.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1047112 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1047112","NL-U1047112","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-09-04 08:17:42-03","MNHN","RECOLNAT_MNHN_P","P02844174","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica","Lindau",NA,"Prance, G.T.|Silva, N.T.",NA,"1964","8","27",NA,"Brasil","Pará",NA,"Belém-Brasília: Highway, km. 32.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02844174' target='other'> <mi>dwc_moreinfo</mi></a>","P02844174","P02844174_01",NA,"58905",NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-12-05 15:19:00-02","MO","MOBOT","3076618","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica","Lindau","W. Wasshausen","Carol A. Todzia|James L. Zarucchi|Stephen R. Hill|Bruce W. Nelson|C.A. Cid Ferreira|J. Guedes|J. Lima dos Santos","Todzia 2269","1983",NA,NA,"South America","Brazil","Amazonas",NA,"Municipio de Borba, mouth of RIo Canuma, across river from Canuma; blackwater.","-59","-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2011-02-23 13:34:00-03","MO","MOBOT","3076687","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica","Lindau","Lindau","C.A. Cid Ferreira|J. Ramos|C.D.A. da Mota|N. Rosas","Cid Ferreira 2125","1980",NA,NA,"South America","Brazil","Pará",NA,"Muncupio de Oriximina, rio Paru do Oeste, cachoeira Pancada. Mata de beita de rio, solo pedregoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-08-31 08:58:20-03","INPA","INPA","124536","S","Plantae","Dicotyledon Asterids","Lamiales","Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica","Lindau","Wasshausen, DC","Todzia, CA","2269","1983","06","27","Southern America","Brasil","Amazonas","Borba","Mouth of Rio Canuma, across river from Canuma; blackwater","-59","-0.066667",NA,NA,NA,NA,"INPA0124536","INPA0124536 INPA0124536_e INPA0124536_e1",NA,NA,"1985","-59","-0.066667",NA,NA,NA,NA,NA
"13","2020-08-31 08:58:20-03","INPA","INPA","162925","S","Plantae","Dicotyledon Asterids","Lamiales","Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica","Lindau",NA,"Almeida, M de","27","1990","10","17","Southern America","Brasil","Acre","Rio Branco","Estrada do Amapá, Estrada do Amapá, magem direita. Terra firme.","-67.8128","-10.0228",NA,NA,NA,NA,"INPA0162925","INPA0162925 INPA0162925_e INPA0162925_e1 INPA0162925_nd INPA0162925_num",NA,NA,NA,"-67.8128","-10.0228",NA,NA,NA,NA,NA
"14","2020-08-31 08:58:20-03","INPA","INPA","199484","S","Plantae","Dicotyledon Asterids","Lamiales","Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica","Lindau","Ramos, JF","Miranda, IP de A.","559","1997","11","15","Southern America","Brasil","Pará","Jacundá","PA-150 Marabá-Belém, km 97, Comunidade N. S. de, PA - 150 Marabá-Belém, km 97, Comunidade N. S. de Fátima, Fazenda do Sr. Passinho.","-49","-4.5",NA,NA,NA,NA,"INPA0199484","INPA0199484 INPA0199484_e",NA,NA,"1998","-49","-4.5","11",NA,NA,NA,NA
"15","2020-08-31 08:58:20-03","INPA","INPA","96364","S","Plantae","Dicotyledon Asterids","Lamiales","Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica","Lindau","Wasshausen, DC","Ferreira, CAC","2125","1980","09","05","Southern America","Brasil","Pará","Oriximiná","Rio Paru do Oeste, Rio Paru do Oeste, Cachoeira Pancada","-56.05175","-1.054011",NA,NA,NA,NA,"INPA0096364","INPA0096364 INPA0096364_e INPA0096364_e1",NA,NA,"1982","-56.05175","-1.054011",NA,NA,NA,NA,NA
"16","2020-08-31 08:58:20-03","INPA","INPA","96503","S","Plantae","Dicotyledon Asterids","Lamiales","Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica","Lindau","Wasshausen, DC","Ferreira, CAC","2262","1980","09","07","Southern America","Brasil","Pará","Oriximiná","Rio Paru do Oeste, Rio Parus do Oeste, cachoeira Chuvisco.","-56.604969","-1.203717",NA,NA,NA,NA,"INPA0096503","INPA0096503 INPA0096503_e INPA0096503_e1",NA,NA,"1982","-56.604969","-1.203717",NA,NA,NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica","Lindau",NA,"E. H. Ule","5929",NA,NA,NA,"South America","Brazil",NA,NA,"[illegible text] Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA
"18","2020-09-12 05:00:02-03","US","US","2560486","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica","Lindau",NA,"G. T. Prance & T. D. Pennington","1685","1965","10","26","South America - Neotropics","Brazil","Pará",NA,"Brazilian Amazonia, Road BR 22, Capanema to Maranhão, Vicinity of Cachoeira, Km. 96.",NA,NA,NA,NA,NA,NA,"US02880288","US02880288_01","Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","2454321","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica","Lindau",NA,"G. T. Prance & N. Silva","58905","1964","8","27","South America - Neotropics","Brazil","Pará",NA,"New Brazilian Highways, Belém-Brasília Highway, Km. 32.",NA,NA,NA,NA,NA,NA,"US02880289","US02880289_01","Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","3013868","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica","Lindau",NA,"C. A. Todzia, J. L. Zarucchi, S. R. Hill, B. W. Nelson & et al.","2269","1983","6","27","South America - Neotropics","Brazil","Amazonas",NA,"Municipio de Borba, mouth of Rio Canuma, across river from Canuma.",NA,NA,NA,NA,NA,NA,"US02880285","US02880285_01","Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA
"21","2020-09-12 05:00:02-03","US","US","2950868","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica","Lindau",NA,"C. A. Cid Ferreira, J. Ramos, C. D. A. Mota & N. Rosas","2262","1980","9","7","South America - Neotropics","Brazil","Pará",NA,"Município de Oriximiná, rio Paru do Oeste, margem esquerda da cachoeira Chuvisco.",NA,NA,NA,NA,NA,NA,"US02880286","US02880286_01","Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA
"22","2020-09-12 05:00:02-03","US","US","2950871","PreservedSpecimen","Plantae",NA,"Scrophulariales","Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica","Lindau",NA,"C. A. Cid Ferreira, J. Ramos, C. D. A. Mota & N. Rosas","2125","1980","9","5","South America - Neotropics","Brazil","Pará",NA,"Município de Oriximiná, rio Paru do Oeste, cachoeira Pancada. Mata de beira de rio, solo pedregoso.",NA,NA,NA,NA,NA,NA,"US02880287","US02880287_01","Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA
"23","2019-09-04 18:32:15-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica",NA,NA,"E. H. G. Ule","5929","1901",NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA
"24","2018-05-14 17:45:09-03","F","FMNH-SEEDPLANTS","V0249944F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica",NA,"RRC ID Flag","G. T. Prance","58905",NA,NA,NA,"South America","Brazil","Pará",NA,NA,"-53","-4",NA,NA,NA,NA,"V0249944F","V0249944F_01 V0249944F_02","Dicotyledoneae","58905",NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-09-18 09:32:34-03","UFAC","UFACPZ","6188","PreservedSpecimen","Plantae",NA,"Lamiales","Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica","Cid Ferreira, CA",NA,"Silveira, M","575","1993","10","21",NA,"Brasil","Acre","Sena Madureira","Fazenda Nova Olinda, Carreador do Palmares, ca 8km, Bacia do Rio Purus.","-69","-10",NA,NA,NA,"Liana volúvel em árvore a 12m; inflorescência pendente; cálice esverdeado; corola translúcida branca.; Terreno ondulado; área de extração selectiva de madeira.","UFACPZ006188",NA,NA,NA,NA,"-69","-10",NA,NA,NA,NA,NA
"26","2020-09-18 09:32:34-03","UFAC","UFACPZ","6854","PreservedSpecimen","Plantae",NA,"Lamiales","Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica","Cid Ferreira, CA",NA,"Figueiredo, CS","78","1992","11","03",NA,"Brasil","Acre","Rio Branco","Parque Zoobotânico/ UFAC.","-67","-10",NA,NA,NA,"Liana. Botões e flores. Inflorescência com raque e flores com corola e órgãos reprodutivos creme, sem odor. Dióica.; Borda de capoeira, solo arenoso.","UFACPZ006854",NA,NA,NA,NA,"-67","-10",NA,NA,NA,NA,NA
"27","2020-09-18 09:32:34-03","UFAC","UFACPZ","1206","PreservedSpecimen","Plantae",NA,"Lamiales","Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica","Cid Ferreira, CA",NA,"Coêlho, L","2037","1984","02","23",NA,"Brasil","Acre","Xapuri","Rio Xapuri., Seringal Nova vida.","-68.5044021606445","-10.6517000198364",NA,NA,NA,"Cipó; frutos imaturos.; Mata de solo argiloso.","UFACPZ001206",NA,NA,NA,NA,NA,NA,NA,NA,NA,"103965","auto"
"28","2014-10-09 13:58:12-03","UHH","HBG","522718","S","Plantae",NA,NA,"Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica","Lindau",NA,"Ule, E.","5929","1901","10",NA,"South America","Brazil",NA,NA,"Rio Juruá inf., rst. Fortaleza",NA,NA,NA,NA,NA,NA,"HBG522718",NA,NA,NA,NA,NA,NA,NA,NA,"Type",NA,NA
"29","2014-09-23 10:56:34-03","G","G","G00236355","S","Plantae",NA,NA,"Acanthaceae","Justicia","pseudoamazonica","Justicia pseudoamazonica","Lindau","?","Ule, E. H. G.","5929","1901",NA,"00","AMERIQUE DU SUD","Brazil","Acre",NA,NA,"-70.3225","-9.62305556",NA,NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=184260&base=img&lang=en","G00236355","G00236355",NA,NA,NA,"-70.3225","-9.62305556",NA,NA,"TYPUS of Justicia pseudoamazonica Lindau",NA,NA
