"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","continentOcean","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","relationshipType","relatedCatalogItem","class","individualCount","typeStatus","fieldNumber"
"1","2021-04-05 14:24:52-03","UNESC","CRI","10995","PreservedSpecimen","Plantae","Arecaceae","Butia","eriospatha","Butia eriospatha","(Mart. ex Drude) Becc.","Guilherme Alves Elias","2015","05","08","Guilherme Alves Elias; Roseli Bortoluzzi","13","2015","04","24","Brasil","Santa Catarina","Lages","Campus da UDESC.","-50.326111","-27.816111","50º19'34''W","27º48'58''S","900","900","CRI000644","CRI000644_1 CRI000644_2 CRI000644_3 CRI000644_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00567897","PreservedSpecimen","Plantae","Arecaceae","Butia","eriospatha","Butia eriospatha","(Mart. ex Drude) Becc.","L. R. Noblick",NA,NA,NA,"G. Jönsson","985a","1914","09","24","Brazil","Paraná","Almirante Tamandaré","Jamandaré","-49.290126","-25.310726",NA,NA,NA,NA,"NY00567897","NY00567897_01","Magnoliophyta","Arecales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=398520' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 12:22:00-03","NY","NYBG","567907","PreservedSpecimen","Plantae","Arecaceae","Butia","eriospatha","Butia eriospatha",NA,"A. J. Henderson",NA,NA,NA,"M. Rossato","3","1999","09","18","Brazil","Rio Grande do Sul","Erechim",NA,"-51.9628","-27.5714",NA,NA,NA,NA,"NY00567907","NY00567907_01 NY00567907_02 NY00567907_03 NY00567907_04","Magnoliophyta","Arecales","South America","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=398519' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 12:22:00-03","NY","NYBG","00567896","PreservedSpecimen","Plantae","Arecaceae","Butia","eriospatha","Butia eriospatha",NA,"L. R. Noblick",NA,NA,NA,"A. Krapovickas","23065","1973","01","30","Brazil","Santa Catarina","Ponte Alta","Ponte Alta do Sul, Km 315, ruta BR-116.","-50.3803","-27.4844",NA,NA,NA,NA,"NY00567896","NY00567896_01","Magnoliophyta","Arecales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=398517' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00567895","PreservedSpecimen","Plantae","Arecaceae","Butia","eriospatha","Butia eriospatha","(Mart. ex Drude) Becc.","R. Reitz",NA,NA,NA,"L. B. Smith","9835","1957","01","03","Brazil","Santa Catarina","Joaçaba","Vecinity of Ponte Serrada, 11 km. from PS.","-51.5044","-27.1783",NA,NA,"700","900","NY00567895","NY00567895_01","Magnoliophyta","Arecales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=398516' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 12:22:00-03","NY","NYBG","00568334","PreservedSpecimen","Plantae","Arecaceae","Butia","eriospatha","Butia eriospatha",NA,"L. R. Noblick",NA,NA,NA,"A. Krapovickas","23065","1973","01","30","Brazil","Santa Catarina","Ponte Alta","Ponte Alta do Sul, Km 315, ruta BR-116.","-50.3803","-27.4844",NA,NA,NA,NA,"NY00568334","NY00568334_01","Magnoliophyta","Arecales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=398518' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 12:22:00-03","NY","NYBG","567905","PreservedSpecimen","Plantae","Arecaceae","Butia","eriospatha","Butia eriospatha",NA,NA,NA,NA,NA,"L. R. Noblick","4874","1992","05","14","Brazil","Paraná","Curitiba","Bairro Guabirituba","-49.25","-25.42",NA,NA,"600","700","NY00567905","NY00567905_01 NY00567905_02 NY00567905_03 NY00567905_04 NY00567905_05","Magnoliophyta","Arecales","South America","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=398521' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:51:29-03","EAO","IAN","60203","PreservedSpecimen","Plantae","Arecaceae","Cocos","eriospatha","Cocos eriospatha","Mart.",NA,NA,NA,NA,"Glaziou, AFM","8850",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN060203","IAN060203 IAN060203_e IAN060203_f","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:26:25-03","PUCPR","HUCP","15739","S","Plantae","Arecaceae","Butia","eriospatha","Butia eriospatha","(Mart. ex Drude) Becc.","Wilberg, DQ",NA,NA,NA,"Wilberg, DQ","039","1998","10","23","Brasil","Paraná","São José dos Pinhais","Nutrimental","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,"HUCP00004818","HUCP00004818","Monocotiledonea",NA,NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:00:30-03","ESALQ","ESA","49725","PreservedSpecimen","Plantae","Arecaceae","Butia","eriospatha","Butia eriospatha","(Mart.) Becc.","Gondim Jr., M.G.C.",NA,NA,NA,"Gondim Jr., M.G.C.","5.0","1998","03","20","Brasil","São Paulo","Piracicaba",NA,"-47.6399993896484","-22.7199993133545",NA,NA,NA,NA,"ESA049725","ESA049725_1 ESA049725_2 ESA049725_3 ESA049725_4","Magnoliophyta",NA,NA,NA,NA,"44778","auto",NA,NA,NA,NA,NA,NA
