"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","stateProvince","county","decimalLongitude","decimalLatitude","maximumElevationInMeters","identifiedBy","infraspecificEpithet","typeStatus","yearIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","4124012","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","quadrifolia","Peperomia quadrifolia","(L.) Kunth","P. C. D. Cazalet","7520","1962","02","26","South America","Ecuador","Santiago-Zamora: Taisha","457","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4442802' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124012","NY04124012_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4123978","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","quadrifolia","Peperomia quadrifolia","(L.) Kunth","L. C. M. Croizat","s.n.","1951",NA,NA,"South America","Venezuela",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4442743' target='other'> <mi>dwc_moreinfo</mi></a>","NY04123978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","4124028","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","quadrifolia","Peperomia quadrifolia","(L.) Kunth","O. Huber","8447","1983","11","12","South America","Venezuela","Sector Norte de la Sierra Parima. Bosques medianos y bajos sobre cerros a aprox. 5-8 km al N de Shimada-Wochi","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4442818' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124028",NA,"Amazonas","Atabapo","-54.62","3.87","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4123992","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","quadrifolia","Peperomia quadrifolia","(L.) Kunth","P. J. Grubb","1079A","1960","07","29","South America","Ecuador","Primary Montane Forest E. of Borja","1829","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4442757' target='other'> <mi>dwc_moreinfo</mi></a>","NY04123992","NY04123992_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","559697","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","quadrifolia","Peperomia quadrifolia","(L.) Kunth","C. W. Mosén","1654","1874","04","01","South America","Brazil","Serra de Caracol",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=526498' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559697","NY00559697_01 NY00559697_02","São Paulo","Sao Joao da Boa Vista","-46.79","-21.96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4123995","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","quadrifolia","Peperomia quadrifolia","(L.) Kunth","G. W. Prescott","488","1953","02","15","South America","Ecuador","Rio Pastaza",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4442760' target='other'> <mi>dwc_moreinfo</mi></a>","NY04123995","NY04123995_01","Tungurahua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","250638","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","quadrifolia","Peperomia quadrifolia","(L.) Kunth","E. P. Killip","16637","1927","01","05","South America","Colombia","Eastern Cordillera; Rio Surata valley, above Surata","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=329402' target='other'> <mi>dwc_moreinfo</mi></a>","NY00250638","NY00250638_01","Santander",NA,NA,NA,"2300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","559691","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","quadrifolia","Peperomia quadrifolia","(L.) Kunth","J. M. Schunke-Vigo","9637","1977","06","06","South America","Peru","Distrito: Alonso de Alvarado. San Juan de Pacaizapa, km 72 carretera Tarapoto-Moyobamba","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=526491' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559691","NY00559691_01","San Martín","Lamas",NA,NA,"1050","R. Callejas Posada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","559699","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","quadrifolia","Peperomia quadrifolia","(L.) Kunth","A. Löfgren","1266","1889","07","09","South America","Brazil","Mogi-Guassu",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=526500' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559699","NY00559699_01","São Paulo","Moji-Guaçu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4124014","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","quadrifolia","Peperomia quadrifolia","(L.) Kunth","J. A. Steyermark","11538","1981","04","29","South America","Venezuela","10 (airline) km ESE of La Fundación, 23 km by road, around Represa Dorada, 0 to 3 km below dam","450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4442804' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124014",NA,"Táchira",NA,"-71.7797","7.78","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","4124018","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","quadrifolia","Peperomia quadrifolia","(L.) Kunth","H. H. Rusby","2210","1885",NA,NA,"South America","Bolivia","Yungas.","1829","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4442808' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124018",NA,"La Paz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-09-29 22:49:00-03","NY","NYBG","00957000","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","quadrifolia","Peperomia quadrifolia",NA,"S. E. Henschen","III -1105","1869","02","23","South America","Brazil","Caldas",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084540' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957000","NY00957000_01","Minas Gerais","Caldas","-46.3858","-21.9236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-29 14:35:00-03","NY","NYBG","559698","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","quadrifolia","Peperomia quadrifolia",NA,"F. Segadas-Vianna","733","1945","03","03","South America","Brazil","Itatiaia, Maromba","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=526499' target='other'> <mi>dwc_moreinfo</mi></a>","NY00559698","NY00559698_01 NY00559698_02","Rio de Janeiro","Itatiaia","-44.609817","-22.331098","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","4124027","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","quadrifolia","Peperomia quadrifolia","(L.) Kunth","J. A. Steyermark","60556","1944","11","25","South America","Venezuela","lower portion of Quebrada O-paru-má, tributary of Río Pacairao, below Santa Teresita de Kavanayén","915","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4442817' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124027",NA,"Bolívar",NA,NA,NA,"1065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","4123982","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","quadrifolia","Peperomia quadrifolia","(L.) Kunth","B. Peyton","186","1982","05","05","South America","Peru","Machu Picchu, near the Inca trail above the village of Hatunchaca. (plot #38). Aspect S, slope 0% Humid Subtropical Mt. Forest, in a streambed","3050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4442747' target='other'> <mi>dwc_moreinfo</mi></a>","NY04123982","NY04123982_01","Cusco","Urubamba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","4124022","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Peperomia","quadrifolia","Peperomia quadrifolia","(L.) Kunth","J. M. Schunke-Vigo","6407","1973","07","25","South America","Peru",NA,"350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4442812' target='other'> <mi>dwc_moreinfo</mi></a>","NY04124022",NA,"San Martín","Mariscal Cáceres",NA,NA,"380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
