"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","identifiedBy","individualCount","infraspecificEpithet","recordedBy","recordNumber","continentOcean","preparationType","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","typeStatus","minimumElevationInMeters","maximumElevationInMeters","sex"
"1","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1423","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & Rowley","2009","11","01","Brasil","Rio de Janeiro","São Francisco de Itabapoana","Bairro do Sonho, terreno baldio","-40.9613990783691","-21.3019008636475","48091","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1372","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & Rowley",NA,NA,NA,"Brasil","Rio de Janeiro","Macaé","Parque Nacional da Restinga de Jurubatiba","-41.7868995666504","-22.3708000183105","47209","254","auto","Nygel Taylor","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1364","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & Rowley",NA,NA,NA,"Brasil","Rio de Janeiro","Macaé","Parque Nacional da Restinga de Jurubatiba","-41.7868995666504","-22.3708000183105","47209","254","auto","Nygel Taylor","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1373","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & Rowley",NA,NA,NA,"Brasil","Rio de Janeiro","Macaé","Parque Nacional da Restinga de Jurubatiba","-41.7868995666504","-22.3708000183105","47209","254","auto","Nygel Taylor","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1394","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","floccosus","Pilosocereus floccosus subsp. quadricostatus (f.ritter) zappi","Byles & Rowley",NA,NA,NA,"Brasil","Minas Gerais","Pedra Azul","Fazenda Bom Jardim","-41.2971992492676","-16.0053005218506","39993","254","auto","Nygel Taylor","4","subsp. quadricostatus (f.ritter) zappi","Inês Ribeiro de Andrade;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","645519","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & G.D.Rowley","1915","07","12","Brazil","Rio de Janeiro",NA,"Urea Mt. Vicinity of Rio de Janeiro",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431935' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"D. C. Zappi",NA,NA,"J. N. Rose","20223","South America","sheet","NY00645519","NY00645519_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","645517","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & G.D.Rowley","1915","07","14","Brazil","Rio de Janeiro",NA,"Base of Dois Irmaos, Rio de Janeiro",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431933' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"D. C. Zappi",NA,NA,"J. N. Rose","20262","South America","sheet","NY00645517","NY00645517_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","645518","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & G.D.Rowley","1915","07","17","Brazil","Rio de Janeiro",NA,"Island of Juparayba, Rio de Janeiro Bay",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431934' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"D. C. Zappi",NA,NA,"J. N. Rose","20285","South America","sheet","NY00645518","NY00645518_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02714643","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & G.D.Rowley","1997","07","18","Brazil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal. Along shore at Pistolaçu, north of Corumbau","-39.1425","-16.8692",NA,"Site: MP <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=267494' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"S. Lahmeyer",NA,NA,"W. W. Thomas","11657","South America","sheet","NY02714643","NY02714643_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","645514","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","arrabidae","Pilosocereus arrabidae","(Lem.) Byles & G.D.Rowley","1915",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,"Cultivated from original collection, Rose 20710, in 1915. Flowered and Painted June 2, 1917 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431939' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"D. C. Zappi",NA,NA,"J. N. Rose","43236","South America","sheet","NY00645514","NY00645514_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
