"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","1582931","PreservedSpecimen","Plantae","Magnoliophyta","Liliales","Alstroemeriaceae","Alstroemeria","penduliflora","Alstroemeria penduliflora","M.C.Assis","M. C. de Assis","H. S. Irwin","27092","1970","03","07","South America","Brazil","Minas Gerais","Summit of Serra do Cabral, ca. 8 km W. of Joaquim Felício","-44.1708333","-17.7588","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1851189' target='other'> <mi>dwc_moreinfo</mi></a>","NY01582931","NY01582931_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 10:58:48-03","ESALQ","ESA","73788","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alstroemeriaceae","Alstroemeria","penduliflora","Alstroemeria penduliflora","M.C.Assis","Assis, M.C.","Souza, V.C.; Souza, J.P.; Romão, G.O.; Araújo, A.O.","25537.0","2001","07","09",NA,"Brasil","Minas Gerais","Serra do Cabral. Estrada Joaquim Felício - Várzea da Palma, ca. 20 km de Joaquim Felício. Afloramento rochoso com campo arenoso adjacente.",NA,"-176.975","1100","1100",NA,"Erva ereta, ca. 60 cm alt.; folhas glaucas; tépalas vermelhas com ápice verde com manchas vináceas.","ESA073788","ESA073788","Joaquim Felício","-44,262,778","-176,975",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 10:58:48-03","ESALQ","ESA","85391","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alstroemeriaceae","Alstroemeria","penduliflora","Alstroemeria penduliflora","M.C. Assis","Assis, M.C.","Hatschbach, G. et al.","64211.0","1996","01","16",NA,"Brasil","Minas Gerais",NA,"-44.7308006286621","-17.5981006622314",NA,NA,NA,NA,"ESA085391","ESA085391","Várzea da Palma",NA,NA,"2000","01","01","60948","auto",NA,NA,NA
"4","2020-07-02 18:50:53-03","UFJF","CESJ","47419","PreservedSpecimen","Plantae","Angiosperma",NA,"Alstroemeriaceae","Alstroemeria","penduliflora","Alstroemeria penduliflora","M.C.Assis","M.C.Assis","R. Mello-Silva; F.M. Ferreira","2863","2005","02","18","América do Sul","Brasil","Minas Gerais","Serra do Papagaio, Alto da serra, caminho para o Retiro dos Pedros. 13 Km além do asfalto que liga a ciade à rodovia Caxambu - Juiz de Fora (BR 267). 22º02'23S, 44º41'33W. Elev. 2020 m. Campo e afloramentos rochosos de quartzito.","-44.603099822998","-21.9755992889404",NA,NA,NA,"No campo limpo pedregoso. Folhas pouco discolores, verde-claras na face abaxial. Hipanto grená. Sépalas, em ambas as faces, vermelhas com áppice verde. Pétalas verdes com nervura central vermelha na face abaxial e verde com riscas cor-de-vinho na adaxial","CESJ047419","CESJ047419","Aiuruoca",NA,NA,"2005",NA,NA,"27460","auto",NA,NA,NA
"5","2019-11-21 14:29:57-03","UFJF","CESJ","43291","PreservedSpecimen","Plantae","Angiosperma",NA,"Alstroemeriaceae","Alstroemeria","penduliflora","Alstroemeria penduliflora","M.C.Assis","M.C.Assis","G. Hatschbach; M. Hatschbach; J.M. Silva","64211","1996","01","16","América do Sul","Brasil","Minas Gerais","Serra do Cabral, Agropecuária Serra do Cabral.","-44.7308006286621","-17.5981006622314",NA,NA,NA,"Eretea, flor com a base vermelha e ápice verde. Campo rupestre, solo arenoso. Na base de paredões rochosos.","CESJ043291","CESJ043291","Várzea da Palma",NA,NA,"2005",NA,NA,"60948","auto",NA,NA,NA
"6","2020-12-21 16:11:19-03","MBM","MBM","263262","PreservedSpecimen","Plantae",NA,NA,"Alstroemeriaceae","Alstroemeria","penduliflora","Alstroemeria penduliflora","M.C. Assis","Assis, M.C.","Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","72037","2001","05","15","Southern America","Brazil","Minas Gerais","Serra do Cabral","-44.1721992492676","-17.7574996948242","980","980",NA,"Ereta, flor com parte externa vermelho-pinhão e interna creme.; Campo rupestre, solo arenoso e seco.","MBM263262","MBM263262","Joaquim Felicio",NA,NA,"2005","10",NA,"37503","auto",NA,NA,NA
"7","2020-12-21 16:11:20-03","MBM","MBM","298491","PreservedSpecimen","Plantae",NA,NA,"Alstroemeriaceae","Alstroemeria","penduliflora","Alstroemeria penduliflora","M.C. Assis","Assis, M.C.","Hatschbach, G.; Hatschbach, M.; Ribas, O.S.; Hatschbach, M.; Ribas, O.S.","77430","2004","06","08","Southern America","Brazil","Minas Gerais","Serra do Cabral, Morro da Torre.","-44.1721992492676","-17.7574996948242",NA,NA,NA,"Ereta; flor purpurea, tépalas com interior da base amarela.; Campo cerrado, solo rochoso.","MBM298491","MBM298491","Joaquim Felicio",NA,NA,"2005","10",NA,"37503","auto",NA,NA,NA
"8","2020-12-21 16:11:19-03","MBM","MBM","219579","PreservedSpecimen","Plantae",NA,NA,"Alstroemeriaceae","Alstroemeria","penduliflora","Alstroemeria penduliflora","M.C. Assis",NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","66356","1997","03","16","Southern America","Brazil","Minas Gerais","Serra do Cabral, Armazém da Laje","-44.1721992492676","-17.7574996948242",NA,NA,NA,"Ereta, flor com base vermelha, ápice esverdeado. Interior com mácula vinosa. Campo rupestre, solo arenoso. Unicata; Ereta, flor com base vermelha, ápice esverdeado. Interior com máculas vinosas.; Campo rupestre, solo arenoso.","MBM219579","MBM219579","Joaquim Felício",NA,NA,NA,NA,NA,"37503","auto","PARATYPE",NA,NA
"9","2020-12-21 16:11:19-03","MBM","MBM","242376","PreservedSpecimen","Plantae",NA,NA,"Alstroemeriaceae","Alstroemeria","penduliflora","Alstroemeria penduliflora","M.C. Assis","Assis, M.C.","Hatschbach, G.; Hatschbach, M.; Ferreira, L.A.; Hatschbach, M.; Ferreira, L.A.","69026","1999","03","13","Southern America","Brazil","Minas Gerais","Estrada Várzea da Palma-Serra do Cabral","-44.7308006286621","-17.5981006622314",NA,NA,NA,"Ereta; flores verdes, tépalas internas com base amarela, máculas marrom.; Campo rupestre, solo rochoso; borda da mata.","MBM242376","MBM242376","Várzea da Palma",NA,NA,"2005","10",NA,"60948","auto",NA,NA,NA
"10","2020-12-21 16:11:19-03","MBM","MBM","187582","PreservedSpecimen","Plantae",NA,NA,"Alstroemeriaceae","Alstroemeria","penduliflora","Alstroemeria penduliflora","M.C. Assis","Assis, M.C.","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","64211","1996","01","16","Southern America","Brazil","Minas Gerais","Serra do Cabral, Agropecuária Serra do Cabral","-44.7308006286621","-17.5981006622314",NA,NA,NA,"Ereta, flor com a base vermelha e ápice verde. Campo rupestre, solo arenoso. Na base de paredões rochosos; Ereta; flor com a base vermelha e ápice verde.; Campo rupestre, solo arenoso. Na base de paredões rochosos.","MBM187582","MBM187582","Várzea da Palma",NA,NA,"2000","12",NA,"60948","auto","PARATYPE",NA,NA
