"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","month","day","county","coordinatePrecision","geoFlag","class","fieldNumber","monthIdentified","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","55927","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus","Ducke","W. A. Ducke","isotype","W. A. Ducke","23550","1930","South America","Brazil","Amazonas","Manáos, loco Estrada do Aleixo.","-59.955906","-3.075656","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=146741' target='other'> <mi>dwc_moreinfo</mi></a>","NY00055927","NY00055927_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:48:29-03","EAO","IAN","23217","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus","Ducke",NA,NA,"Ducke, A","23550",NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,"IAN023217","IAN023217_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:48:29-03","EAO","IAN","23514","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus","Ducke",NA,NA,"Ducke, A","23550",NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,"IAN023514","IAN023514_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:48:29-03","EAO","IAN","43308","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus","Ducke","Albuquerque, BWP de",NA,"Guedes, TN","85","1948","Southern America","Brasil","Amazonas","Úmida. Estrada do Aleixo.",NA,NA,NA,"Arbustinho. Flores brancas.","IAN043308",NA,"1975","12","31",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:48:29-03","EAO","IAN","9837","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus","Ducke",NA,NA,"Ducke, A","99","1942","Southern America","Brasil","Amazonas","Estrada do Aleixo, margem pantanosa d'um riachinho silvestre.","-60.0250015258789","-3.10193991661072",NA,"Arbusculo. Flor branca.","IAN009837","IAN009837",NA,"12","02","Manaus","138090","auto",NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:48:29-03","EAO","IAN","94702","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus","Ducke",NA,NA,"Mello, FC de","2087","1955","Southern America","Brasil","Amazonas","Terra firme, úmida, arenosa. Mata virgem. Estrada do Aleixo.","-60.0250015258789","-3.10193991661072",NA,"Árvore de 6m de altura. Casca fina, persistente. Flores alvas.","IAN094702",NA,NA,"10","06","Manaus","138090","auto",NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:31:30-03","NBC","NL-BOTANY","U.1582377","PreservedSpecimen","Plantae",NA,"Sapindales","Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus","Ducke",NA,NA,"Ducke A",NA,"1930","Southern America","Brazil",NA,"Manáos (civ. Amazonas) sibra paludosa non inundabili loco estrada do aleixo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1582377 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1582377","NL-U1582377",NA,"02","04",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"8","2013-04-01 09:18:49-03","IPT","BCTW","12272","S","Plantae","Magnoliophyta",NA,NA,"Nycticalanthus","speciosus","Nycticalanthus speciosus","Ducke",NA,NA,NA,NA,NA,NA,"Brasil","Amazonas","Estrada do Aleixo, km 7","-60.025","-3.10194",NA,NA,NA,NA,NA,NA,NA,"Manaus","138090","auto","Magnoliopsida",NA,NA,NA,NA,NA
"9","2020-07-06 09:49:57-03","MNHN","RECOLNAT_MNHN_P","P02441078","PreservedSpecimen",NA,NA,NA,"Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus","Ducke","Ducke","isotype","Ducke, A.",NA,"1930",NA,"Brésil",NA,"Manaos(cir. Amazonas) silva pludosa non inundabili loco Estrada do Aleixo",NA,NA,"hb","Reçu le 19 septembre 1931 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02441078' target='other'> <mi>dwc_moreinfo</mi></a>","P02441078","P02441078_01",NA,"2","4",NA,NA,NA,NA,"23550",NA,NA,NA,NA
"10","2015-07-31 19:46:41-03","MNHN","RECOLNAT_MNHN_P","P02441079","PreservedSpecimen",NA,NA,NA,"Rutaceae","Nycticalanthus","speciosus","Nycticalanthus speciosus","Ducke","Ducke","isotype","Ducke, A.",NA,"1930",NA,"Brésil",NA,"Manaos(cir. Amazonas) silva pludosa non inundabili loco Estrada do Aleixo",NA,NA,"hb","Reçu le 19 septembre 1931 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02441079' target='other'> <mi>dwc_moreinfo</mi></a>","P02441079","P02441079_01",NA,"2","4",NA,NA,NA,NA,"23550",NA,NA,NA,NA
