"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","locality","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-04-05 14:25:47-03","UNESC","CRI","11298","PreservedSpecimen","Plantae","Phytolaccaceae","Seguieria","langsdorffii","Seguieria langsdorffii","Moq.","J. L. Schimitt","2010","08","25","A. Stival-Santos","2594","2010","04","28","Brasil","Santa Catarina","Angelina","-49.068333","-27.498611","49º4'6''W","27º29'55''S","367","367","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbórea","CRI006084","CRI006084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","626005","PreservedSpecimen","Plantae","Petiveriaceae","Seguieria","langsdorffii","Seguieria langsdorffii","Moq.",NA,NA,NA,NA,"Hoehne","s.n.","1930","05","09","Brazil","São Paulo","Cubatao","-46.4197","-23.89",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=694703' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626005","NY00626005_01","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","626015","PreservedSpecimen","Plantae","Petiveriaceae","Seguieria","langsdorffii","Seguieria langsdorffii","Moq.","J. G. Rohwer",NA,NA,NA,"E. Pereira","9850","1965","02","27","Brazil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=694705' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626015","NY00626015_01","Magnoliophyta","Caryophyllales","South America","sheet","Piracema.",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","626018","PreservedSpecimen","Plantae","Petiveriaceae","Seguieria","langsdorffii","Seguieria langsdorffii","Moq.","J. G. Rohwer",NA,NA,NA,"G. G. Hatschbach","42199","1979","03","27","Brazil","Paraná","Rio Branco do Sul","-49.3142","-25.1903",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=694716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626018","NY00626018_01","Magnoliophyta","Caryophyllales","South America","sheet","Serra do Caete.",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","626013","PreservedSpecimen","Plantae","Petiveriaceae","Seguieria","langsdorffii","Seguieria langsdorffii","Moq.","J. G. Rohwer",NA,NA,NA,"R. M. Klein","288","1949","12","02","Brazil","Santa Catarina","Brusque","-48.9","-27.1",NA,NA,"50","50","Fruto da mesma árvore sob R. Klein nr. 290 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=694715' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626013","NY00626013_01","Magnoliophyta","Caryophyllales","South America","sheet","Mata do Hoffman.",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","626007","PreservedSpecimen","Plantae","Petiveriaceae","Seguieria","langsdorffii","Seguieria langsdorffii","Moq.","J. A. Kallunki",NA,NA,NA,"S. A. Mori","11532","1979","03","14","Brazil","Bahia","Itambé","-40.6242","-15.245",NA,NA,"400","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=694709' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626007","NY00626007_01","Magnoliophyta","Caryophyllales","South America","sheet","Rodovia BA-265, km 12 do trecho BR-415 (cruzamento)/Caatiba e a 17km NW de Itapetinga em linha reta, próx. a Faz. Sao Joao.",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","626003","PreservedSpecimen","Plantae","Petiveriaceae","Seguieria","langsdorffii","Seguieria langsdorffii","Moq.","M. Kuhlmann",NA,NA,NA,"Collector unspecified","s.n.","1918","02","18","Brazil","São Paulo","Sao Paulo","-46.724373","-23.565521",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=694707' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626003","NY00626003_01","Magnoliophyta","Caryophyllales","South America","sheet","Butantan.",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00859297","PreservedSpecimen","Plantae","Petiveriaceae","Seguieria","langsdorffii","Seguieria langsdorffii","Moq.","M. Kuhlmann",NA,NA,NA,"E. P. Heringer","526","1941","01","22","Brazil","Minas Gerais","Coronel Pacheco","-43.2656","-21.5881",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=957312' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859297","NY00859297_01","Magnoliophyta","Caryophyllales","South America","sheet","Estação experimental de Café:",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01091898","PreservedSpecimen","Plantae","Petiveriaceae","Seguieria","langsdorffii","Seguieria langsdorffii","Moq.","R. G. Udulutsch; P. Dias",NA,NA,NA,"W. Hoehne","s.n.","1941","01",NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1265160' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091898","NY01091898_01","Magnoliophyta","Caryophyllales","South America","sheet","Prope Jundiaí.",NA,NA,NA,NA,NA,NA,NA
"10","2017-02-28 11:28:00-03","NY","NYBG","2423030","PreservedSpecimen","Plantae","Petiveriaceae","Seguieria","langsdorffii","Seguieria langsdorffii",NA,NA,NA,NA,NA,"C. N. Fraga","2543","2009","04","16","Brazil","Espírito Santo","Nova Venécia","-40.4439","-18.7769",NA,NA,"313",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2679971' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423030","NY02423030_01","Magnoliophyta","Caryophyllales","South America","sheet","Área de Proteção Ambiental da Pedra do Elefante. Serra de Baixo. Mata próxima à subida para a Pedra do Elefante",NA,NA,NA,NA,NA,NA,NA
