"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","class","individualCount","dayIdentified","fieldNumber","typeStatus","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","498948","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Stenandrium","mandioccanum","Stenandrium mandioccanum","Nees","D. C. Wasshausen","G. G. Hatschbach","23176","1969","12","08","South America","Brazil","Paraná","Foz do Iguaçu","Parque Nacional, Cataratas. Mata pluvial beira rio Paraná.","-54.5881","-25.5481","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450607' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498948","NY00498948_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","498949","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Stenandrium","mandioccanum","Stenandrium mandioccanum","Nees","D. C. Wasshausen","L. Riedel","788",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","Iter brasiliense 1831-33. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450612' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498949","NY00498949_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","684392","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Stenandrium","mandioccanum","Stenandrium mandioccanum","Nees","M. H. Nee","W. W. Thomas","5716","1987","12","07","South America","Bolivia","Santa Cruz","José Miguel de Velasco","Serrania de Huanchaca, Parque Nacional Prof. Noel Kempff Mercado, Cerrado between airstrip and destroyed cocaine refinery.","-60.72","-13.98","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=823090' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","498953","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Stenandrium","mandioccanum","Stenandrium mandioccanum","Nees","D. C. Wasshausen","P. C. Hutchison","1427","1957","09","28","South America","Peru","Cajamarca","Jaén","Between Jaen and Bellavista at Granja de Ministerio de Agricultura, in Quebrada Quinton. Mesones-Muro Highway between Olmos and Río Marañon.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450613' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498953",NA,"700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","498950","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Stenandrium","mandioccanum","Stenandrium mandioccanum","Nees","D. C. Wasshausen","L. Riedel","788","1832","09",NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","Iter brasiliense 1831-33. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450608' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498950","NY00498950_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","498951","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Stenandrium","mandioccanum","Stenandrium mandioccanum","Nees","D. C. Wasshausen","L. Riedel","63",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450609' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498951","NY00498951_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-27 00:50:00-03","NY","NYBG","539040","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Stenandrium","mandioccanum","Stenandrium mandioccanum",NA,"C. Ezcurra","E. Hassler","3321","1900","10",NA,"South America","Paraguay",NA,NA,"In silva Caraguatay.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450611' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 01:09:00-03","NY","NYBG","498952","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Stenandrium","mandioccanum","Stenandrium mandioccanum",NA,"D. C. Wasshausen","D. C. Wasshausen","2201","1998","08","05","South America","Bolivia","La Paz","Larecaja","Along road Caranavi-Guanay, outskirts of Guanay.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=450610' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498952",NA,"600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:18:43-03","UFRJ","RFA","9578","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Stenandrium","mandioccanum","Stenandrium mandioccanum","Nees","D. Wasshausen","G.G. Hatschbach","23176","1969","10","08",NA,"Brasil","Paraná","Foz do Iguaçu","Parque Nacional, Cataratas. Beira do Rio Paraná.","-54.5881004333496","-25.5478000640869",NA,"Terricola; flor rosada com nervuras alvas","RFA28125",NA,NA,NA,"1970","39570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-24 17:10:24-03","UTFPR","DVPR","4472","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Acanthaceae","Stenandrium","mandioccanum","Stenandrium mandioccanum","Nees","Caxambu, MG","Caxambu, MG; Siqueira, EL; Araújo, CC de","6766","2015","08","14",NA,"Brasil","Paraná","Foz do Iguaçu","Parque Nacional do Iguaçu, proximo as marsgens da BR-469","-54.2803","-25.37431",NA,"erva ca. 0,08 m, heliófita. Flores com cálice verde e corola rosa; Relevo: suave-ondulado. Vegetação: Floresta Estacional Semidecidual Submontana","DVPR004472",NA,"185","185","2016",NA,NA,"03","-54.2803","-25.37431",NA,NA,NA,NA,NA,NA
