"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","recordNumber","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","typeStatus"
"1","2020-02-08 10:21:14-03","NBC","NL-BOTANY","U.1772205","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Xyridaceae","Xyris","wawrae","Xyris wawrae","Heimerl","Camerik AM","1975","06","25","Southern America","Brazil","Brasil, Est. R.J. Itatiana, Prateleiras.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1772205 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1772205","NL-U1772205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:21:14-03","NBC","NL-BOTANY","U.1772289","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Xyridaceae","Xyris","wawrae","Xyris wawrae","Heimerl","Camerik AM","1975","06","25","Southern America","Brazil","Brasil, Est. R.J. Itatiana, Prateleiras.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1772289 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1772289","NL-U1772289",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:21:01-03","ESALQ","ESA","8843","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","wawrae","Xyris wawrae","Heimrl.","Scaramuzza, C.A.M. ; Souza, V.C.","1991","02","09",NA,"Brasil",NA,NA,"ESA008843","ESA008843","Magnoliophyta","Wanderley, M.G.L.","São Paulo","Itararé","-49.3400001525879","-24.1100006103516","27729","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-07-02 19:03:31-03","UFJF","CESJ","72273","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","wawrae","Xyris wawrae","Heimerl","N.F.O. Mota; L.L. Giacomin","2011","12","16","América do Sul","Brasil","Parque Estadual da Serra do Papagaio, brejo na margem esquerda da estrada próxima à sede do parque (Charco)","Erva terrestre, densamente cespitosa, profundamente aderida ao solo. Base das touceiras com mucilagem hialina. Base das folhas negras e dos escapos florais rosadas. Espiga castanha com mácula das brácteas verdes. Cerca de seis flores aqbertas por espiga.","CESJ072273",NA,"Angiosperma","N.F.O. Mota","Minas Gerais","Alagoa","-44.7275","-22.189167",NA,NA,"2011","12","16","2446","-44.7275","-22.189167","1679","1679",NA,NA
"5","2019-08-20 10:01:57-03","UNICAMP","UEC","121130","S","Plantae",NA,NA,"Xyridaceae","Xyris","wawrae","Xyris wawrae","Heimerl","Meireles, LD","2001","10","17",NA,"Brazil","Monte Verde, Afloramento do Platô","Erva em moita, com flores amarelas com brácteas marrom-escuro, sobre substrato úmido.","UEC087310","UEC087310","Liliopsida","Wanderley, MDGL","Minas Gerais","Camanducaia","-46.1446990966797","-22.7553005218506","22140","auto","2003","01",NA,"686",NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:47:54-03","MBM","MBM","393703","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","wawrae","Xyris wawrae","Heimerl","Canestraro, B.K.; Pereira, J.; Matos, F.B.; Pereira, J.; Matos, F.B.","2013","02","11","Southern America","Brazil","Parque Nacional do Itatiaia, Parte Alta. Trilha para Agulhas Negras","Terrícola, flores amarelas, paludícola, heliófita.; Campos de Altitude.","MBM393703","MBM393703",NA,"Wanderley, M.G.L.","Minas Gerais","Itamonte","-44.8699989318848","-22.283899307251","26914","auto","2013","11","21","504",NA,NA,NA,NA,NA,NA
"7","2020-12-11 11:45:38-03","UFMG","BHCB","117505","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","wawrae","Xyris wawrae","Heimerl","Mota, NFO; Viana, PL; Echternacht, LA; Costa-Silva, LV; Maciel, GM","2008","03","12","Southern America","Brasil","Parque Estadual do Papagaio, Brejo com afloramento rochoso na subida final do Pico do Papagaio.","Crescendo sobre fina camada de matéria orgânica em decomposição sobre rocha. Bainhas vermelhas-arroxeadas. Espiga marron com máculas cinzas na brácteas. Mucilagem hialina. Caule robusto de difícil coleta.",NA,NA,"Monocotyledon",NA,"Minas Gerais","Aiuruoca","-44.641667","-22.025556",NA,NA,"2008","03","28","1307","-44.641667","-22.025556","2060","2060",NA,NA
"8","2020-12-11 11:45:38-03","UFMG","BHCB","153957","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","wawrae","Xyris wawrae","Heimerl","Mota, NFO; Giacomin, LL","2011","12","16","Southern America","Brasil","Parque Estadual do Papagaio, Brejo na margem esquerda da estrada próxima à sede do parque (Charco).","Erva terrestre, densamente cespitosa, profundamente aderida ao solo. Base das touceiras com mucilagem hialaina. Base das folhas negras e dos escapos florais rosadas. Espiga castanha com mácula das brácteas verdes. Cerca de seis flores abertas por esp",NA,NA,"Monocotyledon",NA,"Minas Gerais","Alagoa","-44.727369","-22.189083",NA,NA,NA,NA,NA,"2446","-44.727369","-22.189083","1679","1679",NA,NA
"9","2008-05-27 22:02:00-03","MO","MOBOT","3000557","PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","wawrae","Xyris wawrae","Heimerl","* WAURA",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WAURA 411",NA,NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","2142233","PreservedSpecimen","Plantae","Monocotyledonae","Commelinales","Xyridaceae","Xyris","wawrae","Xyris wawrae","Heimerl","P. K. Dusén","1902","5","17","South America - Neotropics","Brazil","Retiro",NA,"US01932533","US01932533_01",NA,NA,"Rio de Janeiro","Itatiaia","-44.5633010864258","-22.4960994720459","19648","auto",NA,NA,NA,"146",NA,NA,NA,NA,"1",NA
"11","2020-09-12 05:00:02-03","US","US","2570024","PreservedSpecimen","Plantae","Monocotyledonae","Commelinales","Xyridaceae","Xyris","wawrae","Xyris wawrae","Heimerl","D. R. Hunt & J. F. Ramos","1966","6","1","South America - Neotropics","Brazil","Xavantina-Cachimbo road, 85 Km from Xavantina",NA,"US01932535","US01932535_01",NA,NA,"Mato Grosso",NA,NA,NA,NA,NA,NA,NA,NA,"5719",NA,NA,"600","1000","1",NA
"12","2020-09-12 05:00:02-03","US","US","2459039","PreservedSpecimen","Plantae","Monocotyledonae","Commelinales","Xyridaceae","Xyris","wawrae","Xyris wawrae","Heimerl","J. Lanna","1960","12","9","South America - Neotropics","Brazil","Parque Nacional da Serra dos Órgãos",NA,"US01932532","US01932532_01",NA,NA,"Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344","38539","auto",NA,NA,NA,"37",NA,NA,NA,NA,"1",NA
"13","2020-09-12 05:00:02-03","US","US","2142269","PreservedSpecimen","Plantae","Monocotyledonae","Commelinales","Xyridaceae","Xyris","wawrae","Xyris wawrae","Heimerl","E. H. Ule","1896","1","9","South America - Neotropics","Brazil","Serra do Itatiaia",NA,"US01932534","US01932534_01",NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"654",NA,NA,"2100",NA,"1",NA
"14","2019-10-07 09:22:49-03","UEFS","HUEFS","7206","PreservedSpecimen","Plantae","Lilianae","Poales","Xyridaceae","Xyris","wawrae","Xyris wawrae","Heimerl",NA,"1980","02","10",NA,"Brasil",NA,NA,"HUEFS0007206","HUEFS0007206","Angiospermae","M.G.L.Wanderley","São Paulo","Campos do Jordão","-45.45","-22.716667",NA,NA,"2003","11",NA,"83","45W27'","22S43'","1900","1900",NA,NA
"15","2019-09-04 19:48:49-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Monocotyledoneae",NA,"Xyridaceae","Xyris","wawrae","Xyris wawrae",NA,"H. Wawra","1879",NA,NA,"South America","Brazil",NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"411",NA,NA,NA,NA,NA,"Type [status unknown]"
"16","2019-11-01 15:17:41-03","UnB","UB",NA,"PreservedSpecimen","Plantae",NA,NA,"Xyridaceae","Xyris","wawrae","Xyris wawrae","Heimerl","Nicolau, SA; et al.","1998","01","23","Southern America","Brasil","Fazenda São Sebastião do Ribeirão Grande, São José dos Alpes","Herbácea. Flores amarelas; Campos montanos","UB0029082","UB0029082","Monocotyledonae","Wanderley, MGL","São Paulo","Pindamonhangaba","-45.4599990844727","-22.9200000762939","24176","auto","2003","11","05","1619",NA,NA,NA,NA,NA,NA
"17","2021-01-21 15:30:08-03","IBt","SP","497999","S","Plantae",NA,NA,"Xyridaceae","Xyris","wawrae","Xyris wawrae","Heimerl","Cesar, O","1983","12","02",NA,"Brasil","Parque Nacional do Itatiaia",NA,NA,NA,NA,NA,"Rio de Janeiro","Rio de Janeiro","-44.616667","-22.416667",NA,NA,NA,NA,NA,"147","-44.616667","-22.416667",NA,NA,NA,NA
"18","2020-12-10 11:28:24-03","IBt","SP","405895","S","Plantae",NA,NA,"Xyridaceae","Xyris","wawrae","Xyris wawrae","Heimerl","Viana, PL","2008","03","12",NA,"Brasil","Parque Estadual do Papagaio",NA,NA,NA,NA,NA,"Minas Gerais","Aiuruoca","-44.603099822998","-21.9755992889404","27460","auto",NA,NA,NA,"3988",NA,NA,NA,NA,NA,NA
"19","2020-12-10 11:28:24-03","IBt","SP","405869","S","Plantae",NA,NA,"Xyridaceae","Xyris","wawrae","Xyris wawrae","Heimerl","Mota, NFO","2008","03","12",NA,"Brasil","Parque Estadual do Papagaio",NA,NA,NA,NA,NA,"Minas Gerais","Aiuruoca","-44.603099822998","-21.9755992889404","27460","auto",NA,NA,NA,"1307",NA,NA,NA,NA,NA,NA
"20","2020-12-30 07:49:03-03","IBt","SP","445008","S","Plantae",NA,NA,"Xyridaceae","Xyris","wawrae","Xyris wawrae","Heimerl","Mota, NFO","2011","12","16",NA,"Brasil",NA,NA,NA,NA,NA,NA,"Minas Gerais","Alagoa","-44.6418991088867","-22.1706008911133","13155","auto",NA,NA,NA,"2446",NA,NA,NA,NA,NA,NA
