"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","yearIdentified","class","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","individualCount","fieldNumber"
"1","2021-04-05 14:33:41-03","UNESC","CRI","6469","PreservedSpecimen","Plantae","Martyniaceae","Ibicella","lutea","Ibicella lutea","(Lindl.) Van Eselt.","J. A. Jarenkow","J. A. Jarenkow","1999","02","16","Brasil","Santa Catarina","Garopaba","Margem da Lagoa da Capivara.","-48.613611","-28.023889","48º36'49''W","28º1'26''S","10","10","Habito: erva","CRI009936","CRI009936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:26-03","E","E","276660","PreservedSpecimen","Plantae","Martyniaceae","Ibicella","lutea","Ibicella lutea",NA,NA,"Fiebrig, K.","1902","11","12","PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00276660 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00276660",NA,"428","E. Tropical South America","herbarium specimen of unspecif","BGBASE:291569",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","439633","PreservedSpecimen","Plantae","Martyniaceae","Ibicella","lutea","Ibicella lutea","(Lindl.) Van Eselt.","R. Gutierrez","J. E. Leite","1943","01",NA,"Brazil","Rio Grande do Sul",NA,"São Salvador",NA,NA,NA,NA,NA,NA,"see fruit collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388572' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439633","NY00439633_01","2386","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","439635","PreservedSpecimen","Plantae","Martyniaceae","Ibicella","lutea","Ibicella lutea","(Lindl.) Van Eselt.","R. Gutierrez","J. E. Leite","1943","01",NA,"Brazil","Rio Grande do Sul",NA,"São Salvador",NA,NA,NA,NA,NA,NA,"see fruit collection <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388573' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439635","NY00439635_01","2386","South America","separate fruit",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-10-21 17:06:00-02","NY","NYBG","439634","PreservedSpecimen","Plantae","Martyniaceae","Ibicella","lutea","Ibicella lutea",NA,"R. H. Hevly","Á. L. Cabrera","1938","02","05","Argentina","Buenos Aires",NA,"Villa Garibaldi",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=388574' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439634",NA,"4237","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","687520","PreservedSpecimen","Plantae","Martyniaceae","Proboscidea","lutea","Proboscidea lutea","(Lindl.) Stapf","F. C. Hoehne","F. C. Hoehne","1918","10","28","Brazil","São Paulo",NA,"Capital, Butantan","-46.724373","-23.565521",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=877274' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687520","NY00687520_01","s.n.","South America","sheet",NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:22:24-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Pedaliaceae","Ibicella","lutea","Ibicella lutea","(Lindl.) Van Eselt.","Krapovickas, A","Krapovickas, A; Vanni, R","1999","03","20","Argentina","Santa Fé",NA,"Sunchales",NA,NA,NA,NA,NA,NA,"Flroes amarillas.",NA,NA,"47650","Southern America",NA,NA,"Dicotyledon",NA,"1999",NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:22:24-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Pedaliaceae","Ibicella","lutea","Ibicella lutea","(Lindl.) Van Eselt.","Schinini, A","Seijo, G","1999","02","08","Argentina","San Luis","Dep. Chacabuco","Ruta Prov. 40, 5 km W de Papagallo",NA,NA,NA,NA,NA,NA,"Flor amarilla.; suelo arenoso y seco.",NA,NA,"1849","Southern America",NA,NA,"Dicotyledon",NA,"1999",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:33:18-03","NBC","NL-BOTANY","L.2814640","PreservedSpecimen","Plantae","Martyniaceae","Ibicella","lutea","Ibicella lutea","(Lindl.) Van Eselt.",NA,"Vervoorst F","1957","03","01","Argentina",NA,NA,"Argentina: Buenos Aires, Morón, Villa Udaondo. cf. Carbera, Man.Fl.Buenos Aires p.430.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2814640 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2814640","NL-L2814640",NA,"Southern America",NA,NA,NA,"Lamiales",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:33:18-03","NBC","NL-BOTANY","L.2814641","PreservedSpecimen","Plantae","Martyniaceae","Ibicella","lutea","Ibicella lutea","(Lindl.) Van Eselt.",NA,"Vervoorst F","1957","03","01","Argentina",NA,NA,"Argentina: Buenos Aires, Morón, Villa Udaondo. cf. Carbera, Man.Fl.Buenos Aires p.430.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2814641 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2814641","NL-L2814641",NA,"Southern America",NA,NA,NA,"Lamiales",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"11","2020-02-08 09:33:18-03","NBC","NL-BOTANY","U.1378449","PreservedSpecimen","Plantae","Martyniaceae","Ibicella","lutea","Ibicella lutea","(Lindl.) Van Eselt.",NA,"Herter WG","1936","02","16","Uruguay",NA,NA,"Plantae Uruguayenses. Dep. de San José. Paso del Bote.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1378449 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1378449","NL-U1378449",NA,"Southern America",NA,NA,NA,"Lamiales",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:33:18-03","NBC","NL-BOTANY","U.1378466","PreservedSpecimen","Plantae","Martyniaceae","Ibicella","lutea","Ibicella lutea","(Lindl.) Van Eselt.",NA,"Lindeman JC","1981","01","19","Brazil",NA,NA,"Flora Brasiliensis. Rio Grande do Sul, Embrapa -UEPAE, former Faz. 5 Cruzes, 10 km SE of Bag ruderal place.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1378466 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1378466","NL-U1378466",NA,"Southern America",NA,NA,NA,"Lamiales",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"13","2020-02-08 09:33:18-03","NBC","NL-BOTANY","U.1378467","PreservedSpecimen","Plantae","Martyniaceae","Ibicella","lutea","Ibicella lutea","(Lindl.) Van Eselt.",NA,"Lindeman JC","1981","01","19","Brazil",NA,NA,"Flora Brasiliensis. Rio Grande do Sul, Embrapa -UEPAE, former Faz. 5 Cruzes, 10 km SE of Bag ruderal place.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1378467 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1378467","NL-U1378467",NA,"Southern America",NA,NA,NA,"Lamiales",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"14","2020-02-08 09:33:18-03","NBC","NL-BOTANY","U.1378468","PreservedSpecimen","Plantae","Martyniaceae","Ibicella","lutea","Ibicella lutea","(Lindl.) Van Eselt.",NA,"Lindeman JC","1981","01","19","Brazil",NA,NA,"Flora Brasiliensis. Rio Grande do Sul, Embrapa -UEPAE, former Faz. 5 Cruzes, 10 km SE of Bag ruderal place.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1378468 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1378468","NL-U1378468",NA,"Southern America",NA,NA,NA,"Lamiales",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"15","2020-02-08 09:33:18-03","NBC","NL-BOTANY","AMD.90049","PreservedSpecimen","Plantae","Martyniaceae","Proboscidea","lutea","Proboscidea lutea","Stapf",NA,"Herter WG","1934","03","01","Uruguay",NA,NA,"Dep. de Montevideo, Miguelete.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.90049 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD90049","NL-AMD90049",NA,"Southern America",NA,NA,NA,"Lamiales",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"16","2020-02-08 09:33:18-03","NBC","NL-BOTANY","U.1378448","PreservedSpecimen","Plantae","Martyniaceae","Proboscidea","lutea","Proboscidea lutea","Stapf",NA,"Herter WG","1929","03","01","Uruguay",NA,NA,"Plantæ Uruguayenses. Dep. de Montevideo. Atahualpa.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1378448 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1378448","NL-U1378448",NA,"Southern America",NA,NA,NA,"Lamiales",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:13:12-03","ESALQ","ESA","83819","PreservedSpecimen","Plantae","Martyniaceae","Ibicella","lutea","Ibicella lutea","(Lindl.) Van. Eselt.","Seijo, G.","Seijo, J.G. et al.","2001","11","25","Uruguai",NA,"Artigas",NA,NA,NA,NA,NA,NA,NA,NA,"ESA083819","ESA083819","2451.0",NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 10:56:04-03","ESALQ","ESA","134960","PreservedSpecimen","Plantae","Martyniaceae","Ibicella","lutea","Ibicella lutea",NA,NA,"Sato, H.A.","2012","01","20","Argentina","Jujuy","San Pedro",NA,NA,NA,NA,NA,NA,NA,NA,"ESA134960","ESA134960","318.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-08-27 13:33:08-03","IAP","PACA-AGP","108720","PreservedSpecimen","Plantae","Martyniaceae","Ibicella","lutea","Ibicella lutea","(Lindl.) Van Eselt.","A. Sehenm","Sehnem, A.","1972","03",NA,"Brasil","RS","Camaquã","Ruinas casa Bento Gonçalves","-51.812198638916","-30.8511009216309",NA,NA,NA,NA,"N.V. Chifre do diabo;&nf;Fl. flavi Habitat: herba in campo ad ruinas domus","PACA108720",NA,"12988",NA,NA,NA,"Magnoliophyta","Scrophulariales",NA,"Magnoliatae","49429","auto",NA,NA,NA,NA
"20","2019-08-27 13:33:08-03","IAP","PACA-AGP","35799.1","PreservedSpecimen","Plantae","Martyniaceae","Proboscidea","lutea","Proboscidea lutea","(Lindl.) Stapf","Emrich-Rambo","Henz, E.","1946","12","27","Brasil","RS","Montenegro","Kappesberg","-51.4611015319824","-29.6886005401611",NA,NA,NA,NA,"Habitat: in incultis Fenofase: flor","PACA035799-1",NA,NA,NA,NA,NA,"Magnoliophyta","Scrophulariales","1954","Magnoliatae","21601","auto","08","24",NA,NA
"21","2019-08-27 13:33:08-03","IAP","PACA-AGP","4256","PreservedSpecimen","Plantae","Martyniaceae","Proboscidea","lutea","Proboscidea lutea","(Lindl.) Stapf","Emrich-Rambo","Rambo, B.","1941","01","15","Brasil","RS","Uruguaiana","Barra do Quaraí","-57.0882987976074","-29.7546997070312",NA,NA,NA,NA,"Habitat: ad viam ferream in arenosis Fenofase: flor","PACA004256",NA,NA,NA,NA,NA,"Magnoliophyta","Scrophulariales","1954","Magnoliatae","93142","auto","08","24",NA,NA
