"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","01806181","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","ischnosceles","Eugenia ischnosceles","O.Berg","M. Sobral","W. W. Thomas","7559","1991","07","01","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest.","-39.0617","-14.4231","sheet","Parcel: 21. Tree # 893. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2140242' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806181","NY01806181_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:14:34-03","ESALQ","ESA","119999","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","ischnosceles","Eugenia ischnosceles",NA,"Faria, J.E.Q.","Faria, J.E.Q. ; Bausen, E.","1223.0","2011","05","18",NA,"Brasil","Espírito Santo","Santa Leopoldina","Bragança, morro na propriedade da Senhora Assunta.","-40.5297012329102","-20.1005992889404",NA,NA,"ESA119999",NA,"23799","753","753","auto",NA,NA,NA,NA,NA,NA
"3","2020-12-11 11:39:10-03","UFMG","BHCB","171786","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","ischnosceles","Eugenia ischnosceles","O.Berg",NA,"Faria, JEQ; Bausen, E","1223","2011","05","18","Southern America","Brasil","Espírito Santo","Santa Leopoldina","Bragança, Morro da propriedade da senhora Assunta. Floresta ombrófila","-40.5575","-20.126389",NA,"Árvore ca. 8m de altura, caule com ritidoma esfoliante, folha discolor com face adaxial dourada, botões florais e flores velhas, fruto imaturo dourado (coletaod folhas em sílica gel)","BHCB016464",NA,NA,"753","753",NA,"2011","05","-40.5575","-20.126389",NA,NA
"4","2020-07-10 09:47:50-03","MBML","MBML-HERBARIO","28887",NA,"Plantae",NA,NA,"Myrtaceae","Eugenia","ischnosceles","Eugenia ischnosceles","O.Berg","M. Sobral/Março-2016","L. F. S. Magnago; V. Demuner, T. Cruz e Elias Bausen","1022","2006","05","17",NA,"Brasil","Espírito Santo","Santa Leopoldina","Bragança, propr.: Assunta Salvador.","-40.546389","-20.123056",NA,"Arvoreta 5m de alt. Frutos verdes. Folha abaxial ferruginea. Vegetação arbustiva/arbórea (topo de morro).","MBML028887","MBML028887",NA,"400","400",NA,NA,NA,"40W32'47","20S7'23",NA,NA
"5","2020-07-10 09:47:50-03","MBML","MBML-HERBARIO","29561",NA,"Plantae",NA,NA,"Myrtaceae","Eugenia","ischnosceles","Eugenia ischnosceles","O.Berg","M. Sobral/Março-2016","V. Demuner; T. Cruz, M. Belizário e Elias Bausen.","3523","2007","04","03",NA,"Brasil","Espírito Santo","Águia Branca","Santa Luzia, propr.: Ciro Ferreira","-40.664444","-18.973889",NA,"Arvoreta 7m frutos marrom. Afloramento rochoso.","MBML029561","MBML029561",NA,"400","400",NA,NA,NA,"40W39'52","18S58'26",NA,NA
"6","2020-07-10 09:47:50-03","MBML","MBML-HERBARIO","29663",NA,"Plantae",NA,NA,"Myrtaceae","Eugenia","ischnosceles","Eugenia ischnosceles","O.Berg","M. Sobral/Março-2016","V. Demuner; T. Cruz, M. Belizário e Elias Bausen.","3708","2007","04","19",NA,"Brasil","Espírito Santo","Santa Leopoldina","Bragança, Mata do Tyrol, propr.: Elcio Tomazini","-40.549444","-20.136944",NA,"Arvoreta 5m botões florais, frutos maduros e face abaxial das folhas dourados. Topo do morro, vegetação de porte baixo.","MBML029663","MBML029663",NA,"600","600",NA,NA,NA,"40W32'58","20S8'13",NA,NA
"7","2020-07-10 09:47:50-03","MBML","MBML-HERBARIO","32155",NA,"Plantae",NA,NA,"Myrtaceae","Eugenia","ischnosceles","Eugenia ischnosceles","O.Berg","M. Sobral/Março-2016","H. Q. Boudet Fernandes; V. Demuner, T. A. Cruz, R. R. Vervloet","3477","2007","10","03",NA,"Brasil","Espírito Santo","Águia Branca","Santa Lúzia. Pedra do Ciro.","-40.664167","-18.974806",NA,"Vegetação rupestre. Arbusto 4m x 10cm. Caule esfoliadao em placas. Botões florais verdes.","MBML032155","MBML032155",NA,"175","175",NA,NA,NA,"40W39'51","18S58'29,3",NA,NA
"8","2020-09-02 16:33:52-03","Cenargen","CEN","72536","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","ischnosceles","Eugenia ischnosceles","O.Berg","A. Giaretta","Aécio Amaral-Santos","3113","2008","09","08",NA,"Brasil","TO","DARCINOPOLIS","Saída Leste da cidade, sentido Laranjeira. Fazenda Arizona.","-47.5725","-6.7580555","Exsicatas",NA,"CEN00072536","CEN00072536",NA,"213","213",NA,"2016","05","-47.5725","-6.7580555","4",NA
"9","2020-09-02 16:33:52-03","Cenargen","CEN","79975","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","ischnosceles","Eugenia ischnosceles","O.Berg","J. E. Q. Faria Júnior","Jair Eustáquio Quintino de Faria Jr.","1223","2011","05","18",NA,"Brasil","ES","SANTA LEOPOLDINA","Brasil - Espirito Santo - Santa Leopoldina, Bragança, morro na propriedade da senhora Assunta, floresta ombrófila.","-40.5575","-20.126388","Exsicatas","Árvore ca. 8 m de altura, caule comritidoma esfoliante, folha discolor com face adaxial dourada, botões florais e flores velhas, fruto imaturo dourado (coletado folhas em silica gel) HERBÁRIO UB - Espirito Santo","CEN00079975","CEN00079975",NA,"753","753",NA,"2011","05","-40.5575","-20.126388","1",NA
"10","2019-10-07 09:35:19-03","UEFS","HUEFS","184024","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Eugenia","ischnosceles","Eugenia ischnosceles","O.Berg",NA,"Faria, J.E.Q.","1223","2011","05","18",NA,"Brasil","Espírito Santo","Santa Leopoldina","Bragança Bragança. Morro na propriedade da senhora Assunta.","-40.5575","-20.126389",NA,"Floresta Ombrófila.","HUEFS0184024",NA,NA,"753","753",NA,NA,NA,"40W33'27''","20S7'35''",NA,"Rosanae"
