"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","county","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","fieldNumber","infraspecificEpithet","individualCount","typeStatus","relatedCatalogItem"
"1","2020-09-23 10:40:48-03","E","E","228127","PreservedSpecimen","Plantae","Leguminosae","Poiretia","angustifolia","Poiretia angustifolia","Ratter, J.A.","4004","1976","12","05","E. Tropical South America","BR","Distrito Federál","Peninsula Norte, Brasilia.","herbarium specimen of unspecif","BGBASE:238014","<a href=http://data.rbge.org.uk/herb/E00228127 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00228127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","605430","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","O. Handro","s.n.","1940","11","14","South America","Brazil","São Paulo","Vila Morais.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=55378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605430","Magnoliophyta","Fabales","Vogel","O. Handro","Sao Paulo","-46.609253","-23.630825","NY00605430_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","605427","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil",NA,"Illegible data.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=55387' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605427","Magnoliophyta","Fabales","Vogel",NA,NA,NA,NA,"NY00605427_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","605432","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","G. G. Hatschbach","13106","1965","11","08","South America","Brazil","Paraná","Parque Vila Velha.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=55385' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605432","Magnoliophyta","Fabales","Vogel","G. G. Hatschbach","Ponta Grossa","-50.012929","-25.234872","NY00605432_01","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","605435","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","Taxonomy Class Of Univ De Brasilia","521","1977","11","16","South America","Brazil","Distrito Federal","South side of campus of Universidade de Brasília.","sheet",NA,"(Wet season). <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=55381' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605435","Magnoliophyta","Fabales","Vogel","G. Eiten","Brasília","-47.85","-15.75","NY00605435_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","605434","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","E. P. dos Santos","192","1996","11","07","South America","Brazil","Paraná","Estrada Jaguariaíva-Sengés, ±5km de Jaguariaíva.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=55382' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605434","Magnoliophyta","Fabales","Vogel","A. C. Cervi","Jaguariaíva","-49.68","-24.23","NY00605434_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1523034","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","E. P. Heringer","10114","1965","03","19","South America","Brazil","Distrito Federal","Col. no Zoobotânica.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1788847' target='other'> <mi>dwc_moreinfo</mi></a>","NY01523034","Magnoliophyta","Fabales","Vogel","A. P. Fortuna Perez","Brasília","-47.9294","-15.7797","NY01523034_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1523091","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","P. Clausen","913",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1791453' target='other'> <mi>dwc_moreinfo</mi></a>","NY01523091","Magnoliophyta","Fabales","Vogel","A. P. Fortuna Perez",NA,NA,NA,"NY01523091_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","605428","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","O. Handro","19","1948","11","28","South America","Brazil","São Paulo","Jabaquara","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=55377' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605428","Magnoliophyta","Fabales","Vogel","O. Handro","Sao Paulo","-46.63","-23.5403","NY00605428_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","605433","PreservedSpecimen","Plantae","Fabaceae","Poiretia","angustifolia","Poiretia angustifolia","G. G. Hatschbach","20464","1968","11","28","South America","Brazil","Paraná","Rio do Sabiá.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=55386' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605433","Magnoliophyta","Fabales","Vogel","A. E. Burkart","Jaguariaíva","-49.7056","-24.2511","NY00605433_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
