"record_id","modified","institutionCode","collectionCode","catalogNumber","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","basisOfRecord","identifiedBy","yearIdentified","typeStatus","occurrenceRemarks","imagecode"
"1","2020-07-10 09:48:23-03","MBML","MBML-HERBARIO","47450","Plantae","Orchidaceae","Hoffmannseggella","kautskyana","Hoffmannseggella kautskyana","(Pabst) H.G.Jones","Chiron","4630","2004","11","07","Brasil","Espírito Santo","Brejetuba","Monte Feio","-41.2902984619141","-20.1460990905762","23265","MBML047450","auto",NA,NA,NA,NA,NA,NA
"2","2019-11-21 10:13:30-03","IBt","SP","360240","Plantae","Orchidaceae","Hoffmannseggella","kautskyana","Hoffmannseggella kautskyana","V.P.Castro & Chiron","Kautsky, RA","s.n.","2002","08",NA,"Brasil","Espírito Santo","Domingos Martins",NA,"-40.6591987609863","-20.3633003234863","48150","SP002192","auto","S","Castro, VP","2003","Holotype","Richardiana III(1): 65, fig. 1-2. 2003.","SP002192"
"3","2019-11-21 10:13:30-03","IBt","SP","360240a","Plantae","Orchidaceae","Hoffmannseggella","kautskyana","Hoffmannseggella kautskyana","V.P.Castro & Chiron","Kautsky, RA","s.n.","2002","08",NA,"Brasil","Espírito Santo","Domingos Martins",NA,"-40.6591987609863","-20.3633003234863","48150","SP002193","auto","Extra","Castro, VP","2003","Holotype","Richardiana III(1): 65, fig. 1-2. 2003.","SP002193"
