"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","identifiedBy","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","fieldNumber","verbatimLongitude","verbatimLatitude","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1018823","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","glazioviana","Vochysia glazioviana","Warm.","L. C. de S. Assis","1085","2005","01","18","South America","Brazil","Minas Gerais","Lima Duarte","Parque Estadual da Serra do Ibitipoca, Mata Grande.","-43.7931","-21.8428","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262872' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018823","NY01018823_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1921152","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","glazioviana","Vochysia glazioviana","Warm.","A. Barbosa","216","1949","08","09","South America","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Orgaos. Estrada Padre Campo Antas, a altura do km 6 (abrigo 2 matas)","-42.9655990600586","-22.4122009277344","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2185025' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921152","NY01921152_01","38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:08:28-03","NBC","NL-BOTANY","U.1769225","PreservedSpecimen","Plantae",NA,"Myrtales","Vochysiaceae","Vochysia","glazioviana","Vochysia glazioviana","Warm.","Rizzini CT",NA,"1948","06","09","Southern America","Brazil",NA,NA,"Proced. Pratas a altura do Abrigo, A allitude mais au menos,550 m - Terezopolis, Est. do Rio.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1769225 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1769225","NL-U1769225",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:20:59-03","ESALQ","ESA","104943","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Vochysiaceae","Vochysia","glazioviana","Vochysia glazioviana",NA,"Assis, L.C.","1085.0","2005","01","18",NA,"Brasil","Minas Gerais","Lima Duarte",NA,"-43.793098449707","-21.8425006866455",NA,NA,"ESA104943","ESA104943","30417","auto",NA,"Shimizu, G.H.","2008",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:43:22-03","UNICAMP","UEC","152107","S","Plantae","Magnoliopsida",NA,"Vochysiaceae","Vochysia","glazioviana","Vochysia glazioviana","Warm.","Valente, GE; Costa, CA","1635","2005","02","11",NA,"Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeiro., Serra das 3 cabeças. Totem Deitado.","-42.5208015441895","-20.6667003631592",NA,"Árvore com cerca de 3m de altura, coletada em borda de trilha próximo ao pâto do Totem Deitado",NA,NA,"16385","auto",NA,NA,NA,"1722","1722",NA,NA,NA,NA,NA
"6","2020-12-21 16:47:39-03","MBM","MBM","347367","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Vochysia","glazioviana","Vochysia glazioviana","Warm.","Assis, L.C.S.; et al.; et al.","1085","2005","01","18","Southern America","Brazil","Minas Gerais","Lima Duarte","Parque estadual do Ibitipoca, Mata Grande","-43.793098449707","-21.8425006866455",NA,"Árvore ca. 25 m alt. no interior da floresta (dossel entre 20 a 30 m alt.). Folhas discolores, nítidas em ambas as faces. raque das inflorescências verde. Botões amarelo-esverdeados","MBM347367",NA,"30417","auto",NA,"Shimizu, G.H.","2008",NA,NA,NA,NA,NA,NA,NA
"7","2015-09-05 09:31:43-03","MNHN","RECOLNAT_MNHN_P","P00733904","PreservedSpecimen",NA,NA,NA,"Vochysiaceae","Vochysia","glazioviana","Vochysia glazioviana","Warm.","Glaziou, A.",NA,"1870","3","10",NA,"brésil",NA,NA,"Nova Friburgo",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00733904' target='other'> <mi>dwc_moreinfo</mi></a>","P00733904","P00733904_01",NA,NA,NA,"Stafleu",NA,NA,NA,"isotype","3953",NA,NA,NA
"8","2015-09-05 09:31:43-03","MNHN","RECOLNAT_MNHN_P","P00733905","PreservedSpecimen",NA,NA,NA,"Vochysiaceae","Vochysia","glazioviana","Vochysia glazioviana","Warm.","Glaziou, A.",NA,"1870","3","10",NA,"brésil",NA,NA,"Nova Friburgo",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00733905' target='other'> <mi>dwc_moreinfo</mi></a>","P00733905","P00733905_01",NA,NA,NA,NA,NA,NA,NA,"isotype","3953",NA,NA,NA
"9","2019-11-13 11:33:09-03","USP","SPF","227904","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Vochysia","glazioviana","Vochysia glazioviana","Warm.","Cardoso, LJT","1143","2015","02","05",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Estadual da Pedra Selada, Fazenda Marimbondo.","-44.589444","-22.361389",NA,NA,"SPF00227904","SPF00227904",NA,NA,NA,"Anônimo",NA,"1468","1468",NA,NA,"-44.589444","-22.361389",NA
"10","2019-11-13 11:33:09-03","USP","SPF","185195","PreservedSpecimen","Plantae",NA,NA,"Vochysiaceae","Vochysia","glazioviana","Vochysia glazioviana","Warm.","Assis, LCS","1085","2005","01","18",NA,"Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca","-43.793098449707","-21.8425006866455",NA,NA,"SPF00185195",NA,"30417","auto",NA,"Shimizu, GH","2008",NA,NA,NA,NA,NA,NA,NA
"11","2019-10-07 09:36:09-03","UEFS","HUEFS","150967","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Vochysiaceae","Vochysia","glazioviana","Vochysia glazioviana","Warm.","Assis, L.C.S.","1085","2005","01","18",NA,"Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca. Mata grande.","-43.793098449707","-21.8425006866455",NA,"Mata Grande.","HUEFS0150967","HUEFS0150967","30417","auto","Rosanae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-10-07 09:36:09-03","UEFS","HUEFS","228732","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Vochysiaceae","Vochysia","glazioviana","Vochysia glazioviana","Warm.","Cardoso, L.J.T.","1143","2015","02","05",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Estadual da Pedra Selada. Fazenda Marimbondo.","-44.589444","-22.361389",NA,"Floresta Ombrófila Densa.","HUEFS0228732","HUEFS0228732",NA,NA,"Rosanae",NA,NA,"1468","1468",NA,NA,"44W35'22''","22S21'41''",NA
"13","2019-09-04 19:11:31-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Vochysiaceae","Vochysia","glazioviana","Vochysia glazioviana",NA,"A. Glaziou","3953","1870","3","10","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,"Isotype",NA,NA,NA,NA
