"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","locality","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","typeStatus","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","814292","PreservedSpecimen","Plantae","Pteridophyta","Salviniales","Marsileaceae","Regnellidium","diphyllum","Regnellidium diphyllum","Lindm.","W. G. F. Herter","W. G. F. Herter","95839","1935","09","29","South America","Brazil","Rio Grande do Sul","Sao Leopoldo","-51.1469","-29.7606","420","420","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=811605' target='other'> <mi>dwc_moreinfo</mi></a>","NY00814292","NY00814292_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","814289","PreservedSpecimen","Plantae","Pteridophyta","Salviniales","Marsileaceae","Regnellidium","diphyllum","Regnellidium diphyllum","Lindm.","T. M. Pedersen","T. M. Pedersen","12581","1979","11","30","South America","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=811597' target='other'> <mi>dwc_moreinfo</mi></a>","NY00814289","NY00814289_01","Pedro Osorio, muddy waterhole about 1 km east of the town.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","814288","PreservedSpecimen","Plantae","Pteridophyta","Salviniales","Marsileaceae","Regnellidium","diphyllum","Regnellidium diphyllum","Lindm.","D. M. Johnson","B. Rambo","49095","1950","11","08","South America","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=811591' target='other'> <mi>dwc_moreinfo</mi></a>","NY00814288","NY00814288_01","Vila Manresa p. Porto Alegre.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","814291","PreservedSpecimen","Plantae","Pteridophyta","Salviniales","Marsileaceae","Regnellidium","diphyllum","Regnellidium diphyllum","Lindm.",NA,"D. M. Johnson","762","1982","02","03","South America","Argentina","Corrientes","Ituzaingó",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=811602' target='other'> <mi>dwc_moreinfo</mi></a>","NY00814291","NY00814291_01","On spur road off Ruta 12 and just S of Ituzaingó. Marshy pond on W side of road.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","814290","PreservedSpecimen","Plantae","Pteridophyta","Salviniales","Marsileaceae","Regnellidium","diphyllum","Regnellidium diphyllum","Lindm.","A. C. Brade","G. F. J. Pabst","6524","1961","11","01","South America","Brazil","Rio Grande do Sul",NA,NA,NA,"450","450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=811600' target='other'> <mi>dwc_moreinfo</mi></a>","NY00814290","NY00814290_01","Próximo de Pedra Altas, Serra do erval.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","814293","PreservedSpecimen","Plantae","Pteridophyta","Salviniales","Marsileaceae","Regnellidium","diphyllum","Regnellidium diphyllum","Lindm.","H. N. Moldenke","J. E. Leite","407","1941","08",NA,"South America","Brazil","Rio Grande do Sul",NA,"-51.143791","-29.75136",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=811610' target='other'> <mi>dwc_moreinfo</mi></a>","NY00814293","NY00814293_01","Vicinity of Sao Leopoldo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 20:48:56-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","26357","S","Plantae","Tracheophyta","Salviniales","Marsileaceae","Regnellidium","diphyllum","Regnellidium diphyllum","Lindm.","Athayde, F.P.F.","Athayde, F.P.F.","1030","2001","08","25","América do Sul","Brasil","Rio Grande do Sul","Capão da Canoa","-50.0097007751465","-29.7455997467041",NA,NA,NA,"GEOGRAFIA: em canal no bordo da mata;",NA,NA,"Fazenda Pontal","Polypodiopsida","15808","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-08 20:48:56-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","26356","S","Plantae","Tracheophyta","Salviniales","Marsileaceae","Regnellidium","diphyllum","Regnellidium diphyllum","Lindm.","Athayde, F.P.F.","Athayde, F.P.F.","1030","2001","08","25","América do Sul","Brasil","Rio Grande do Sul","Capão da Canoa","-50.0097007751465","-29.7455997467041",NA,NA,NA,"GEOGRAFIA: em canal no bordo da mata;",NA,NA,"Fazenda Pontal","Polypodiopsida","15808","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-08 20:48:56-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","24948","S","Plantae","Tracheophyta","Salviniales","Marsileaceae","Regnellidium","diphyllum","Regnellidium diphyllum","Lindm.","B. Ollgaard et Windisch","P.G. Windisch","4151","1985","01","05","América do Sul","Brasil","Rio Grande do Sul","Porto Alegre","-51.2299995422363","-30.0331001281738",NA,NA,NA,"GEOGRAFIA: terrestre, margem do banhado;",NA,NA,"50 km sentido Guaíba","Polypodiopsida","29946","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 20:48:56-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","26358","S","Plantae","Tracheophyta","Salviniales","Marsileaceae","Regnellidium","diphyllum","Regnellidium diphyllum","Lindm.","C.R. Lehn","C.R. Lehn",NA,"2001","05","26","América do Sul","Brasil","Rio Grande do Sul","Triunfo","-51.7181015014648","-29.9433002471924",NA,NA,NA,"GEOGRAFIA: em valo às margens de estrada;",NA,NA,"Distrito de Benfica","Polypodiopsida","41194","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 09:59:35-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","03732","S","Plantae","Tracheophyta","Salviniales","Marsileaceae","Regnellidium","diphyllum","Regnellidium diphyllum","Lindm.","Grigor","Grigor","4","1965","07","23","América do Sul","Brasil","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,NA,"GEOGRAFIA: coletada no hidrofitotério - água rasa - raízes impregnadas de grande quantidade de barro;",NA,NA,"Parque do Estado","Polypodiopsida","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:50:59-03","EAO","IAN","55389","PreservedSpecimen","Plantae","Fern",NA,"Marsileaceae","Regnellidium","diphyllum","Regnellidium diphyllum","Lindau","Gehrt, A","Viégas, AP","5164","1939","10","20","Southern America","Brasil","São Paulo","Campinas","-47.060001373291","-22.8999996185303",NA,NA,NA,"Herbáceo.","IAN055389",NA,"Estufa Inst. Agronomico.",NA,"23900","auto","1942","04",NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:50:59-03","EAO","IAN","125552","PreservedSpecimen","Plantae","Fern",NA,"Marsileaceae","Regnellidium","diphyllum","Regnellidium diphyllum","Lindau",NA,"Viégas, AP","5164","1939",NA,NA,"Southern America","Brasil","São Paulo","Campinas","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,"IAN125552",NA,"I.A.",NA,"23900","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 10:45:46-03","NBC","NL-BOTANY","L.3610626","PreservedSpecimen","Plantae",NA,"Salviniales","Marsileaceae","Regnellidium","diphyllum","Regnellidium diphyllum","Lindm.",NA,"Pedersen TM",NA,"1979","11","30","Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3610626 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3610626","NL-L3610626","Rio Grande do Sul Pedro Osorio, muddy waterhole about 1 km east of the town.","Pteropsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 10:45:46-03","NBC","NL-BOTANY","U.1018689","PreservedSpecimen","Plantae",NA,"Salviniales","Marsileaceae","Regnellidium","diphyllum","Regnellidium diphyllum","Lindm.",NA,"Lindeman JC",NA,"1981","03","19","Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1018689 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1018689","NL-U1018689","Flora Brasiliensis. Rio Grande do Sul, Embrapa - UEPAE, former Faz. 5 Cruces, 10 km SE of Bage marsh in valley in campo.","Pteropsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 10:45:46-03","NBC","NL-BOTANY","U.1018690","PreservedSpecimen","Plantae",NA,"Salviniales","Marsileaceae","Regnellidium","diphyllum","Regnellidium diphyllum","Lindm.",NA,"Lindeman JC",NA,"1981","03","19","Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1018690 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1018690","NL-U1018690","Flora Brasiliensis. Rio Grande do Sul, Embrapa - UEPAE, former Faz. 5 Cruces, 10 km SE of Bage marsh in valley in campo.","Pteropsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-02-08 10:45:46-03","NBC","NL-BOTANY","U.1018691","PreservedSpecimen","Plantae",NA,"Salviniales","Marsileaceae","Regnellidium","diphyllum","Regnellidium diphyllum","Lindm.",NA,"Rau W",NA,"1936","03","01","Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1018691 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1018691","NL-U1018691","Rio Grande do Sul, Santa Maria.","Pteropsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
