"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","county","decimalLongitude","decimalLatitude","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","coordinatePrecision","geoFlag","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","806779","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Lellingeria","brasiliensis","Lellingeria brasiliensis","(Rosenst.) Labiak","P. H. Labiak E.","A. C. Brade","15100","1936","02","27","South America","Brazil","Rio de Janeiro","Itatiaia - Ribeirão das Flores.","2200","2200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=809602' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806779","NY00806779_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","806780","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Lellingeria","brasiliensis","Lellingeria brasiliensis","(Rosenst.) Labiak","P. H. Labiak E.","P. von Luetzelburg","13888A","1910",NA,NA,"South America","Brazil","Rio de Janeiro","Ita Assú.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=809502' target='other'> <mi>dwc_moreinfo</mi></a>","NY00806780","NY00806780_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","148622","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Polypodiaceae","Polypodium","tenuiculum","Polypodium tenuiculum brasiliense","Rosenst.",NA,"A. C. Brade","6465","1913","06",NA,"South America","Brazil","Rio de Janeiro","Itatiaya",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301097' target='other'> <mi>dwc_moreinfo</mi></a>","NY00148622","NY00148622_01","brasiliense","isolectotype","Itatiaia","-44.5631","-22.4961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-02-02 14:39:01-02","BGBM","B","B 20 0142662","S","Plantae",NA,NA,"Polypodiaceae","Lellingeria","brasiliensis","Lellingeria brasiliensis","Labiak","P. H. Labiak","A. F. M. Glaziou","3577",NA,NA,NA,"Middle and South America","Brazil",NA,"Rio de Janeiro.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B200142662 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B200142662","B200142662",NA,"isolectotype",NA,NA,NA,"2009","09",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-10-14 10:05:14-03","FURB","FURB","43640","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Lellingeria","brasiliensis","Lellingeria brasiliensis","(Rosenst.) Labiak","Labiak, PH","Bonnet, A.; Caglioni, E.","131","2012","05","07",NA,"Brasil","Rio de Janeiro","Pico da Caledônia.","2200","2200",NA,NA,"FURB04767","FURB04767",NA,NA,"Nova Friburgo","-42.5841666","-22.3555556","2013","09","01","-42.5841666","-22.3555556",NA,NA,NA,NA,NA
"6","2015-09-27 05:41:04-03","MNHN","RECOLNAT_MNHN_P","P00696518","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Lellingeria","brasiliensis","Lellingeria brasiliensis","(Rosenst.) P.H.Labiak","Labiak","Glaziou, A.",NA,"1869","8","7",NA,"Brésil",NA,"Point culminant des Orgues, R. J.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00696518' target='other'> <mi>dwc_moreinfo</mi></a>","P00696518","P00696518_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3577",NA,NA,NA,NA
"7","2015-09-03 18:26:40-03","MNHN","RECOLNAT_MNHN_P","P01568752","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Lellingeria","brasiliensis","Lellingeria brasiliensis","(Rosenst.) P.H.Labiak",NA,"Glaziou, A.",NA,"1869","8","7",NA,"Brésil",NA,"Point culminant des Orgues, R. J.",NA,NA,"hb","Don de l'Université de Caen reçu le 6 novembre 1974 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01568752' target='other'> <mi>dwc_moreinfo</mi></a>","P01568752","P01568752_01 P01568752_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3577",NA,NA,NA,NA
"8","2020-09-29 14:53:35-03","UFPR","UPCB","81181","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Lellingeria","brasiliensis","Lellingeria brasiliensis","(Rosenst.) Labiak","Grupo Verde & Salino, A.","Dinato, D.O.","65","2012","10","25",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Trilha entre o Abrigo 04 e a Pedra do Sino.","2035","2035",NA,"PRENSADO EM ÁLCOOL. Amostra em sílica. Campo de altitude. Erva terrestre em barranco de trilha. Área aberta..","UPCB0029929","UPCB0029929",NA,NA,"Teresópolis","-43.019","-22.277","2012","10",NA,"-43.019","-22.277",NA,NA,NA,NA,NA
"9","2020-09-29 14:53:35-03","UFPR","UPCB","75514","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Lellingeria","brasiliensis","Lellingeria brasiliensis","(Rosenst.) Labiak","Pereira, J.B.S.","Pereira, J.B.S.","559","2011","01","07",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Trilha Pedra do Sino.","1500","1600",NA,"Epifita no interior de mata nebular..",NA,NA,NA,NA,"Teresópolis","-42.988611","-22.456944","2013","03","02","-42.988611","-22.456944",NA,NA,NA,NA,NA
"10","2020-09-29 14:53:35-03","UFPR","UPCB","75515","PreservedSpecimen","Plantae","Polypodiophyta",NA,"Polypodiaceae","Lellingeria","brasiliensis","Lellingeria brasiliensis","(Rosenst.) Labiak","Pereira, J.B.S.","Pereira, J.B.S.","558","2011","01","07",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos. Trilha Pedra do Sino.","1500","1600",NA,"Rupícola no interior de mata nebular..",NA,NA,NA,NA,"Teresópolis","-42.988611","-22.456944","2013","03","02","-42.988611","-22.456944",NA,NA,NA,NA,NA
