"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","yearIdentified","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-04-05 14:33:31-03","UNESC","CRI","6848","PreservedSpecimen","Plantae","Fabaceae","Cassia","leptophylla","Cassia leptophylla","Vogel","S. F. Smith","Reitz; Klein","1962","07","12","Brasil","Santa Catarina","Irineópolis","Poço Preto, Valões.","-50.8775","-26.322222","50º52'39''W","26º19'20''S","750","750","Habitat: mata Habito: árvore","CRI002747","CRI002747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:31-03","UNESC","CRI","6938","PreservedSpecimen","Plantae","Fabaceae","Cassia","leptophylla","Cassia leptophylla","Vogel","S. F. Smith","R. M. Klein","1962","12","13","Brasil","Santa Catarina","Monte Castelo",NA,"-50.230833","-26.459444","50º13'51''W","26º27'34''S","807","807","Habitat: Pinhal Habito: árvore","CRI002678","CRI002678","3956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:16-03","UNESC","CRI","4416","PreservedSpecimen","Plantae","Fabaceae","Cassia","leptophylla","Cassia leptophylla","Vogel",NA,"V. P. Boff","1995","11","01","Brasil","Santa Catarina","Criciúma","Quarta Linha.","-49.37","-28.678056","49º22'12''W","28º40'41''S","46","46",NA,"CRI002748","CRI002748",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:16-03","UNESC","CRI","6861","PreservedSpecimen","Plantae","Fabaceae","Cassia","leptophylla","Cassia leptophylla","Vogel","S. F. Smith","R. M. Klein","1962","12","13","Brasil","Santa Catarina","Monte Castelo",NA,"-50.231389","-26.462778","50º13'53''W","26º27'46''S","750","750","Habitat: Pinhal Habito: árvore","CRI002679","CRI002679",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:16-03","UNESC","CRI","2192","PreservedSpecimen","Plantae","Fabaceae","Cassia","leptophylla","Cassia leptophylla","Vogel",NA,"Reitz; Klein","1962","07","12","Brasil","Santa Catarina","Irineópolis","Poço Preto, Valões - SC.","-50.8025","-26.238611","50º48'9''W","26º14'19''S","750","750","Habitat: mata Habito: árvore","CRI002746","CRI002746","13095",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:31-03","UNESC","CRI","6849","PreservedSpecimen","Plantae","Fabaceae","Cassia","leptophylla","Cassia leptophylla","Vogel","S. F. Smith","Reitz; Klein","1962","07","12","Brasil","Santa Catarina","Irineópolis","Poço Preto, Valões.","-50.799722","-26.238611","50º47'59''W","26º14'19''S","750","750","Habitat: mata Habito: árvore","CRI002750","CRI002750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:16-03","UNESC","CRI","1073","PreservedSpecimen","Plantae","Fabaceae","Cassia","leptophylla","Cassia leptophylla","Vogel","Marcos Sobral","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1991","11","28","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI002745","CRI002745","1351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:31-03","UNESC","CRI","2171","PreservedSpecimen","Plantae","Fabaceae","Cassia","leptophylla","Cassia leptophylla","Vogel","S. F. Smith","R. M. Klein","1962","12","13","Brasil","Santa Catarina","Papanduva",NA,"-50.132778","-26.41","50º7'58''W","26º24'36''S",NA,NA,NA,"CRI002743","CRI002743",NA,"1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:40:33-03","E","E","386756","PreservedSpecimen","Plantae","Leguminosae","Cassia","leptophylla","Cassia leptophylla",NA,NA,"Sellow, F.",NA,NA,NA,"BR",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00386756 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00386756",NA,NA,NA,"isotype","E. Tropical South America","herbarium specimen of unspecif","BGBASE:433858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:40:33-03","E","E","386757","PreservedSpecimen","Plantae","Leguminosae","Cassia","leptophylla","Cassia leptophylla",NA,NA,"Olfers",NA,NA,NA,"BR",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00386757 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00386757",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:433859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
