"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01173284","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","nigrescens","Utricularia nigrescens","Sylven","P. G. Taylor","R. de S. Secco","252","1982","05","17","South America","Brazil","Pará","Marabá, N1","-50.2921486","-6.0253411","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387814' target='other'> <mi>dwc_moreinfo</mi></a>","NY01173284","NY01173284_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1181996","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Utricularia","nigrescens","Utricularia nigrescens","Sylven","P. Taylor","H. S. Irwin","15188","1966","04","21","South America","Brazil","Goiás","Serra do Morcêgo, near Côrrego Estrema, ca. 38 km N.E. of Formosa","-47.08283","-15.2905556","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1391282' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181996","NY01181996_01","Formosa","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2014-09-25 12:32:14-03","FEMACT","MIRR","5678","S","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nigrescens","Utricularia nigrescens",NA,NA,"Ferreira, C.A.C.; Lima, J.; Maduro, C.B.; Erazo, ND de C; Bacelar-Lima, C.G.","12391","2002","08","30",NA,"Brasil","Roraima","Parque Nacional do Viruá, próximo a entrada do Parque, lado esquerdo. Campina graminóide, solo arenoso.","-60.997222","1.402222",NA,"Sub-arbusto. Flores e botões lilás.",NA,NA,"Caracaraí",NA,NA,"-60.997222","1.402222",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-07 11:45:23-03","UFMS","CGMS","13508","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nigrescens","Utricularia nigrescens","Sylvén","V.J. Pott","V.J. Pott; A. Pott; A.C.M. Cristaldo; S. Aragaki; D.R. Espírito Santo","6840","2004","03","31",NA,"Brasil","Mato Grosso do Sul","Fazenda Sucuriú, nascente próxima à sede, e divisa com o município Chapadão do Céu - Goiás.","-52.765","-18.3655556",NA,"Flor amarela. Utrículos em álcool. Habitat: Campo graminoso úmido ('Coval'), próximo a buritis (Mauritia flexuosa), em vale com afloramento de água; nascente. Solo hidromórfico, argiloso, turfoso com matéria orgânica. Relevo plano.","CGMS1042941",NA,"Chapadão do Sul","800","800","-52,765","-18,3655556","2004","04","15",NA,NA,NA,NA,NA,NA
"5","2021-04-07 11:45:23-03","UFMS","CGMS","57851","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nigrescens","Utricularia nigrescens","Sylvén","V.J. Pott","V.J. Pott; J. Paz; A. Pott","6662","2004","03","05",NA,"Brasil","Mato Grosso do Sul","Fazenda Santa Fátima, pasto 517, antiga represinha.","-54.235","-20.2463889",NA,"Flor amarela. Material em álcool. Habitat: Brejo emborda de açúde, com 5-20 cm profundidade, região de cerrado. Solo arenoso. Relevo plano. Mancha ocasional. Habito: Erva aquática emergente, 15-25 cm altura , comInflorescência.","CGMS1087788",NA,"Jaraguari","550","550","-54,235","-20,2463889","2004","03","24",NA,NA,NA,NA,NA,NA
"6","2021-04-07 11:45:23-03","UFMS","CGMS","25592","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nigrescens","Utricularia nigrescens","Sylvén","V.J.Pott","S.A. Cunha; V.J.Pott & S.R.Cieslak","64","2006","03","17",NA,"Brasil","Mato Grosso do Sul","Embrapa Gado de Corte,Lagoão,cerca de 1km leste da sede.","-54.7044444","-20.4491666",NA,"Material em álcool 70%. Habitat: Campo úmido, entre touceiras de gramíneas, em veio d#?#água 5cm prof. Habito: Erva aquática submersa livre.","CGMS1055018",NA,"Campo Grande","550","550","-54,7044444","-20,4491666",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-07 11:45:23-03","UFMS","CGMS","57850","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nigrescens","Utricularia nigrescens","Sylvén","V.J. Pott","V.J. Pott; L.C.P. Lima; A. Pott","5807","2002","09","16",NA,"Brasil","Mato Grosso do Sul","Estrada do Assentamento Campanário, próximo ao Pontilhão da Nascente do Rio Coxim, cerca de 4Km do asfalto, lado esquerdo.","-54.5997222","-19.2805556",NA,"Flor ausente. Material em álcool 70%. Habitat: Vereda de buriti, próximo a Pontilhão. Solo areno-siltoso hidromórfico. Relevo plano. Rara. Habito: Erva aquática submersa.","CGMS1087787",NA,"São Gabriel do Oeste","650","650","-54,5997222","-19,2805556","2004","05","27",NA,NA,NA,NA,NA,NA
"8","2021-04-07 11:45:23-03","UFMS","CGMS","13537","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nigrescens","Utricularia nigrescens","Sylvén","V.J. Pott","V.J. Pott; A. Pott; A.C.M. Cristaldo; S. Aragaki; D.R. Espírito Santo","6871","2004","04","01",NA,"Brasil","Mato Grosso do Sul","Fazenda Santo Antônio do Pontal, próximo ao córrego.","-53.0033333","-18.37",NA,"Flor amarela. Fruto ausente. Cálcar mais longo que o lábio inferior daCorola. Habitat: Campo úmido estacional entre murunduns ao longo de mata de galeria. Solo arenoso, hidromórfico estacional. Relevo plano. Habito: Erva aquática sub","CGMS1042976",NA,"Costa Rica","830","830","-53,0033333","-18,37","2004","04","15",NA,NA,NA,NA,NA,NA
"9","2021-04-07 11:45:23-03","UFMS","CGMS","13487","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nigrescens","Utricularia nigrescens","Sylvén","V.J. Pott","V.J. Pott; A. Pott; A.C.M. Cristaldo; S. Aragaki; D.R. Espírito Santo","6817","2004","03","29",NA,"Brasil","Mato Grosso do Sul","Fazenda Pouso Frio, Córrego Pouso Frio e entorno; cerca de 2 Km da nascente.","-52.8525","-18.6658333",NA,"Flor amarela. Calcar longo. Habitat: Borda de vereda: Campo graminoso úmido de 1,20-1,60 m de altura, com nascentes e buritis esparsos (Coval). Solo hidromórfico, argiloso com matéria orgânica. Relevo plano. Habito: Erva aquática em","CGMS1042917",NA,"Chapadão do Sul","815","815","-52,8525","-18,6658333","2004","04","15",NA,NA,NA,NA,NA,NA
"10","2021-04-07 11:45:23-03","UFMS","CGMS","76975","PreservedSpecimen","Plantae",NA,NA,"Lentibulariaceae","Utricularia","nigrescens","Utricularia nigrescens","Sylvén","V.J. Pott","V.J. Pott; A. Pott","9596","2007","07","25",NA,"Brasil","Mato Grosso do Sul","Rodovia MS-320, cerca de 1 km da BR-158, e 8 km a noroeste de Três Lagoas.","-51.7608333","-20.72",NA,"Flor cor amarelo-claro. Habitat: Campo graminoso úmido de vereda sem buriti ('várzea'). Solo arenoso com matéria orgânica. Relevo vale. Habito: Erva aquática, terrestre. 0,20 m de altura. Rara.","CGMS1109963",NA,"Três Lagoas","295","295","-51,7608333","-20,72",NA,NA,NA,NA,NA,NA,NA,NA,NA
