"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","order","scientificNameAuthorship","imagecode","identifiedBy","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","infraspecificEpithet"
"1","2020-09-23 10:40:11-03","E","E","314781","PreservedSpecimen","Plantae","Labiatae","Vitex","cymosa","Vitex cymosa","Richards, P.W.","6511","1968","07","25","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:319355","<a href=http://data.rbge.org.uk/herb/E00314781 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00314781",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:11-03","E","E","314784","PreservedSpecimen","Plantae","Labiatae","Vitex","cymosa","Vitex cymosa","Ratter, J.A.; Pott, A.; Narciso, Silverio & Camargo, Jesuino",NA,"1985","10","05","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:319352","<a href=http://data.rbge.org.uk/herb/E00314784 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00314784",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:11-03","E","E","103849","PreservedSpecimen","Plantae","Labiatae","Vitex","cymosa","Vitex cymosa","Ratter, J.A.; Filho, J. Fonsêca; Bridgewater, S. & Farias, R.",NA,"1998","11","14","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:112797","Vegetative ecological voucher. There are 15 m trees of this species nearby.<a href=http://data.rbge.org.uk/herb/E00103849 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00103849","Tocantins","15 km from Ponte Alta on the road to Porto Nacional.","-47.916667","-10.65","-47.916667","-10.650000","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:11-03","E","E","314782","PreservedSpecimen","Plantae","Labiatae","Vitex","cymosa","Vitex cymosa","Dubs, Balthasar","52","1984","09","08","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:319354","<a href=http://data.rbge.org.uk/herb/E00314782 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00314782",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:40:11-03","E","E","314785","PreservedSpecimen","Plantae","Labiatae","Vitex","cymosa","Vitex cymosa","Fiebrig, K.","265","1902","09","18","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:319351","<a href=http://data.rbge.org.uk/herb/E00314785 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00314785",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:40:11-03","E","E","314783","PreservedSpecimen","Plantae","Labiatae","Vitex","cymosa","Vitex cymosa","Fiebrig, K.","6378","1905","03","23","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:319353","<a href=http://data.rbge.org.uk/herb/E00314783 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00314783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00956786","PreservedSpecimen","Plantae","Lamiaceae","Vitex","cymosa","Vitex cymosa","J. A. Ratter","R5100","1985","10","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081844' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956786","Mato Grosso do Sul","Fazenda Nhumirim (Pantanal subregion of Nhecolândia), ca. 100 km SE of Corumbá","-57.02","-19.23",NA,NA,"89","89","Magnoliophyta","Lamiales","Bertero ex Spreng.","NY00956786_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1887560","PreservedSpecimen","Plantae","Lamiaceae","Vitex","cymosa","Vitex cymosa","S. Romaniuc Neto","678","1987","05","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2125047' target='other'> <mi>dwc_moreinfo</mi></a>","NY01887560","Rondônia","Eixo JP-14.","-61.83","-9.25",NA,NA,NA,NA,"Magnoliophyta","Lamiales","Bertero ex Spreng.","NY01887560_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01887541","PreservedSpecimen","Plantae","Lamiaceae","Vitex","cymosa","Vitex cymosa","C. C. Berg","19703","1973","08","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2125024' target='other'> <mi>dwc_moreinfo</mi></a>","NY01887541","Amazonas","Rio Solimões, 1 km south of Careiro Village.","-59.8689651","-3.2018764",NA,NA,NA,NA,"Magnoliophyta","Lamiales","Bertero ex Spreng.","NY01887541_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 18:28:00-03","NY","NYBG","192239","PreservedSpecimen","Plantae","Lamiaceae","Vitex","cymosa","Vitex cymosa","P. W. Kasent","53","1985","08","17","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754563' target='other'> <mi>dwc_moreinfo</mi></a>","NY00192239","Morona-Santiago","Los alrededores del Centro Shuar Pimpints",NA,NA,NA,NA,"800","800","Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
