"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","locality","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","decimalLongitude","decimalLatitude","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","class","relatedCatalogItem","eventTime","fieldNumber","individualCount","sex"
"1","2020-09-23 10:41:47-03","E","E","394772","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","lambertiana","Eugenia lambertiana","isotype","Schomburgk, Robert Hermann","703","1905","01","10","E. Tropical South America","GY","herbarium specimen of unspecif","BGBASE:443031","<a href=http://data.rbge.org.uk/herb/E00394772 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00394772",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:47-03","E","E","394779","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","lambertiana","Eugenia lambertiana","isotype","Spruce, Richard","1514","1905","01","24","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:443052","<a href=http://data.rbge.org.uk/herb/E00394779 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00394779","Prope Barra, Prov. Rio Negro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01450699","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","correae","Eugenia correae",NA,"B. A. Krukoff","1286","1931","11",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1682237' target='other'> <mi>dwc_moreinfo</mi></a>","NY01450699","near Calama, Madeira River region.","Magnoliophyta","Myrtales","O.Berg","A. C. Smith","Amazonas","-62.87","-8.02489","NY01450699_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","404895","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","correae","Eugenia correae","isotype","R. Spruce","1514","1851",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=85328' target='other'> <mi>dwc_moreinfo</mi></a>","NY00404895","Prope Barra [Manaus], prov. Rio Negro","Magnoliophyta","Myrtales","O.Berg",NA,"Amazonas","-59.9953079","-3.0673242","NY00404895_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01450861","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","lambertiana","Eugenia lambertiana",NA,"G. T. Prance","8120","1968","10","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1334567' target='other'> <mi>dwc_moreinfo</mi></a>","NY01450861","East bank of Rio Purus, 5 Km above Lábrea","Magnoliophyta","Myrtales","DC.","B. K. Holst","Amazonas","-64.7982109","-7.2650967","NY01450861_01","Lábrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2422879","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","lambertiana","Eugenia lambertiana",NA,"R. Goldenberg","2028","2014","04","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2674873' target='other'> <mi>dwc_moreinfo</mi></a>","NY02422879","Boca do Rio Jauaperi","Magnoliophyta","Myrtales","DC.","B. K. Holst","Roraima","-61.5844","-1.4308","NY02422879_01","Rorainópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01450855","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","lambertiana","Eugenia lambertiana",NA,"J. M. Pires","50736","1961","09","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1687954' target='other'> <mi>dwc_moreinfo</mi></a>","NY01450855","Rio Araguari, along river, between camps 3 and 4.","Magnoliophyta","Myrtales","DC.","R. McVaugh","Amapá","-51.975","1.85","NY01450855_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01450860","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","lambertiana","Eugenia lambertiana",NA,"N. A. Rosa","3640","1980","04","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1688016' target='other'> <mi>dwc_moreinfo</mi></a>","NY01450860","Marajó, Salvaterra, Joanes.","Magnoliophyta","Myrtales","DC.","N. A. Rosa","Pará","-48.5123152","-0.875396","NY01450860_01","Salvaterra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01450864","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","lambertiana","Eugenia lambertiana",NA,"C. A. Cid Ferreira","1764","1980","07","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1335130' target='other'> <mi>dwc_moreinfo</mi></a>","NY01450864","Rio Trombetas, margem esquerda, lago do Ajudante em frente a Porto de Trombetas.","Magnoliophyta","Myrtales","DC.","B. K. Holst","Pará","-56.3846228","-1.4559609","NY01450864_01","Oriximiná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01459736","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","lambertiana","Eugenia lambertiana",NA,"C. A. Cid Ferreira","3599","1982","11","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1334642' target='other'> <mi>dwc_moreinfo</mi></a>","NY01459736","Novo Japurá. Entre Tamandaré e Manguari, rio Japurá, afluente do rio Solimões, ao longo do rio","Magnoliophyta","Myrtales","DC.","B. K. Holst","Amazonas","-69","-1.83","NY01459736_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
