"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","identifiedBy","yearIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","typeStatus","county","monthIdentified","individualCount","coordinatePrecision","geoFlag","fieldNumber","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","02431639","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Duckeanthus","grandiflorus","Duckeanthus grandiflorus","R.E.Fr.","G. T. Prance","15696","1971","10","30","South America","Brazil","Amazonas","Road from Camanaus to Uaupés.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2980023' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431639","NY02431639_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02431642","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Duckeanthus","grandiflorus","Duckeanthus grandiflorus","R.E.Fr.","P. J. M. Maas","6778","1987","10","18","South America","Brazil","Amazonas","Right bank of Rio Negro, Ilha Tamanduá ( locally Ilha Marajó ), near Carapanã.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2980067' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431642","NY02431642_01","-67.27","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02431640","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Duckeanthus","grandiflorus","Duckeanthus grandiflorus","R.E.Fr.","J. M. Pires","444","1947","04","20","South America","Brazil","Amazonas","Rio Negro; Vila Içana.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2980065' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431640","NY02431640_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02431641","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Duckeanthus","grandiflorus","Duckeanthus grandiflorus","R.E.Fr.","P. J. M. Maas","6772","1987","10","18","South America","Brazil","Amazonas","Right bank of Rio Negro, Ilha Tamanduá ( locally Ilha Marajó ), near Carapanã.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2980066' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431641","NY02431641_01","-67.27","0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:33:31-03","EAO","IAN","146231","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Annonaceae","Duckeanthus","grandiflorus","Duckeanthus grandiflorus","R.E.Fr.","Cordeiro, MR","305","1975","02","23","Southern America","Brasil","Amazonas","Estrada entre Uaupés e Camanaus. Mata de terra firme.",NA,"Arbusto de 4m.","IAN146231",NA,NA,NA,"Maas, PJM","1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:33:31-03","EAO","IAN","28348","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Annonaceae","Duckeanthus","grandiflorus","Duckeanthus grandiflorus","R.E.Fr.","Pires, JM","391","1947","04","18","Southern America","Brasil","Amazonas","Rio Negro; ilha das Flores; foz do rio Vaúpes; mata virgem.",NA,"Árvore pequena; flores esverdeadas.","IAN028348","IAN028348",NA,NA,"Maas, PJM","1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:33:31-03","EAO","IAN","28349","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Annonaceae","Duckeanthus","grandiflorus","Duckeanthus grandiflorus","R.E.Fr.","Pires, JM","391a","1947","04","18","Southern America","Brasil","Amazonas","Rio Negro; ilha das Flores; foz do rio Vaúpes; mata virgem.",NA,"Árvore pequena; flores esverdeadas.","IAN028349","IAN028349",NA,NA,"Maas, PJM","1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:33:31-03","EAO","IAN","28403","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Annonaceae","Duckeanthus","grandiflorus","Duckeanthus grandiflorus","R.E.Fr.","Pires, JM","444","1947","04","20","Southern America","Brasil","Amazonas","Rio Negro, Vila Içana.",NA,"Árvore pequena, flores amareladas.","IAN028403","IAN028403",NA,NA,"Fries, RE","1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:33:31-03","EAO","IAN","78170","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Annonaceae","Duckeanthus","grandiflorus","Duckeanthus grandiflorus","R.E.Fr.","Fróes, RL; Addison, G","28580","1952","09","15","Southern America","Brasil","Amazonas","Rio Negro, Foz do Caiarí, caatinga.",NA,"Arbusto de 2 metros.","IAN078170",NA,NA,NA,"Maas, PJM","1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:38:58-03","NBC","NL-BOTANY","U.1068538","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Duckeanthus","grandiflorus","Duckeanthus grandiflorus","R.E.Fr.","Maas PJM; et al.",NA,"1987","10","18","Southern America","Brazil","Amazonas","Right bank of Rio Negro, Ilha Tamanduá (locally Ilha Marajó), near Carapaña.",NA,"High caatinga forest.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1068538 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1068538","NL-U1068538","-67.266667","0.1","Maas PJM",NA,"Magnoliopsidae","-67.266667","0.1","U 0089536",NA,NA,NA,NA,NA,NA,NA,NA
