"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","typeStatus","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","451797","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","ciliata","Aeschynomene ciliata","Vogel","V. E. Rudd","A. F. M. Glaziou","8634","1876","10","05","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Sao Cristovao","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429138' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451797","NY00451797_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","451872","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","ciliata","Aeschynomene ciliata","Vogel","L. L. C. Antunes","L. Riedel","126",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=183732' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451872","NY00451872_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00982155","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","ciliata","Aeschynomene ciliata","Vogel","M. Brandão","W. J. Burchell","1546","1826","01","10","South America","Brazil","Rio de Janeiro",NA,"In a walk from Praia Grande (Nictheroy or Niteroi) to the village of Sao Joao do Carahy (Icaray, part of Niteroi), and two miles farther","-43.133","-22.9","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102123' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982155","NY00982155_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","451798","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","ciliata","Aeschynomene ciliata","Vogel",NA,"B. J. Pickel","3728","1934","12","04","South America","Brazil","Pernambuco",NA,"Tapera","-35.18","-8.12","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429140' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451798","NY00451798_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01301378","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","ciliata","Aeschynomene ciliata","Vogel","V. E. Rudd","H. S. Irwin","48760","1960","10","16","South America","Brazil","Amapá",NA,"Rio Oiapoque. Base of Mt. Tipac.","-51.32","3.6","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1572358' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301378","NY01301378_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01301432","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","ciliata","Aeschynomene ciliata","Vogel","L. L. C. Antunes","E. Lima","79","1983","10","21","South America","Brazil","Pará","Tucuruí","Margens do lago do Cagancho","-49.73","-3.92","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1381478' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301432","NY01301432_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-27 02:56:00-03","NY","NYBG","451800","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","ciliata","Aeschynomene ciliata",NA,NA,"G. A. Black","46-132","1946","09","29","South America","Colombia","Amazonas",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429139' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00451801","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","ciliata","Aeschynomene ciliata","Vogel","V. E. Rudd","G. T. Prance","24114","1976","10","26","South America","Brazil","Amazonas",NA,"Rio Curaça, 8 miles above the mouth","-71.4016646","-4.4466072","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429137' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451801","NY00451801_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","451874","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","ciliata","Aeschynomene ciliata","Vogel","L. L. C. Antunes","L. Riedel","731",NA,NA,NA,"South America","Brazil",NA,NA,"Prope Inhumerim",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=183731' target='other'> <mi>dwc_moreinfo</mi></a>","NY00451874","NY00451874_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01301379","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Aeschynomene","ciliata","Aeschynomene ciliata","Vogel","V. E. Rudd","G. T. Prance","8047","1968","10","29","South America","Brazil","Amazonas","Lábrea","Basin of Rio Purus, Lago Preto, 3 km north of Lábrea.","-64.7982109","-7.23797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1378138' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301379","NY01301379_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
