"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","previousCatalogNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00863299","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","longiflora","Aphelandra longiflora","(Lindl.) Profice","S. R. Profíce","E. P. Heringer","7071","1959","07","05","South America","Brazil","Minas Gerais","Fda. de Bernardino Valadares, margem do Paraopeba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951151' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863299","NY00863299_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00863296","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","longiflora","Aphelandra longiflora","(Lindl.) Profice","S. R. Profíce","H. S. Irwin","15242","1966","04","21","South America","Brazil","Goiás","Serra do Morcêgo, Côrrego Estrema, ca. 35 km N.E. of Formosa.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951103' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863296","NY00863296_01","Formosa","-47.1025","-15.30964","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00863272","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","longiflora","Aphelandra longiflora","(Lindl.) Profice","S. R. Profíce","Y. E. J. Mexia","4644","1930","04","26","South America","Brazil","Minas Gerais","Viçosa. Road East from Cha-Cha Valley; about 5 km. from Agricultural College","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951123' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863272","NY00863272_01","Viçosa","-42.8817","-20.7542","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00863384","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","longiflora","Aphelandra longiflora","(Lindl.) Profice","S. R. Profíce","A. F. C. P. Saint-Hilaire","1043",NA,NA,NA,"South America","Brazil","Minas Gerais","Minas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951272' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863384","NY00863384_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00863274","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","longiflora","Aphelandra longiflora","(Lindl.) Profice","S. R. Profíce","E. P. Heringer","8389","1961","05","26","South America","Brazil","Distrito Federal","Horto do Guará","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951152' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863274","NY00863274_01","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00863270","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","longiflora","Aphelandra longiflora","(Lindl.) Profice","S. R. Profíce","H. S. Irwin","15581","1966","05","02","South America","Brazil","Goiás","Côrrego Itaquera, ca. 30 km N. of Formosa","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951101' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863270","NY00863270_01","Formosa","-47.43","-15.3","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00863385","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","longiflora","Aphelandra longiflora","(Lindl.) Profice","S. R. Profíce","L. M. M. Carreira","794","1983","05","05","South America","Brazil","Mato Grosso","Km 23 de Vila Bela, caminho da Cachoeira","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951275' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863385","NY00863385_01","Vila Bela de Santíssima Trindade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00863360","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","longiflora","Aphelandra longiflora","(Lindl.) Profice","S. R. Profíce","J. Ball","s.n.","1882","07","10","South America","Brazil","Rio de Janeiro","Brasiliae prope Petropolis","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951274' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863360","NY00863360_01","Petrópolis","-43.1783","-22.505","610","914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2017-01-12 13:23:00-02","NY","NYBG","00863301","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","longiflora","Aphelandra longiflora",NA,"S. R. Profíce","J. F. Widgren","s.n.","1843",NA,NA,"South America","Brazil","Minas Gerais","Minas Geraes","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951157' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863301","NY00863301_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00863358","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","longiflora","Aphelandra longiflora","(Lindl.) Profice","S. R. Profíce","G. Schaller","13","1977","06","02","South America","Brazil","Mato Grosso","Fazenda Acurizal. Rio Paraguai; Pantanal.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951271' target='other'> <mi>dwc_moreinfo</mi></a>","NY00863358","NY00863358_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
