"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","individualCount","fieldNumber","typeStatus"
"1","2020-09-23 10:35:42-03","E","E","106394","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","erythropus","Ruellia erythropus","Hassler, E.","12200","1905","03","27","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:116754","<a href=http://data.rbge.org.uk/herb/E00106394 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00106394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:35:42-03","E","E","106378","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","erythropus","Ruellia erythropus","Steinbach, Jose","7214","1925","09","01","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:116776","<a href=http://data.rbge.org.uk/herb/E00106378 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00106378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:35:42-03","E","E","106393","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","erythropus","Ruellia erythropus","Fiebrig, K.","4084","1908","10","11","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:116755","<a href=http://data.rbge.org.uk/herb/E00106393 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00106393",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:35:42-03","E","E","106395","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","erythropus","Ruellia erythropus","Morong, Thomas","659","1905","03","02","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:116753","<a href=http://data.rbge.org.uk/herb/E00106395 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00106395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:35:42-03","E","E","106374","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","erythropus","Ruellia erythropus","Morong, Thomas","967","1905","03","02","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:116760","<a href=http://data.rbge.org.uk/herb/E00106374 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00106374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","492393","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","erythropus","Ruellia erythropus","G. G. Hatschbach","43996","1981","09","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131279' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492393","Magnoliophyta","Lamiales","(Nees) Lindau","C. Ezcurra","Paraná","Marechal Cândido Rondon","Corrego Rio Branco","-54.0567","-24.5561","NY00492393_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-28 14:58:00-03","NY","NYBG","492396","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","erythropus","Ruellia erythropus","S. A. Renvoize","3525","1978","11","19","South America","Argentina","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131283' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492396","Magnoliophyta","Lamiales",NA,"C. Ezcurra","Jujuy",NA,"San Pedro, Cuesta de las Lajitas.",NA,NA,NA,"1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","492395","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","erythropus","Ruellia erythropus","M. H. Nee","35321","1987","07","23","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131281' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492395","Magnoliophyta","Lamiales","(Nees) Lindau","C. Ezcurra","Santa Cruz","Cordillera","2-3 km. NW of Boyuibe, along abandoned railroad to Cuevo",NA,NA,NA,"800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-28 14:58:00-03","NY","NYBG","492397","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","erythropus","Ruellia erythropus","A. L. Woolston","570","1955","09","12","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131282' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492397","Magnoliophyta","Lamiales",NA,"C. Ezcurra","San Pedro",NA,"Alto Paraguay: Primavera.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","492394","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","erythropus","Ruellia erythropus","G. T. Prance","26104","1979","06","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131280' target='other'> <mi>dwc_moreinfo</mi></a>","NY00492394","Magnoliophyta","Lamiales","(Nees) Lindau","C. Ezcurra","Mato Grosso",NA,"Hill slopes behind Acurizal, Rio Paraguai.","-57.53","-17.87","NY00492394_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-24 17:10:24-03","UTFPR","DVPR","3307","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","erythropus","Ruellia erythropus","Amadeo, RM; et al.","s.n.","2013","09","28",NA,"Brasil",NA,NA,"Subarbusto semi-ciófilo, ca. 2m, flores com cálice verde e corola roxa.; Relevo: ondulado. Floresta Estacional Semidecidual Aluvial","DVPR003307","Magnoliophyta",NA,"(Nees) Lindau ex Rambo","Caxambu, MG","Paraná","Iretama","Vegetação ciliar do rio Muquilão","-52.1058006286621","-24.423900604248",NA,NA,NA,"2014","06","06","27581","auto",NA,NA,NA,NA,NA,NA
"12","2021-03-02 16:28:32-03","CPAN-UFMS","COR","6085","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","erythropus","Ruellia erythropus","Damasceno Júnior,G.A.; V.L.Ferreira","1511","1998","06","03",NA,"Brasil",NA,NA,"Com Flor: roxa Habito: erva estoloniferea",NA,NA,NA,"(Nees) Lindau","Denise Monte Braz","Mato Grosso do Sul","Ladário","Estrada da Manga próx. a faz. Bandalta. Bancada Laterítica (Lagedo); Litólico e rico em Ferro; Plano - levemente inclinado.","-57.558611","-19.167222",NA,"150","150","2003","09","30",NA,NA,"57º33'31''W","19º10'2''S",NA,NA,NA,NA
"13","2020-11-26 18:06:47-03","CPAN-UFMS","COR","12176","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","erythropus","Ruellia erythropus","Pott, A.; Araújo, S.M.C.; Branco, O.D.","6356","1993","06","03",NA,"Brasil",NA,NA,"esparsas; Com Flor: azulada",NA,NA,NA,"(Nees) Lindau","Braz, D.M.","Mato Grosso do Sul","Corumbá","Fazenda Barrinhos, Nhecolândia, Pantanal. mata semi-decídua/Cerrado mesotrofico com Brachiaria humidicola; arenoso; Plano convexo.","-57.6533012390137","-19.0091991424561",NA,"90","90",NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA
"14","2020-11-26 18:06:47-03","CPAN-UFMS","COR","13635","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","erythropus","Ruellia erythropus","Damasceno Jr,G.A.;Bezerra,M.A.O.;Bortolotto,I.M.","467","1993","10","21",NA,"Brasil",NA,NA,"Com Flor: roxa",NA,NA,NA,"(Nees) Lindau","V. J. Pott.","Mato Grosso do Sul","Corumbá","Fazenda Santa Helena. Capão de mata em área sombreada; ;.","-57.6533012390137","-19.0091991424561",NA,NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA,NA
"15","2020-02-08 09:29:38-03","NBC","NL-BOTANY","U.1051285","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","erythropus","Ruellia erythropus","Woolston AL",NA,"1955","09","12","Southern America","Paraguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1051285 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1051285",NA,"Lamiales","(Nees) Lindau",NA,NA,NA,"Depto. San Pedro, alto Paraguay: primavera.",NA,NA,"NL-U1051285",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"16","2020-11-04 10:58:47-03","ESALQ","ESA","51621","PreservedSpecimen","Plantae","Acanthaceae","Ruellia","erythropus","Ruellia erythropus","Maria, V.R.B.",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,"ESA051621","Magnoliophyta",NA,NA,"Maria, V.R.B.","Mato Grosso do Sul","Bonito",NA,"-56.4818992614746","-21.1210994720459",NA,NA,NA,NA,NA,NA,"71352","auto",NA,NA,NA,NA,NA,NA
