"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","recordNumber","individualCount","typeStatus","continentOcean","preparationType","class","fieldNumber","infraspecificEpithet","relatedCatalogItem","sex"
"1","2021-04-05 14:25:05-03","UNESC","CRI","2591","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","streptocarpa","Tillandsia streptocarpa","Baker","L. B. Smith","R. Reitz; R. M. Klein","1965","12","13","Brasil","Paraná","Ponta Grossa","Arenitos, Vila Velha.","-50.162222","-25.095556","50º9'44''W","25º5'44''S","CRI001957","CRI001957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","2988","S","Plantae","Bromeliaceae","Tillandsia","streptocarpa","Tillandsia streptocarpa","Baker","Daniela Zappi","Carlos Alberto F. Jr.;","2009","11","14","Brasil","Minas Gerais","Santana do Riacho","Área do Sr. João Carrinho e D. Maria Geralda","-43.7144012451172","-19.1688995361328","43°43.859'","19°02.848'",NA,NA,"Magnoliophyta","Poales","2009","11","16","26557","1247","1247","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","2360","S","Plantae","Bromeliaceae","Tillandsia","streptocarpa","Tillandsia streptocarpa","Baker","Carlos A. Ferreira Jr.","Carlos Alberto F. Jr.; Maria Guadalupe, Fernando Fernandes, Juliana Ordones","2012","04","17","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo da Gerais","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"Magnoliophyta","Poales","2012","04","17","26557",NA,NA,"254","auto","CAF494","1",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","2984","S","Plantae","Bromeliaceae","Tillandsia","streptocarpa","Tillandsia streptocarpa","Baker","Carlos A. Ferreira Jr.","Carlos Alberto F. Jr.;","2009","11","11","Brasil","Minas Gerais","Santana do Pirapama","Caminho da Senhorinha, Inhamés",NA,NA,"43°45.461'","18°56.852'",NA,NA,"Magnoliophyta","Poales","2009","11","11",NA,"1339","1339","254",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","2985","S","Plantae","Bromeliaceae","Tillandsia","streptocarpa","Tillandsia streptocarpa","Baker","Carlos A. Ferreira Jr.","Carlos Alberto F. Jr.;","2009","11","11","Brasil","Minas Gerais","Santana do Pirapama","Caminho da Senhorinha, Inhamés",NA,NA,"43°45.461'","18°56.852'",NA,NA,"Magnoliophyta","Poales","2009","11","11",NA,"1339","1339","254",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","2987","S","Plantae","Bromeliaceae","Tillandsia","streptocarpa","Tillandsia streptocarpa","Baker","Carlos A. Ferreira Jr.","Carlos Alberto F. Jr.;","2009","11","13","Brasil","Minas Gerais","Santana do Pirapama","Caminho da Cachoeira do Inhamé",NA,NA,"43°47.327'","18°54.402'",NA,NA,"Magnoliophyta","Poales","2009","11","13",NA,"1202","1202","254",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","2986","S","Plantae","Bromeliaceae","Tillandsia","streptocarpa","Tillandsia streptocarpa","Baker","Carlos A. Ferreira Jr.","Carlos Alberto F. Jr.;","2009","11","13","Brasil","Minas Gerais","Santana do Pirapama","Caminho da Cachoeira do Inhamé",NA,NA,"43°47.327'","18°54.402'",NA,NA,"Magnoliophyta","Poales","2009","11","13",NA,"1202","1202","254",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","3094","S","Plantae","Bromeliaceae","Tillandsia","streptocarpa","Tillandsia streptocarpa","Baker","Carlos A. Ferreira Jr.","Carlos Alberto F. Jr.; Daniela Zappi e Fernando Araújo","2011","03","21","Brasil","Minas Gerais","Santana do Pirapama","Caminho da Senhorinha, Inhamés",NA,NA,"43°44.943'","18°54.835'",NA,NA,"Magnoliophyta","Poales","2011","03","21",NA,"1295","1295","254",NA,"caf270",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","04203822","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","apoloensis","Tillandsia apoloensis","Rusby",NA,"R. S. Williams","1902","09","11","Bolivia",NA,NA,"Apolo",NA,NA,NA,NA,"NY04203822",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,"1463",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4576287' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1483",NA,"holotype","South America","sheet",NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3877682","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","streptocarpa","Tillandsia streptocarpa","Baker",NA,"S. G. Beck","1982","11","02","Bolivia","Cochabamba","Capinota","Capinota 6 kms hacia Apillapampa (direccion S)",NA,NA,NA,NA,"NY03877682",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,"2500",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188956' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"9021",NA,NA,"South America","sheet",NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","400344","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","streptocarpa","Tillandsia streptocarpa","Baker","H. E. Luther","A. M. Amorim","1995","10","26","Brazil","Bahia","Jacobina","Entrada que liga Jacobina a Morro do Chapéu, ca. de 1 km de Jacobina. Ramal que leva a Cachoeira do Alves, ca. 10 km da estrada principal","-40.5181","-11.1808",NA,NA,"NY00400344","NY00400344_01","Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=732665' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1760",NA,NA,"South America","sheet",NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01096547","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","streptocarpa","Tillandsia streptocarpa","Baker",NA,"B. Maciel","2003","08","03","Brazil","Pernambuco","Alagoinha","Fazenda Cajueiro Seco, antes da 1a porteira.","-36.7758","-8.46639",NA,NA,"NY01096547","NY01096547_01","Magnoliophyta","Poales",NA,NA,NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1239266' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"59",NA,NA,"South America","sheet",NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","3877676","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","streptocarpa","Tillandsia streptocarpa","Baker",NA,"J. Balcazar","1996","07","16","Bolivia","Santa Cruz","Manuel María Caballero","San Juan de Potreros, Huerta","-64.28","-17.97",NA,NA,"NY03877676",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,"1500",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4188940' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"796",NA,NA,"South America","sheet",NA,NA,NA,NA,NA
