"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","phylum","continentOcean","imagecode","coordinatePrecision","geoFlag","class","order","typeStatus","relatedCatalogItem","preparationType","fieldNumber","previousCatalogNumber"
"1","2020-11-13 09:20:54-03","UFRJ","RFA","25781","PreservedSpecimen","Plantae","Salicaceae","Casearia","selloana","Casearia selloana","Eichler","M. Gomes","2001","08","01","F. M de B. Pereira","49/49","2000","11","06","Brasil","Rio de Janeiro","São José do Vale do Rio Preto","Sítio Beira Mar - Poço fundo","-42.891111","-22.173333","42º53'28''W","22º10'24''S","700","700","Árvore, folha verde, fruto verde","RFA38073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-13 09:20:54-03","UFRJ","RFA","27847","PreservedSpecimen","Plantae","Salicaceae","Casearia","selloana","Casearia selloana","Eichler","M. Gomes","2001","08","01","A. Quinet","18/94","2001","05","18","Brasil","Rio de Janeiro","Nova Friburgo","Lumiar. Sítio Arco Iris","-42.405556","-22.355278","42º24'20''W","22º21'19''S","550","550","Árvore 3 m de altura, 3,5 cm de DAP; folha discolor verde; inflorescência passada, comum no local","RFA38082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:24:21-03","UFBA","ALCB","53979","PreservedSpecimen","Plantae","Salicaceae","Casearia","selloana","Casearia selloana","Eichler","Nepomuceno, FAA","2017","09","01","Alves, L. de J.; Guedes, ML; Santana, DL; Loureiro, DM","124","2001","05","20","Brasil","Bahia","Bonito","Chapada Diamantina, Assentamento Piratini, ponto T6","-41.335278","-12.077222","-41.335278","-12.077222",NA,NA,"Folhas coriáceas, discolores. Flores axilares. Frutos imaturos verdes.","ALCB050091","Dicotyledon","Southern America","ALCB050091",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:24:21-03","UFBA","ALCB","83677","PreservedSpecimen","Plantae","Salicaceae","Casearia","selloana","Casearia selloana","Eichler","Nepomuceno, FAA","2017","09","01","Machado, MABL","369","2004","01","20","Brasil","Alagoas","Coruripe","Fazenda Capiatã A, Bloco Goiabeira I.","-36.1755981445312","-10.125599861145",NA,NA,NA,NA,"Florística e Fitossociologia do estrato arbóreo de fragmentos de M AtlÂntica de U. Coruripe; Árvore: ca. 4 m altura; Floresta Ombrófila aberta - borda de tabuleiro","ALCB050036","Dicotyledon","Southern America","ALCB050036","31269","auto",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:51:40-03","NBC","NL-BOTANY","L 0010749","PreservedSpecimen","Plantae","Flacourtiaceae","Casearia","selloana","Casearia selloana","Eichler",NA,NA,NA,NA,"Sello F",NA,NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200010749 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0010749",NA,"Southern America","NL-L0010749",NA,NA,"Magnoliopsidae","Malpighiales","isolectotype","207557",NA,NA,NA
"6","2020-02-08 09:51:40-03","NBC","NL-BOTANY","L 0010750","PreservedSpecimen","Plantae","Flacourtiaceae","Casearia","selloana","Casearia selloana","Eichler",NA,NA,NA,NA,"Sello F",NA,NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200010750 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0010750",NA,"Southern America","NL-L0010750",NA,NA,"Magnoliopsidae","Malpighiales","isolectotype","238014",NA,NA,NA
"7","2020-02-08 09:51:40-03","NBC","NL-BOTANY","L.2458036","PreservedSpecimen","Plantae","Flacourtiaceae","Casearia","selloana","Casearia selloana","Eichler",NA,NA,NA,NA,"Netto",NA,NA,NA,NA,"Brazil",NA,NA,"Alagoas.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2458036 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2458036",NA,"Southern America","NL-L2458036",NA,NA,"Magnoliopsidae","Malpighiales",NA,NA,NA,NA,NA
"8","2020-11-04 11:19:12-03","ESALQ","ESA","106237","PreservedSpecimen","Plantae","Salicaceae","Casearia","selloana","Casearia selloana",NA,"Torres, R.B.","1991","03","08","Valente, A.","131.0","2002","01","12","Brasil","Minas Gerais","São João Del Rey",NA,"-44.2616996765137","-21.1355991363525",NA,NA,NA,NA,NA,"ESA106237","Magnoliophyta",NA,"ESA106237","39093","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:19:12-03","ESALQ","ESA","80490","PreservedSpecimen","Plantae","Salicaceae","Casearia","selloana","Casearia selloana","Eichler",NA,NA,NA,NA,"França, F. et al.","2418.0","1997","10","25","Brasil","Bahia","Milagres",NA,"-39.8588981628418","-12.8699998855591",NA,NA,NA,NA,NA,"ESA080490","Magnoliophyta",NA,"ESA080490","24432","auto",NA,NA,NA,NA,NA,NA,NA
"10","2019-02-15 11:40:11-02","IPA","IPA","86424","S","Plantae","Flacourtiaceae","Casearia","selloana","Casearia selloana","Eichler","Nepomuceno, F.A.A.","2016","10","27","Pessoa, L.M.; Pinheiro, T.S.; Pinheiro, T.S.","742","2009","01","06","Brasil","Pernambuco","Paulista","Estação Ecológica de Caetés, Interior da área.","-34.122222","-7.970833","-34.122222","-7.970833",NA,NA,"Árvore nº 465; ca de 6m; presença de botões e em plena floração; frutos imaturos.; Vegetação Arbórea-arbustiva, Mata Atlântica. Ocasional.","IPA0086424","Plantae","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
