"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","day","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","order","phylum"
"1","2020-12-21 16:19:23-03","MBM","MBM","121030","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","agudensis","Dyckia agudensis","Irgang & Sobral","Sobral, M.; Irgang, B.","1987","ISOTYPE","Sobral, M.; et al.; et al.","5581","1987","10","Southern America","Brazil","Rio Grande do Sul","Agudo","Cerro Agudo, Topo do Cerro Agudo","-53.283333","-29.633333","-53.283333","-29.633333","Flores amarelas; Flores amarelas.","MBM121030","MBM121030",NA,NA,NA,NA,NA,NA,NA
"2","2015-02-21 21:45:00-02","MO","MOBOT","2452623","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","agudensis","Dyckia agudensis","Irgang & Sobral","Irgang, B. E.",NA,NA,"Marcos Sobral","Sobral 5581",NA,NA,"South America","Brazil","Rio Grande do Sul",NA,"Agudo. Cerro Agudo","-53.28333","-29.63333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-03-29 10:41:16-03","UFSM","HDCF","6499","S","Plantae","Bromeliaceae","Dyckia","agudensis","Dyckia agudensis","Irgang & Sobral","Büneker, H. M.",NA,NA,"Pontes, R.; Witeck, L.",NA,"2012","10","América","Brasil","Rio Grande do Sul","Agudo","Cerro da igreja","-53.2400016784668","-29.645299911499",NA,NA,"Cultivada no Jardim Botânico do Colégio Politécnico da UFSM",NA,NA,"10","22416","auto",NA,NA,NA,NA
"4","2019-03-29 10:41:16-03","UFSM","HDCF","7279","S","Plantae","Bromeliaceae","Dyckia","agudensis","Dyckia agudensis","Irgang & Sobral","Büneker, H. M.","2016",NA,"Pontes, R. C.; Witeck, L.",NA,"2013","10","América","Brasil","Rio Grande do Sul","Agudo","Cerro Agudo","-53.2400016784668","-29.645299911499",NA,NA,"Localidade tipo da espécie",NA,NA,"16","22416","auto","02","11",NA,NA
"5","2019-03-29 10:41:16-03","UFSM","HDCF","6585","S","Plantae","Bromeliaceae","Dyckia","agudensis","Dyckia agudensis","Irgang & Sobral","Büneker, H. M.","2014",NA,"Witeck, L.; Pontes, R.",NA,"2009",NA,"América","Brasil","Rio Grande do Sul","Agudo","Cerro da Igreja","-53.2400016784668","-29.645299911499",NA,NA,NA,NA,NA,NA,"22416","auto","05","16",NA,NA
"6","2020-08-20 20:41:00-03","UFSC","FLOR","25996","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","agudensis","Dyckia agudensis","Irgang & Sobral","Irgang, B.E.; Sobral, M.","1987","Paratypus","Sobral, M.; Balbueno, R.A. & Grabauska, C.","4523","1987","10",NA,"Brasil","Rio Grande do Sul","Agudo","Cerro Agudo.","-53.2400016784668","-29.645299911499",NA,NA,"erva, flor amarela. PARATYPUS - ver Napaea 3:5.1987.","FLOR0025996",NA,"01","22416","auto",NA,NA,"Poales",NA
"7","2021-02-08 12:50:44-03","UFRGS","ICN","066970","S","Plantae","Bromeliaceae","Dyckia","agudensis","Dyckia agudensis","Irgang & Sobral","Irgang, BE; Sobral, M",NA,"Paratypus","Sobral, M; et al.","4324","1985","09","América do Sul","Brasil","RS","Cerro Agudo","Agudo",NA,NA,NA,NA,"V. Napaea 3: 5. 1987. Espécie ameaçada de extinção (Em perigo).; Erva. Flores amarelas.; sobre paredões no topo do cerro.","ICN00000143","ICN00000143 ICN00000143_1",NA,NA,NA,NA,NA,NA,"Monocotyledon"
"8","2021-02-08 12:50:44-03","UFRGS","ICN","068458","S","Plantae","Bromeliaceae","Dyckia","agudensis","Dyckia agudensis","Irgang & Sobral","Irgang, BE; Sobral, M","1987","Holotypus","Sobral, M; Balbueno, R; Grabauska, C","5581","1987","10","América do Sul","Brasil","RS","Cerro Agudo","Agudo 29°38' S 53°17' W","-53.283333","-29.633333","-53.283333","-29.633333","V. Napaea 3: 5. 1987. Espécie ameaçada de extinção (Em perigo).; Erva. Flores amarelas.; no topo do Cerro Agudo, em afloramento de basalto.","ICN00000139","ICN00000139 ICN00000139_1",NA,NA,NA,NA,NA,NA,"Monocotyledon"
"9","2021-02-08 12:50:44-03","UFRGS","ICN","068460","S","Plantae","Bromeliaceae","Dyckia","agudensis","Dyckia agudensis","Irgang & Sobral","Irgang, BE; Sobral, M",NA,"Paratypus","Sobral, M; Grabauska, C","4524","1986","12","América do Sul","Brasil","RS","Cerro Agudo","Agudo 29°38' S 53°17' W","-53.283333","-29.633333","-53.283333","-29.633333","Espécie ameaçada de extinção (Em perigo).; Erva. Frutos imaturos e maduros.; em afloramento basáltico no topo do cerro.","ICN00000140","ICN00000140 ICN00000140_1",NA,NA,NA,NA,NA,NA,"Monocotyledon"
"10","2021-02-08 12:50:44-03","UFRGS","ICN","068459","S","Plantae","Bromeliaceae","Dyckia","agudensis","Dyckia agudensis","Irgang & Sobral","Irgang, BE; Sobral, M",NA,"Paratypus","Sobral, M; Grabauska, C","4523","1986","12","América do Sul","Brasil","RS","Cerro Agudo","Agudo 29°38' S 53°17' W","-53.283333","-29.633333","-53.283333","-29.633333","V. Napaea 3: 5. 1987. Espécie ameaçada de extinção (Em perigo).; Erva. Flores amarelas.; em afloramento basáltico no topo do Cerro Agudo. V. Napaea 3: 5. 1987.","ICN00000141","ICN00000141 ICN00000141_1",NA,NA,NA,NA,NA,NA,"Monocotyledon"
