"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","minimumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","297971","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Aspidosperma","inundatum","Aspidosperma inundatum","Ducke","isotype","W. A. Ducke","15814","1918","08","13","South America","Brazil","Pará","Jurupá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=183450' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297971","NY00297971_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:33:57-03","EAO","IAN","36848","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Apocynaceae","Aspidosperma","inundatum","Aspidosperma inundatum","Ducke",NA,"Black, GA","2946","1948","07","19","Southern America","Brasil","Pará","Antônio Lemos, Igarapé Pixuna beira do rio Tajapurú.",NA,"Árvore pequena, flor branca, cheirosa com latex, flor muito perfumada.","IAN036848","IAN036848 IAN036848_e","Ducke, A","1949","05","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:16:43-03","NBC","NL-BOTANY","U 0000476","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Aspidosperma","inundatum","Aspidosperma inundatum","Ducke","isotype","Ducke A",NA,"1918","08","13","Southern America","Brazil","Pará","Gurupá (civ. Pará)",NA,"silva ab Amazonumfluvio inundata<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200000476 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0000476","NL-U0000476",NA,NA,NA,NA,"Magnoliopsidae","63590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:16:43-03","NBC","NL-BOTANY","U.1079593","PreservedSpecimen","Plantae",NA,"Gentianales","Apocynaceae","Aspidosperma","inundatum","Aspidosperma inundatum","Ducke",NA,"Ducke A",NA,"1927","09","09","Southern America","Brazil",NA,"Ad Orientene lacus Salgado (Prope flumen Trombetas infer., Pará), silva.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1079593 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1079593","NL-U1079593",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:20:37-03","MN","R","55232","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","inundatum","Aspidosperma inundatum","Ducke",NA,"Ducke, W.A.","2094","1944","04","16",NA,"Brasil","Amazonas",NA,NA,NA,NA,NA,"Marcondes-Ferreira, W.","1988","10",NA,NA,NA,"São Paulo de Olivença","-68.8724975585938","-3.37832999229431","362329","auto",NA,NA,NA,NA,NA
"6","2021-03-01 16:21:37-03","UNICAMP","UEC","181952","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Aspidosperma","inundatum","Aspidosperma inundatum","Ducke",NA,"Roosmalen, MGM van; Amaral, IL; Mattos, FAR; Santos, JL; Oliveira, JG","207145","1999","08","16",NA,"Brazil","Amazonas",NA,NA,"Árvore de 12m de altura, com aproximadamente 15cm de diâmetro. Látex branco, botões florais de pedúnculo marrom; com sépala verde amarronzada e pétala amarela. Flor de pedúnculo branco amarrozado e pétala branca internamente, extername","UEC029686","UEC029686","Pereira, AS de S","2018","12",NA,NA,NA,"Santa Isabel do Rio Negro","-65","-0.4",NA,NA,"-65","-0.4",NA,NA,NA
"7","2021-03-01 16:21:37-03","UNICAMP","UEC","199126","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Aspidosperma","inundatum","Aspidosperma inundatum","Ducke",NA,"Roosmalen, MGM van; Amaral, IL; Mattos, FDA; Santos, JL; Oliveira, JG","1069","1999","08","16",NA,"Brazil","Amazonas","Brasil, Amazonas, Santa Isabel do Rio Negro.",NA,"Árvore de 12m de altura, com aproximadamente 15cm de diâmetro.Látex branco;Botões florais de pedúnculo marrom;com sépala verde amarronzada e pétala amarela.Flor de pedúnculo branco amarronzado e pétala branca internamente, externamen","UEC166353","UEC166353","Pereira, AS de S","2018","10",NA,NA,NA,"Santa Isabel do Rio Negro","-65","-0.4",NA,NA,"-65","-0.4",NA,NA,NA
"8","2013-04-01 09:15:05-03","IPT","BCTW","6491","S","Plantae","Magnoliophyta",NA,NA,"Aspidosperma","inundatum","Aspidosperma inundatum","Ducke",NA,NA,NA,NA,NA,NA,NA,"Brasil","Pará",NA,NA,NA,NA,NA,"IPT",NA,NA,NA,"Magnoliopsida",NA,"Belém","-48.5044","-1.45583","48462","auto",NA,NA,NA,NA,NA
"9","2013-04-01 09:15:05-03","IPT","BCTW","4755","S","Plantae","Magnoliophyta",NA,NA,"Aspidosperma","inundatum","Aspidosperma inundatum","Ducke",NA,NA,NA,NA,NA,NA,NA,"Brasil","Pará",NA,NA,NA,NA,NA,"IPT",NA,NA,NA,"Magnoliopsida",NA,"Santarém","-54.7083","-2.44306","205258","auto",NA,NA,NA,NA,NA
"10","2015-09-25 06:58:14-03","MNHN","RECOLNAT_MNHN_P","P00645103","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Aspidosperma","inundatum","Aspidosperma inundatum","Ducke","type","Ducke, A.",NA,"1918","8","13",NA,"Brésil",NA,"Gurupa, état de Para","hb","reçu le 2 mai 1923 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00645103' target='other'> <mi>dwc_moreinfo</mi></a>","P00645103","P00645103_01","Woodson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17195",NA,NA
