"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","typeStatus","continentOcean","locality","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","infraspecificEpithet","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:32-03","UNESC","CRI","10212","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","elegans","Leptolobium elegans","Vogel","M. G. Caxambu","2011","12","19","M. G. Caxambu; et al.","3648","2011","11","03","Brasil","Paraná","Tuneiras do Oeste","-52.754722","-23.913611","52º45'17''W","23º54'49''S","512","512","Savana Habito: arvoreta","CRI003035","CRI003035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:19-03","E","E","296823","PreservedSpecimen","Plantae","Leguminosae","Acosmium","elegans","Acosmium elegans",NA,NA,NA,NA,NA,"Sellow, Friedrich",NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00296823 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00296823",NA,"isotype","E. Tropical South America","Brasilia","herbarium specimen of unspecif","BGBASE:317326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:19-03","E","E","296824","PreservedSpecimen","Plantae","Leguminosae","Acosmium","elegans","Acosmium elegans",NA,NA,NA,NA,NA,"Sellow, Friedrich",NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00296824 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00296824",NA,"isotype","E. Tropical South America","Brasilia","herbarium specimen of unspecif","BGBASE:317316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:19-03","E","E","82206","PreservedSpecimen","Plantae","Leguminosae","Acosmium","subelegans","Acosmium subelegans",NA,NA,NA,NA,NA,"Hatschbach, G., Pott, A.& V. & Barbosa, E.","63471","1995","10","18","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00082206 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00082206",NA,NA,"E. Tropical South America",NA,"herbarium specimen of unspecif","BGBASE:90993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:40:19-03","E","E","40246","PreservedSpecimen","Plantae","Leguminosae","Acosmium","subelegans","Acosmium subelegans",NA,NA,NA,NA,NA,"Bridgewater, S. & Filho, J.F.",NA,"1996","10","25","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00040246 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00040246",NA,NA,"E. Tropical South America",NA,"herbarium specimen of unspecif","BGBASE:48624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2423358","PreservedSpecimen","Plantae","Fabaceae","Acosmium","subelegans","Acosmium subelegans","(Mohlenbr.) Yakovlev",NA,NA,NA,NA,"E. M. Saddi","545","2011","11","13","Brazil","Minas Gerais","Itatiaiuçu","-44.4683","-20.2083",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2695720' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423358","NY02423358_01",NA,"South America","Parcela P7 dos estudos para o EIA do Complexo Serra Azul","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-11-02 13:28:00-02","NY","NYBG","1040181","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","elegans","Leptolobium elegans",NA,"R. Schütz Rodrigues",NA,NA,NA,"H. de F. Leitão Filho","1542","1975","10","29","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502831' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040181","NY01040181_01",NA,"South America","Porto Ferreira.","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-11-02 13:27:00-02","NY","NYBG","1040163","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","elegans","Leptolobium elegans",NA,"R. Schütz Rodrigues",NA,NA,NA,"P. E. Gibbs","3544","1976","11","16","Brazil","São Paulo",NA,"-47.164784","-22.242395",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502751' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040163","NY01040163_01",NA,"South America","25 km NW de Mogi-Guaçú. Estação Experimental de Mogi-Guaçú (Fazenda Campininha)","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1040132","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","elegans","Leptolobium elegans","Vogel","R. Schütz Rodrigues",NA,NA,NA,"G. G. Hatschbach","33156","1973","11","13","Brazil","Mato Grosso do Sul","Rio Verde de Mato Grosso","-54.8442","-18.9183",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502656' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040132","NY01040132_01",NA,"South America","Rod. Br 163.","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-11-02 13:25:00-02","NY","NYBG","1040141","PreservedSpecimen","Plantae","Fabaceae","Leptolobium","elegans","Leptolobium elegans",NA,"R. Schütz Rodrigues",NA,NA,NA,"J. M. Silva","1827","1996","12","13","Brazil","Paraná","Tibagi","-50.4133","-24.5094",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1502682' target='other'> <mi>dwc_moreinfo</mi></a>","NY01040141","NY01040141_01",NA,"South America","Canyon Guartelá","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA
