"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","493820","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Hebanthe","pulverulenta","Hebanthe pulverulenta","Mart.","M. H. Nee","G. Jönsson","837a","1914","08","23","South America","Brazil","Paraná","Ipiranga","Desvio Ypiranga","-50.5842","-25.0242","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415157' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493820","NY00493820_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","493821","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Hebanthe","pulverulenta","Hebanthe pulverulenta","Mart.","M. H. Nee","J. E. Leite","4146","1946","08",NA,"South America","Brazil","Rio de Janeiro","Nova Friburgo",NA,"-42.5308","-22.2819","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415164' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-30 00:24:00-03","NY","NYBG","1033509","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Hebanthe","pulverulenta","Hebanthe pulverulenta",NA,"M. S. Marchioretto","P. von Luetzelburg","6450","1915","09",NA,"South America","Brazil","Rio de Janeiro",NA,"Orgelgebirge, Morro do Retiro.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222156' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033509","NY01033509_01","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","493834","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Hebanthe","pulverulenta","Hebanthe pulverulenta","Mart.","M. H. Nee","Y. E. J. Mexia","5125","1930","09","30","South America","Brazil","Minas Gerais","Viçosa","Fazenda de Cresiuma; road to Fazenda","-42.8817","-20.7542","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415182' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493834","NY00493834_01","675","675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 12:39:00-03","NY","NYBG","493815","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Hebanthe","pulverulenta","Hebanthe pulverulenta",NA,NA,"G. F. J. Pabst","7370","1963","08","04","South America","Brazil","Rio de Janeiro","Teresópolis","Pr. Sub-Sede do Parque Nacional da Serra dos Orgaos","-42.9656","-22.4122","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415167' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493815","NY00493815_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 12:39:00-03","NY","NYBG","493825","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Hebanthe","pulverulenta","Hebanthe pulverulenta",NA,NA,"R. Reitz","9695","1960","07","05","South America","Brazil","Santa Catarina","Blumenau","Morro Spitzkopf","-49.0658","-26.9194","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415171' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493825","NY00493825_01","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","493831","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Hebanthe","pulverulenta","Hebanthe pulverulenta","Mart.","M. H. Nee","R. Reitz","9695","1960","07","05","South America","Brazil","Santa Catarina","Blumenau","Morro Spitzkopf","-49.0658","-26.9194","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415163' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493831","NY00493831_01","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","493818","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Hebanthe","pulverulenta","Hebanthe pulverulenta","Mart.","M. H. Nee","P. K. H. Dusén","14056","1912","04","16","South America","Brazil","Paraná","Ipiranga","Desvio Ypiranga","-50.5842","-25.0242","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415158' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493818","NY00493818_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 12:39:00-03","NY","NYBG","493822","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Hebanthe","pulverulenta","Hebanthe pulverulenta",NA,NA,"A. Castellanos","23383","1962","07","14","South America","Brazil","São Paulo",NA,"Serra da Mantiqueira, entre Itajuba e Guaratingueta",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415170' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493822","NY00493822_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","493835","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Hebanthe","pulverulenta","Hebanthe pulverulenta","Mart.",NA,"G. F. J. Pabst","5186","1959","10","04","South America","Brazil","Rio de Janeiro","Nova Friburgo","Macaé, de Cima. Pr. Friburgo","-42.5308","-22.2819","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415179' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493835","NY00493835_01","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
