"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","typeStatus"
"1","2021-04-05 14:24:50-03","UNESC","CRI","6241","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","microdonta","Ilex microdonta","Reissek","Vanilde Citadini- Zanette","Átila Portal","1997","01","12","Brasil","Santa Catarina","Praia Grande","Borba Canyon Malacara.","-49.950556","-29.197222","49º57'2''W","29º11'50''S","Habito: arbórea","CRI000572","CRI000572",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:18-03","E","E","84448","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","microdonta","Ilex microdonta",NA,NA,"Rambo, B.","1951","02","21","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00084448 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00084448",NA,"50123","E. Tropical South America","herbarium specimen of unspecif","BGBASE:93330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:36:18-03","E","E","83565","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","microdonta","Ilex microdonta",NA,NA,"Kummrow, R. & Cordeiro, J.","1994","01","21","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00083565 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083565",NA,"3368","E. Tropical South America","herbarium specimen of unspecif","BGBASE:92481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","497028","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","microdonta","Ilex microdonta","Reissek","O. Handro","O. Handro","1944","11","22","Brazil","São Paulo","Sao Paulo","Nativa no Jardim Botânico","-46.618358","-23.646109",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=748039' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497028","NY00497028_01","s.n.","South America","sheet",NA,"Magnoliophyta","Aquifoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","497036","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","microdonta","Ilex microdonta","Reissek","G. Edwin","R. Reitz","1960","10","13","Brazil","Santa Catarina","Sao José","Serra da Boa Vista, Sao José","-48.6272","-27.6156",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=748033' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497036","NY00497036_01","10132","South America","sheet",NA,"Magnoliophyta","Aquifoliales","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","497026","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","microdonta","Ilex microdonta","Reissek","O. Handro","O. Handro","1944","11","22","Brazil","São Paulo","Sao Paulo","Sao Paulo, nativa no Jardim Botânico","-46.618358","-23.646109",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=748038' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497026","NY00497026_01","s.n.","South America","sheet",NA,"Magnoliophyta","Aquifoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","497021","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","microdonta","Ilex microdonta","Reissek","E. P. dos Santos","H. M. Fernandes","1997","10","15","Brazil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.58","-25.88",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=748040' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497021","NY00497021_01","56","South America","sheet",NA,"Magnoliophyta","Aquifoliales","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1016811","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","microdonta","Ilex microdonta","Reissek",NA,"J. Cordeiro","1996","10","24","Brazil","Paraná","Quatro Barras","Serra da Baitaca.","-49.0767","-25.3658",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193448' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016811","NY01016811_01","1354","South America","sheet",NA,"Magnoliophyta","Aquifoliales","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","497192","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","microdonta","Ilex microdonta","Reissek","E. Gutierrez","T. J. Killeen","1992","06","06","Bolivia","Santa Cruz","Manuel María Caballero","Entre 15 y 25 km al norte de San Juan de Potrero hacia, Cerro Bravo","-64.25","-17.8",NA,NA,"Muestras preservadas en alcohol <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=748053' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497192",NA,"4086","South America","sheet",NA,"Magnoliophyta","Aquifoliales","2000","2500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","497025","PreservedSpecimen","Plantae","Aquifoliaceae","Ilex","microdonta","Ilex microdonta","Reissek",NA,"E. Friedrichs","1945","11","09","Brazil","Rio Grande do Sul","Montenegro","Montenegro S. Salvador","-51.4608","-29.6886",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=748056' target='other'> <mi>dwc_moreinfo</mi></a>","NY00497025","NY00497025_01","32898","South America","sheet",NA,"Magnoliophyta","Aquifoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
