"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","typeStatus","recordNumber","imagecode","identifiedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:40-03","E","E","124670","PreservedSpecimen","Plantae","Leguminosae","Galactia","marginalis","Galactia marginalis","Gillies, John","Temperate South America","AR","herbarium specimen of unspecif","BGBASE:131756","<a href=http://data.rbge.org.uk/herb/E00124670 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00124670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","8128","PreservedSpecimen","Plantae","Fabaceae","Galactia","marginalis","Galactia marginalis longepedunculata","E. Hassler","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589819' target='other'> <mi>dwc_moreinfo</mi></a>","NY00008128","Magnoliophyta","Fabales","longepedunculata","Hassl.","syntype","4944","NY00008128_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01055378","PreservedSpecimen","Plantae","Fabaceae","Galactia","marginalis","Galactia marginalis","A. C. Allem","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141153' target='other'> <mi>dwc_moreinfo</mi></a>","NY01055378","Magnoliophyta","Fabales",NA,"Benth.",NA,"2471","NY01055378_01","R. C. Barneby","1978","11","07","Mato Grosso do Sul","Corumbá","Morro do Urucum","-57.6531","-19.0094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:41:24-03","EAO","IAN","93082","PreservedSpecimen","Plantae","Leguminosae-Pap.","Cologania","heterophylla","Cologania heterophylla","sc",NA,NA,NA,NA,NA,"IAN093082","Dicotiledônea",NA,NA,"Gillies",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-08 17:41:24-03","EAO","IAN","93082","PreservedSpecimen","Plantae","Leguminosae-Pap.","Cologania","heterophylla","Cologania heterophylla","sc",NA,NA,NA,NA,NA,"IAN093082","Dicotiledônea",NA,NA,"Gillies",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:13:06-03","NBC","NL-BOTANY","L.1946848","PreservedSpecimen","Plantae","Leguminosae-Pap.","Galactia","marginalis","Galactia marginalis","Pedersen TM","Southern America","Uruguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1946848 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1946848",NA,"Fabales",NA,"Benth.",NA,NA,"NL-L1946848",NA,"1977","01","21",NA,NA,"Estancia 'Cerros de San Juan', Dep. Colonia.",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:13:06-03","NBC","NL-BOTANY","L.1946849","PreservedSpecimen","Plantae","Leguminosae-Pap.","Galactia","marginalis","Galactia marginalis","Pedersen TM","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1946849 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1946849",NA,"Fabales",NA,"Benth.",NA,NA,"NL-L1946849",NA,"1976","11","12",NA,NA,"Rio Grande do Sul, mun. BajéP: BR 153 km 104-05, a little S of the Arroio das Trairas.",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:13:06-03","NBC","NL-BOTANY","U.1301931","PreservedSpecimen","Plantae","Leguminosae-Pap.","Galactia","marginalis","Galactia marginalis","Lindeman JC","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1301931 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1301931",NA,"Fabales",NA,"Benth.",NA,NA,"NL-U1301931",NA,"1981","01","06",NA,NA,"Rio Grand do Sul, Embrapa - UEPAE, former Faz. 5 Cruzes, 10 km SE of Bage. grazed natural campo.",NA,NA,"Magnoliopsidae","U 0189712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:13:06-03","NBC","NL-BOTANY","U.1301940","PreservedSpecimen","Plantae","Leguminosae-Pap.","Galactia","marginalis","Galactia marginalis","Mimura I","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1301940 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1301940",NA,"Fabales",NA,"Benth.",NA,NA,"NL-U1301940",NA,"1961","11","24",NA,NA,"ESTADO DE SAO PAULO. Municipio de São José dos Campos: uma área disjuntiva de cerrado, de várias centenas de km², rodeada antigamente por mata. Ca. 7.2 km SSE em linha reta da praça principal de SÃO JOSÉ DOS CAMPOS.",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-19 10:23:45-03","CPAP","CPAP","11788","PreserverdSpecimen","Plantae","Fabaceae","Galactia","marginalis","Galactia marginalis","Pott, A.",NA,"Brasil",NA,NA,"Erva ereta com xilopódio. FLOR: . FRUTO: . INTERESSE: Forrageira. FREQUÊNCIA: Esparsa. AMBIENTE: Campo natural. SUBSTRATO: solo argilo-arenoso. RELEVO: suave ondulado/ondulado.",NA,NA,NA,NA,"Benth.",NA,"6595",NA,NA,"1993","12","01","RS","Porto Alegre","Estação Experimental Agronômica (UFRGS)","-51.221944","-30.031389",NA,NA,"51°13'19'' W","30°01'53'' S","50","50",NA,NA,NA,NA,NA,NA,NA,NA
