"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1026957","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","gracilipes","Croton gracilipes","Baill.","R. Riina","H. S. Irwin","24435","1969","03","15","South America","Brazil","Goiás","Cavalcante","Ca. 40 km north of Veadeiros. Chapada dos Veadeiros.","-47.51669","-13.75517","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131350' target='other'> <mi>dwc_moreinfo</mi></a>","NY01026957","NY01026957_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","782078","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","gracilipes","Croton gracilipes","Baill.","M. H. Nee","M. H. Nee","47950","1998","01","14","South America","Bolivia","Santa Cruz","Andrés Ibáñez","Along Brecha 5, 1 km E of highway from Santa Cruz to Abapó (at km 38).","-63.18","-18.07","465","465","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636250' target='other'> <mi>dwc_moreinfo</mi></a>","NY00782078",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1026961","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","gracilipes","Croton gracilipes","Baill.","G. L. Webster","W. R. Anderson","7316","1973","03","17","South America","Brazil","Goiás","Teresina de Goiás","7 km by road S of Terezina.","-47.26469","-13.8397","1080","1080","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131371' target='other'> <mi>dwc_moreinfo</mi></a>","NY01026961","NY01026961_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1026959","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","gracilipes","Croton gracilipes","Baill.","Kew Herbarium","H. S. Irwin","10337","1965","11","16","South America","Brazil","Goiás","Cabeceiras","Serra do Rio Preto, ca. 14 km E. of Cabeceiras","-46.85263","-15.8","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131369' target='other'> <mi>dwc_moreinfo</mi></a>","NY01026959","NY01026959_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1026958","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","gracilipes","Croton gracilipes","Baill.","R. Riina","H. S. Irwin","27312","1970","03","10","South America","Brazil","Minas Gerais",NA,"Ca. 3 km E. of Cantoni","-44.13","-17.57","610","610","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131364' target='other'> <mi>dwc_moreinfo</mi></a>","NY01026958","NY01026958_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","782069","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","gracilipes","Croton gracilipes","Baill.","M. H. Nee","M. H. Nee","47057","1996","08","25","South America","Bolivia","Santa Cruz","Andrés Ibáñez","Vic. Estancia Maguey, 7 km NNW of Ayacucho [=Porongo] on road to Terevinto, 17 km (by air) west of center of Santa Cruz","-63.3417","-17.8","475","475","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636246' target='other'> <mi>dwc_moreinfo</mi></a>","NY00782069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02852215","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","gracilipes","Croton gracilipes","Baill.","A. F. Fuentes","L. J. Dorr","6845","1989","12","27","South America","Bolivia","La Paz","Inquisivi","Below Cajuata, near Puente Alegre on the Rio Suri","-67.25","-16.82",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3135542' target='other'> <mi>dwc_moreinfo</mi></a>","NY02852215","NY02852215_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","782071","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","gracilipes","Croton gracilipes","Baill.","M. H. Nee","M. H. Nee","47412","1997","12","21","South America","Bolivia","Santa Cruz","Ignacio Warnes","23 km from RR crossing on SE side of Warnes, on road NE to Okinawa, 2 km N of Monte Cristo, 7.5 km S of La Esperanza.","-63.0417","-17.35","280","280","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=636247' target='other'> <mi>dwc_moreinfo</mi></a>","NY00782071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1183725","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","gracilipes","Croton gracilipes","Baill.","S. F. Smith","A. Macedo","5884","2005","02","08","South America","Brazil","Minas Gerais","Ituiutaba","Bairro Tupa.","-49.465","-18.9689",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452673' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183725","NY01183725_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01301853","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","gracilipes","Croton gracilipes","Baill.","J. A. Kallunki","T. C. Plowman","9015","1980","02","20","South America","Brazil","Pará","Conceição do Araguaia","Redenção. Área of cerrado vegetation about 4 Km west of town center along highway PA-150","-50.066667","-8.033333","200","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1326158' target='other'> <mi>dwc_moreinfo</mi></a>","NY01301853","NY01301853_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
