"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","geoFlag","monthIdentified","dayIdentified","typeStatus","verbatimLongitude","verbatimLatitude","previousCatalogNumber","locality"
"1","2020-12-21 16:14:02-03","MBM","MBM","5310","PreservedSpecimen","Plantae","Asteraceae","Aldama","paranensis","Aldama paranensis","(Malme) Magenta & Pirani","Magenta, M.","2006","Maack, R.","s.n.","1946","11","28","Southern America","Brazil","Paraná","Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","850","850","Estação de trigo. Campo limpo.","MBM005310","MBM005310","auto",NA,NA,NA,NA,NA,NA,NA
"2","2016-08-23 10:58:55-03","NHMLondon","NHM-LONDON-BOT","BM000799732","S","Plantae","Asteraceae","Viguiera","paranensis","Viguiera paranensis","(Huber) Santos","João Ubiratan Moreira dos Santos; b.1949; J.U.M.Santos","1991","Per Karl Hjalmar Dusén; b.1855; d.1926; Dusén","15646","1914","10","19",NA,"Brasil","Paraná",NA,"-51.351336","-24.611486",NA,NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/8dd797b6fbc31d7825c7a528044120af23184976/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"01","26","Isotype","-51.351336","-24.611486","NHMUK:ecatalogue:4992078",NA
"3","2020-03-16 13:43:56-03","UFU","HUFU","78637","S","Plantae","Asteraceae","Aldama","paranensis","Aldama paranensis","(Malme) Magenta & Pirani","Nakajima, J.N.","2019","Romagnolo, M.B.","3869","2018","10","20",NA,"Brasil","Paraná","Ponta Grossa","-49.9925","-25.246667",NA,NA,NA,"Arbustiv, cerca de 60 cm de altura; inflourescência de coloração lilás.","HUFU00075870",NA,NA,NA,NA,NA,"-49.9925","-25.246667",NA,"Parque Estadual de Vila Velha, Trilha para as piscinas."
"4","2019-05-06 11:52:26-03","UFU","HUFU","64544","S","Plantae","Asteraceae","Aldama","paranensis","Aldama paranensis","(Malme) Magenta & Pirani","Bueno","2016","Versiane, A.F.A.; Pacheco, R.A. & Dias, A.C.C.","290","2012","10","03",NA,"Brasil","Goiás","Cocalzinho de Goiás","-48.963889","-15.717778",NA,"987","987","Subarbusto, ca. 0,3 m alt. Brácteas involucrais verdes, corola e ramos do estilete amarelos, anteras negras.; Cerrado.","HUFU00042286","HUFU00042286",NA,"04",NA,NA,"-48.963889","-15.717778",NA,"Trilha para o Salto do Corumbá"
