"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","relationshipType","relatedCatalogItem","class","fieldNumber","typeStatus","individualCount"
"1","2021-04-05 14:25:10-03","UNESC","CRI","3150","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","Harling","Jorge Luiz Waechter","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","1602","1993","05","18","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI002106","CRI002106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:10-03","UNESC","CRI","9052","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","Harling","T. J. Cadorin","T.J. Cadorin; C.P.L. Oliveira & E. Boing","1762","2010","03","30","Brasil","Santa Catarina","Biguaçu","Amâncio.","-48.78","-27.36","48º46'48''W","27º21'36''S","440","440","CRI002105","CRI002105","3010","03","30","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: liana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:10-03","UNESC","CRI","11295","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","Harling","A. Korte","A. Korte; A. Kniess","3248","2010","05","14","Brasil","Santa Catarina","Indaial","Warnow Alto.","-49.230833","-27","49º13'51''W","27º0'0''S","357","357","CRI002104","CRI002104","2010","05","28","Floresta Ombrófila Densa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1281773","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","brachypus","Asplundia brachypus","(Drude) Harling","J. P. P. Carauta","J. P. P. Carauta","2751","1979","03","28","Brazil","Rio de Janeiro","Rio de Janeiro","Vista de Chinesa km 2, Alto da Boa Vista.","-43.272486","-22.971682",NA,NA,"370",NA,"NY01281773","NY01281773_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1742234' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Pandanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","413610","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","glaucophylla","Asplundia glaucophylla","Harling","G. W. Harling","P. K. H. Dusén","11968","1911","07","21","Brazil","Paraná","Lapa","Volta Grande","-49.7156","-25.7697",NA,NA,NA,NA,"NY00413610","NY00413610_01",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=132406' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Pandanales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:29:58-03","UFRJ","RFA","42971","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera","(Hand.-Mazz.) Harling","Bernardo Nunes da Silva","A. Oriani; J.I.N. Miachir; M.L.S. Carvalho; M.R.A. Muniz; V. Korman; V.C. Souza; R.R. Rodrigues; N.M. Ivanauskas; R.G. Udulutsch; T. Breier","526","2005","03","23","Brasil","São Paulo","Eldorado","Parque estadual de Jacupiranga, Núcleo Caverna do Diabo. Trilha do Bugio","-48.400278","-24.6525","48º24'1''W","24º39'9''S","400","400","RFA40787",NA,"2011","06","16","Hemiepífitas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:19:31-03","UFRJ","RFA","42991","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera reitzii","Harling","P. R. Reitz","Klein, Souza Sob.; Bresolin","6.769","1966","06","22","Brasil","Santa Catarina","Florianópolis","Ilha de Santa Catarina. Morro Costa da Lagoa.","-48.5491981506348","-27.596700668335",NA,NA,"300","300","RFA41460",NA,"1967",NA,NA,"Fruto imaturo verde.",NA,NA,NA,NA,"reitzii","27000","auto",NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:29:58-03","UFRJ","RFA","42990","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera reitzii","Harling","R. M. Klein","R. M. Klein","9587","1971","06","27","Brasil","Santa Catarina","Governador Celso Ramos","Jordão.","-48.5592002868652","-27.3146991729736",NA,NA,"200","200","RFA41461",NA,"1971",NA,NA,"Fruto imaturo verde.",NA,NA,NA,NA,"reitzii","13751","auto",NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:19:31-03","UFRJ","RFA","42991","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera reitzii","Harling","P. R. Reitz","Klein, Souza Sob.; Bresolin","6.769","1966","06","22","Brasil","Santa Catarina","Florianópolis","Ilha de Santa Catarina. Morro Costa da Lagoa.","-48.5491981506348","-27.596700668335",NA,NA,"300","300","RFA41460",NA,"1967",NA,NA,"Fruto imaturo verde.",NA,NA,NA,NA,"reitzii","27000","auto",NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:29:58-03","UFRJ","RFA","42990","PreservedSpecimen","Plantae","Cyclanthaceae","Asplundia","polymera","Asplundia polymera reitzii","Harling","R. M. Klein","R. M. Klein","9587","1971","06","27","Brasil","Santa Catarina","Governador Celso Ramos","Jordão.","-48.5592002868652","-27.3146991729736",NA,NA,"200","200","RFA41461",NA,"1971",NA,NA,"Fruto imaturo verde.",NA,NA,NA,NA,"reitzii","13751","auto",NA,NA,NA,NA,NA,NA
