"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:26:06-03","UNESC","CRI","7677","PreservedSpecimen","Plantae","Sapindaceae","Matayba","juglandifolia","Matayba juglandifolia","(Cambess.) Radlk.","Vanilde Citadini- Zanette","2008","10","31","Jean Gabriel Cemin","2008","10","30","Brasil","Santa Catarina","Turvo","-49.682222","-28.926667","49º40'56''W","28º55'36''S","9","9","CRI007336","CRI007336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","687379","PreservedSpecimen","Plantae","Sapindaceae","Matayba","juglandifolia","Matayba juglandifolia","(Cambess.) Radlk.","M. Sugiyama",NA,NA,NA,"M. Sugiyama","1992","09","24","Brazil","São Paulo","Sao Miguel Arcanjo","-47.99","-23.8703",NA,NA,NA,NA,"NY00687379","NY00687379_01","Magnoliophyta","Sapindales","1038","South America","Pq. E. C. Botelho.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=874417' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","448329","PreservedSpecimen","Plantae","Sapindaceae","Matayba","juglandifolia","Matayba juglandifolia","(Cambess.) Radlk.","P. Acevedo-Rodríguez",NA,NA,NA,"S. A. Mori","1978","11","21","Brazil","Bahia","Vitória da Conquista","-40.8392","-14.8661",NA,NA,"900","900","NY00448329","NY00448329_01","Magnoliophyta","Sapindales","11279","South America","Rod. BA-265, trecho Vit. da Conquista/Barra do Choça, 9 km a leste da 1a. Folha SD-24 (15-41b).","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365542' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","777001","PreservedSpecimen","Plantae","Sapindaceae","Matayba","juglandifolia","Matayba juglandifolia","(Cambess.) Radlk.","G. V. Somner",NA,NA,NA,"M. Kuhlmann","1950","09","26","Brazil","São Paulo","Igaratá","-46.15","-23.2003",NA,NA,NA,NA,"NY00777001","NY00777001_01","Magnoliophyta","Sapindales","2544","South America","Santa Izabel. Mata do Sr. Joao Barbosa Machado","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365540' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","03044770","PreservedSpecimen","Plantae","Sapindaceae","Matayba","juglandifolia","Matayba juglandifolia","(Cambess.) Radlk.",NA,NA,NA,NA,"E. M. Saddi","2011","11","18","Brazil","Minas Gerais","Itatiaiuçu","-44.4641667","-20.2072222",NA,NA,NA,NA,"NY03044770","NY03044770_01","Magnoliophyta","Sapindales","575","South America","Parcela P14 dos estudos para o EIA do Complexo Serra Azul.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3281604' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","448333","PreservedSpecimen","Plantae","Sapindaceae","Matayba","juglandifolia","Matayba juglandifolia","(Cambess.) Radlk.",NA,NA,NA,NA,"A. F. M. Glaziou",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"NY00448333","NY00448333_01","Magnoliophyta","Sapindales","11827","South America",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365546' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"7","2016-09-30 18:56:00-03","NY","NYBG","719864","PreservedSpecimen","Plantae","Sapindaceae","Matayba","juglandifolia","Matayba juglandifolia",NA,NA,NA,NA,NA,"R. J. Almeida-Scabbia","2007","10","17","Brazil","São Paulo","Santo André","-46.465739","-23.760325",NA,NA,NA,NA,"NY00719864","NY00719864_01","Magnoliophyta","Sapindales","5036","South America","Suborefeitura de Paranapiacaba e Parque Andreense, Uniflor","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2523699' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","821538","PreservedSpecimen","Plantae","Sapindaceae","Matayba","juglandifolia","Matayba juglandifolia","(Cambess.) Radlk.","J. R. Pirani",NA,NA,NA,"E. de Melo","1998","11","14","Brazil","São Paulo","Ubatuba","-44.8361111","-23.3713889",NA,NA,NA,NA,"NY00821538","NY00821538_01","Magnoliophyta","Sapindales","2562","South America","Vila Picinguaba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=898235' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","448334","PreservedSpecimen","Plantae","Sapindaceae","Matayba","juglandifolia","Matayba juglandifolia","(Cambess.) Radlk.",NA,NA,NA,NA,"A. F. M. Glaziou","1880","10","08","Brazil","Rio de Janeiro","Nova Friburgo","-42.5308","-22.2819",NA,NA,NA,NA,"NY00448334","NY00448334_01","Magnoliophyta","Sapindales","11827","South America","Nova Friburgo.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365547' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","448332","PreservedSpecimen","Plantae","Sapindaceae","Matayba","juglandifolia","Matayba juglandifolia","(Cambess.) Radlk.",NA,NA,NA,NA,"A. F. M. Glaziou","1873","10","08","Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075","-22.9031",NA,NA,NA,NA,"NY00448332","NY00448332_01","Magnoliophyta","Sapindales","6709","South America","Serra de Jacarepaquá, on Morro de Tijuca.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365545' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
