"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","class","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","138097","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke","holotype","G. M. Magalhaes","2629","1942","11","17","South America","Brazil","Minas Gerais","Jaboticatubas","Serra da Ponte de Pedra","-43.7447","-19.5136","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=760210' target='other'> <mi>dwc_moreinfo</mi></a>","NY00138097","NY00138097_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00956650","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"H. L. de M. Barreto","3258","1932","08","18","South America","Brazil","Minas Gerais","Belo Horizonte","Serra do Taquaril.","-43.9378","-19.9208","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1076069' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956650","NY00956650_01","H. N. Moldenke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00956651","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"H. L. de M. Barreto","6620","1933","08","24","South America","Brazil","Minas Gerais","Santa Luzia","Serra do Cipó k. 128 - Palacio","-43.8514","-19.7697","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1076070' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956651","NY00956651_01","H. N. Moldenke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00956649","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"G. G. Hatschbach","29961","1972","04","06","South America","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó","-43.539757","-19.388386","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1076068' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956649","NY00956649_01","H. N. Moldenke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 14:48:45-03","UFJF","CESJ","2400","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"L. Roth","s.n.","1955","09","06","América do Sul","Brasil","Minas Gerais","Belo Horizonte","Serra do Curral","-43.937801361084","-19.9207992553711",NA,"Erva rasteira no solo pedregoso (cascaljo, quartzo). Fl. brancas.","CESJ002400",NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-11-21 14:48:45-03","UFJF","CESJ","42976","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"F.M. Ferreira","739","2004","09","16","América do Sul","Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,"Arbusto escandente no cerrado.","CESJ042976",NA,"F.R.G. Salimena",NA,NA,"2004","09","16",NA,NA,NA,NA,NA,NA,NA
"7","2019-08-20 10:27:47-03","UNICAMP","UEC","15655","S","Plantae","Magnoliopsida",NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Joly, AB; Semir, J; Ugadim, Y","s.n.","1970","06","05",NA,"Brazil","Minas Gerais","Jaboticatubas","Ao longo da rod. Lagoa Santa - Conceição do Mato Dentro, km 114","-43.7449989318848","-19.513599395752",NA,"flor, Flores branco azuladas, arbusto rasteiro mais ou menos 1 m comprimento.",NA,NA,"Salimena-Pires, FR","31264","auto","1987","08",NA,"1150","1150",NA,NA,NA,NA,NA
"8","2019-08-20 10:27:47-03","UNICAMP","UEC","15654","S","Plantae","Magnoliopsida",NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Joly, AB; Giulietti, AM; Menezes, NL; Windisch, PG","s.n.","1973","10","18",NA,"Brazil","Minas Gerais","Jaboticatubas","Ao longo da rod. Lagoa Santa - Conceição do Mato Dentro, km 120","-43.7449989318848","-19.513599395752",NA,"flor, Erva rasteira com inflores. eretas. Flores alvas.",NA,NA,"Salimena-Pires, FR","31264","auto","1987","08",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-20 10:27:47-03","UNICAMP","UEC","15652","S","Plantae","Magnoliopsida",NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Joly, AB; Semir, J","s.n.","1972","08","22",NA,"Brazil","Minas Gerais","Jaboticatubas","Ao longo da rod. Lagoa Santa Conceição do Mato Dentro, km 120.","-43.7449989318848","-19.513599395752",NA,"flor, Flor roxo azulado bem claro, rasteiro.",NA,NA,"Salimena-Pires, FR","31264","auto","1987","08",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-20 10:27:47-03","UNICAMP","UEC","15651","S","Plantae","Magnoliopsida",NA,"Verbenaceae","Stachytarpheta","procumbens","Stachytarpheta procumbens","Moldenke",NA,"Joly, AB; Semir, J","s.n.","1972","11","03",NA,"Brazil","Minas Gerais","Jaboticatubas","Ao longo da rod. Lagoa Santa - Conceição do Mato Dentro, km 134","-43.7449989318848","-19.513599395752",NA,"flor, Rastejante azul bem claro.",NA,NA,"Salimena-Pires, FR","31264","auto","1987","08",NA,NA,NA,NA,NA,NA,NA,NA
