"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","country","stateProvince","typeStatus","fieldNumber","month","day","locality","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","continentOcean","individualCount","phylum","class","order","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag"
"1","2021-01-14 15:21:15-03","MN","R","138068","PreservedSpecimen","Plantae","Apocynaceae","Macroscepis","magnifica","Macroscepis magnifica","Malme","Fontella, J.P.","1999","Santos, H.","1940","Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-09-25 13:49:52-03","MNHN","RECOLNAT_MNHN_P","P00252575","PreservedSpecimen",NA,"Apocynaceae","Macroscepis","magnifica","Macroscepis magnifica","Malme","Morillo",NA,"Mosen, H.","1873","Brésil",NA,"isotype","1471","12","30","Prov. Sao paulo","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00252575' target='other'> <mi>dwc_moreinfo</mi></a>","P00252575","P00252575_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2011-12-07 17:08:00-02","MO","MOBOT","100434558","PreservedSpecimen","Plantae","Apocynaceae","Macroscepis","magnifica","Macroscepis magnifica","Malme",NA,NA,"C.W.H. Mosen","1873","Brazil","São Paulo","Holotype",NA,"12","30","Serra de Caracol",NA,NA,NA,NA,"Mosén 1471","South America","1",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-04 11:15:27-03","UEFS","HUEFS","85675","PreservedSpecimen","Plantae","Apocynaceae","Macroscepis","magnifica","Macroscepis magnifica","Malme",NA,NA,"Mosén, C.W.H.","1873","Brasil","São Paulo","Holótipo",NA,"12","30","Serra do Caracol.",NA,NA,"HUEFS0085675",NA,"1471",NA,NA,"Angiospermae","Asteranae","Gentianales",NA,NA,NA,NA,NA
"5","2019-11-21 09:58:44-03","IBt","SP","54697","S","Plantae","Apocynaceae","Macroscepis","magnifica","Macroscepis magnifica","Malme","Handro, O",NA,"Macedo, A","1948","Brasil","Minas Gerais",NA,NA,"01","30","Fazenda do Fundão",NA,NA,NA,NA,"1016",NA,NA,NA,NA,NA,"Ituiutaba","-49.4650001525879","-18.968900680542","50022","auto"
"6","2019-11-21 09:58:44-03","IBt","SP","45039","S","Plantae","Apocynaceae","Macroscepis","magnifica","Macroscepis magnifica","Malme","Hoehne, FC",NA,"Amaral, C","1939","Brasil","Minas Gerais",NA,NA,"10","30","Cult. Jardim Botânico, São Paulo. Proc. Vale do Rio Doce, fl. 7/2/1941",NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,"Rio Doce","-42.8958015441895","-20.2446994781494","14517","auto"
