"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","fieldNumber","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","447997","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","furfuracea","Cupania furfuracea","Radlk.","T. D. Pennington","Collector info in notes","82/78","1978","08","10","South America","Brazil","Espírito Santo","Linhares","Reseva Florestal da CVRD. E X2 Km 22845.","-40.0719","-19.3911","sheet","Collector on label is: JS <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=670099' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447997","NY00447997_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1018791","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","furfuracea","Cupania furfuracea","Radlk.",NA,"S. de V. A. Pessôa","982","1999","05","27","South America","Brazil","Rio de Janeiro","Silva Jardim","Reserva Biológica Poço das Antas. Fragmento E. rea FE3b.","-42.2877502","-22.5575863","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262437' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018791","NY01018791_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","447994","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","furfuracea","Cupania furfuracea","Radlk.","T. D. Pennington","J. Spada","82","1978","06","12","South America","Brazil","Espírito Santo","Linhares","Reseva Florestal da CVRD.","-40.0719","-19.3911","sheet","Pollen material from this specimen sent to Leiden, 1991 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=670096' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447994","NY00447994_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","447996","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","furfuracea","Cupania furfuracea","Radlk.","T. D. Pennington","D. A. Folli","10","1978","08","10","South America","Brazil","Espírito Santo","Linhares","Reseva Florestal da CVRD. E213 Km 2303.","-40.0719","-19.3911","sheet","Collector on label is: DAF <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=670098' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447996","NY00447996_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1019468","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","furfuracea","Cupania furfuracea","Radlk.",NA,"S. de V. A. Pessôa","834","1995","09","14","South America","Brazil","Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas, Encosta do morro do rio Preto.","-42.3917","-22.6508","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1282813' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019468","NY01019468_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","447995","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","furfuracea","Cupania furfuracea","Radlk.","T. D. Pennington","D. A. Folli","10","1978","08","10","South America","Brazil","Espírito Santo","Linhares","Reseva Florestal da CVRD. Crecendo na Mussununga.","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=670097' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447995","NY00447995_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","447992","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","furfuracea","Cupania furfuracea","Radlk.",NA,"G. L. Farias","381","1990","09","12","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal da CVRD. Est. Gávea ant. X-2 Km 4.800, lado direito.","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=670100' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447992","NY00447992_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:32:32-03","UFRJ","RFA","15315","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Cupania","furfuracea","Cupania furfuracea","Radlk.","G. V. Somner","P. Occhioni","6138","1974","09","00",NA,"Brasil","Rio de Janeiro","Teresópolis","Serra dos Orgãos","-42.9655990600586","-22.4122009277344",NA,"Arvoreta.","RFA13357",NA,"1999","04","14","38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:32:32-03","UFRJ","RFA","39527","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Cupania","furfuracea","Cupania furfuracea","Radlk.","R. D. Ribeiro","Finotti R.; Caruzo J.","36",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Guapimirim","Antigo assentamento do INCRA","-42.845833","-22.577222",NA,"Arvore de 8 metros de altura e PAP de 17,9 cm.","RFA24485",NA,NA,NA,NA,NA,NA,"42º50'45''W","22º34'38''S","50","50",NA,NA,NA,NA,NA
"10","2020-11-13 09:20:54-03","UFRJ","RFA","27842","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Cupania","furfuracea","Cupania furfuracea","Radlk.","G.V.Sommer","A. Quinet","13","2001","05","17",NA,"Brasil","Rio de Janeiro","Lumiar","Sítio Arco Íris","-42.405556","-22.355278",NA,"Folha de face adaxial verde e abaxial ferrugínea, flor com botões ferrugíneos Habito: Árvore","RFA29405",NA,"2010","04","08",NA,NA,"42º24'20''W","22º21'19''S",NA,NA,NA,NA,NA,NA,NA
"11","2020-06-29 11:32:32-03","UFRJ","RFA","24541","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Cupania","furfuracea","Cupania furfuracea","Radlk.","C.M.Vieira","F.M.de B.Pereira","25","2000","05","22",NA,"Brasil","Rio de Janeiro","Macaé","5º distrito, Fazenda Carreira comprida - Areia Branca","-42.026944","-22.345278",NA,"Folhas verdes, flor amarelada Habito: Árvore","RFA29409",NA,NA,NA,NA,NA,NA,"42º1'37''W","22º20'43''S",NA,NA,NA,NA,NA,NA,NA
"12","2020-06-29 11:32:32-03","UFRJ","RFA","25002","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Cupania","furfuracea","Cupania furfuracea","Radlk.","C.M.Vieira","F.de B. Pereira","59","2000","07","22",NA,"Brasil","Rio de Janeiro","Guapimirim","Fazenda São Francisco de Paula","-42.958611","-22.608611",NA,"Folha verde Habito: Árvore","RFA29408",NA,"2000","08","17",NA,NA,"42º57'31''W","22º36'31''S",NA,NA,NA,NA,NA,NA,NA
"13","2020-06-29 11:32:32-03","UFRJ","RFA","27241","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Cupania","furfuracea","Cupania furfuracea","Radlk.","G.V.Sommer","F.B.Pereira","17","2001","03","18",NA,"Brasil","Rio de Janeiro","Guapimirim","Fazendas consorciadas","-42.91","-22.581667",NA,"Folha verde, flor marrom Habito: Árvore","RFA29404",NA,"2010","04","08",NA,NA,"42º54'36''W","22º34'54''S",NA,NA,NA,NA,NA,NA,NA
"14","2020-11-13 09:20:54-03","UFRJ","RFA","27722","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Cupania","furfuracea","Cupania furfuracea","Radlk.","G.V.Sommer","A. Quinet","61","2001","05","08",NA,"Brasil","Rio de Janeiro","Lumiar","Distrito de Lumiar/Sibéria, Sítio Pouso Certo",NA,NA,NA,"Folha discolor verde, flor com botões florais brancos Habito: Árvore","RFA29406",NA,"2010","04","08",NA,NA,"42º22'84''W","22º20'72''S",NA,NA,NA,NA,NA,NA,NA
"15","2020-11-13 09:20:54-03","UFRJ","RFA","29728","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Cupania","furfuracea","Cupania furfuracea","Radlk.","G.V.Sommer","A. Quinet","4","2001","12","17",NA,"Brasil","Rio de Janeiro","Macaé","8º distrito/Sana, Cabeceira do Sana","-42.168056","-22.2575",NA,"Folha discolor verde, fruto deiscente, semenre vermelha com arilo amarelo. Habito: Árvore","RFA29407",NA,"2010","04","08",NA,NA,"42º10'5''W","22º15'27''S",NA,NA,NA,NA,NA,NA,NA
