"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","year","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:42:10-03","E","E","249214","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana","unspecified kind of","Gillies, John","Temperate South America","AR","Provincia de Mendoza","Cieneja","herbarium specimen of unspecif","BGBASE:263806","<a href=http://data.rbge.org.uk/herb/E00249214 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00249214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","547653","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","fastor","Habenaria fastor",NA,"R. Reitz","South America","Brazil","Santa Catarina",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=164596' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547653","Magnoliophyta","Asparagales","(Warm.) Hoehne","G. F. J. Pabst","12408","1962","02","25","Pôrto Uniao","-51.0781","-26.2383","750","750","NY00547653_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1031794","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","fastor","Habenaria fastor",NA,"H. S. Irwin","South America","Brazil","Distrito Federal","Campo adjacent to Rio Torto, near Sobradinho","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187312' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031794","Magnoliophyta","Asparagales","(Warm.) Hoehne","G. F. J. Pabst","11431","1966","01","07","Brasília","-47.9","-15.72","975","975","NY01031794_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","547652","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","fastor","Habenaria fastor",NA,"A. P. Duarte","South America","Brazil","Minas Gerais","Carandai, km 418 da E.F.C. do Brasil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=164595' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547652","Magnoliophyta","Asparagales","(Warm.) Hoehne","G. F. J. Pabst","6330","1962","02","15","Carandaí","-43.8064","-20.9536",NA,NA,"NY00547652_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","547654","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","fastor","Habenaria fastor",NA,"A. Gehrt","South America","Brazil","São Paulo","Pirajussara","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=164597' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547654","Magnoliophyta","Asparagales","(Warm.) Hoehne","F. C. Hoehne","886","1917","11","02",NA,NA,NA,NA,NA,"NY00547654_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","557665","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","fastor","Habenaria fastor",NA,"T. D. McDowell","South America","Guyana",NA,"Pomeroon-Supenaam Region: To E Demerara Water Conserv, Lama Creek","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=164594' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557665","Magnoliophyta","Asparagales","(Warm.) Hoehne","E. A. Christenson","4152","1991","03","08",NA,"-58","6.67",NA,"12","NY00557665_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-12-15 14:59:00-02","NY","NYBG","687997","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","spegazziniana","Habenaria spegazziniana",NA,"C. L. Spegazzini","South America","Argentina",NA,NA,"photo",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=840777' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687997","Magnoliophyta","Asparagales",NA,NA,"104753","1897",NA,NA,NA,NA,NA,NA,NA,"NY00687997_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","2763","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","gourlieana","Habenaria gourlieana",NA,"Gottsberger, I.S.",NA,"Brasil","Minas Gerais","Divisa entre os municípios de Monte Sião e Ouro Fino, próximo a uma olaria",NA,NA,NA,"BOTU002763",NA,NA,"Gill. ex Lindl.","Amaral Jr., A.","11","1973","01","22","Monte Sião",NA,NA,NA,NA,NA,"1977","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:52:46-03","EAO","IAN","126502","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","fastor","Habenaria fastor",NA,"Irwin, HS; Santos, RR dos","Southern America","Brasil","Distrito Federal","CAmpo adjacent to Rio Torto, near Sobradinho.",NA,NA,"Terrestrial, erect, to 85cm tall. Perianth pale yellow-green. Wet places, locally common.","IAN126502","Monocotiledônea",NA,"(Warm.) Hoehne","Batista, JAN","11431","1966","01","07","Brasilia","-47.9296989440918","-15.7797002792358","975","975",NA,"1998",NA,NA,"09","70570","auto",NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:52:46-03","EAO","IAN","15191","PreservedSpecimen","Plantae","Orchidaceae","Habenaria","fastor","Habenaria fastor",NA,"Oliveira, JE de","Southern America","Brasil","Minas Gerais",NA,NA,NA,"&nf;Flores alvas, herbácea.","IAN015191","Monocotiledônea",NA,"(Warm.) Hoehne","Pabst, GFJ","595","1942","01","21","Belo Horizonte","-43.937801361084","-19.9207992553711",NA,NA,"IAN015191 IAN015191_e IAN015191_e1",NA,NA,NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA
