"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","class","monthIdentified","typeStatus","eventTime","fieldNumber","individualCount","dayIdentified","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1182468","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Thymelaeaceae","Daphnopsis","martii","Daphnopsis martii","Meisn.","L. Rossi","T. C. Plowman","10112","1980","04","21","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Jacarepagua. Vargem Grande. Mata de Lagoa","-43.2075","-22.9031","150","350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1402692' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182468","NY01182468_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1182430","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Thymelaeaceae","Daphnopsis","martii","Daphnopsis martii","Meisn.","L. Rossi","G. H. Langsdorff","s.n.","1813",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1402553' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182430","NY01182430_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1182549","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Thymelaeaceae","Daphnopsis","martii","Daphnopsis martii","Meisn.","L. Rossi","L. Riedel","s.n.","1824",NA,NA,"South America","Brazil",NA,NA,"Serra - Estrella",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1406788' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182549","NY01182549_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1182435","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Thymelaeaceae","Daphnopsis","martii","Daphnopsis martii","Meisn.","L. Rossi","G. Martinelli","3300","1977","10","20","South America","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Orgaos, Rio Beija-Flor","-42.9656","-22.4122","1100","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1402562' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182435","NY01182435_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1181617","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Thymelaeaceae","Daphnopsis","martii","Daphnopsis martii","Meisn.",NA,"Disciplina Princípios e Métodos em Taxonomia Vegetal","277","2003","09","19","South America","Brazil","São Paulo","Brotas","Estação Ecologica de Itirapina.","-47.9239","-22.2161",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1386876' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181617","NY01181617_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02098254","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Thymelaeaceae","Daphnopsis","martii","Daphnopsis martii","Meisn.","B. Ståhl","P. da C. Gadelha Neto","2556","2010","03","23","South America","Brazil","Paraíba","João Pessoa","Jardim Botânico: Trilha do Bambuzal.","-34.8630981445312","-7.11499977111816",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2479068' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098254","NY02098254_01","15975","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:32:46-03","UFRJ","RFA","39671","PreservedSpecimen","Plantae",NA,NA,"Thymelaeaceae","Daphnopsis","martii","Daphnopsis martii","Meisn.","R. Finotti","R. Finotti; J. Caruzo","149",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Cachoeiras de Macacu","Interior de fragmento florestal cujo o entorno é ocupado por propriedades particulares pequenas e pela Fazenda Recanto","-42.795278","-22.499722","50","50",NA,"Árvore de 5 metros de altura e PAP de 17cm","RFA24695",NA,NA,NA,"42º47'43''W","22º29'59''S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:32:46-03","UFRJ","RFA","6951","PreservedSpecimen","Plantae",NA,NA,"Thymelaeaceae","Daphnopsis","martii","Daphnopsis martii","Meisn.","Benevides","P. Occhioni","388","1945","09","17",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Serra Carioca, Distrito Federal","-43.2075004577637","-22.9027996063232",NA,NA,NA,"Arbusto de flor branca","RFA50097",NA,"57442","auto",NA,NA,"1984",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:32:46-03","UFRJ","RFA","5003","PreservedSpecimen","Plantae",NA,NA,"Thymelaeaceae","Daphnopsis","martii","Daphnopsis martii","Meisn.","C. L. Benevides de Abreu","E. Pereira","4327","1958","09","23",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Distrito Federal, Mesa do Imperador","-43.2075004577637","-22.9027996063232",NA,NA,NA,"Arbusto de flores alvas","RFA50100",NA,"57442","auto",NA,NA,"1984",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:32:46-03","UFRJ","RFA","7660","PreservedSpecimen","Plantae",NA,NA,"Thymelaeaceae","Daphnopsis","martii","Daphnopsis martii","Meisn.","C. de Benevides","P. Occhioni","466","1945","10","28",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Estrada da Vista Chinesa, Distrito Federal","-43.2075004577637","-22.9027996063232",NA,NA,NA,"Arbusto de flor creme","RFA50095",NA,"57442","auto",NA,NA,"1984",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:50:03-03","EAO","IAN","103763","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Thymelaeaceae","Daphnopsis","martii","Daphnopsis martii","Meisn.",NA,"Kuhlmann, JG","589","1926","10","08","Southern America","Brasil","Rio de Janeiro",NA,"Gávea, mata Pai Ricardo, perto da sede do Horto Florestal.",NA,NA,NA,NA,NA,"Arvoreta de 1-2m de altura.","IAN103763",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 10:00:37-03","NBC","NL-BOTANY","U.1743326","PreservedSpecimen","Plantae",NA,"Malvales","Thymelaeaceae","Daphnopsis","martii","Daphnopsis martii","Meisn.",NA,"Plowman TC",NA,"1980","04","21","Southern America","Brazil",NA,NA,"Plants of Brazil. State of Rio de janeiro. Mun. Rio de Janeiro. Jacarepagua. Vargem Grande Mata de Lagoa.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1743326 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1743326","NL-U1743326",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:20:10-03","ESALQ","ESA","34021","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Thymelaeaceae","Daphnopsis","martii","Daphnopsis martii","Meissn.","Rodrigues, R.R.","Ferretti, A.R. et al.","33.0","1996","12","12",NA,"Brasil","São Paulo","Cunha",NA,"-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,"ESA034021",NA,"38855","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:20:10-03","ESALQ","ESA","93559","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Thymelaeaceae","Daphnopsis","martii","Daphnopsis martii","Meissn.","Tsuji, R. & Souza, V.C.","Ivanauskas, N.M. et al.","4501.0","2001","08","15",NA,"Brasil","São Paulo","São Sebastião",NA,"-45.4099998474121","-23.7600002288818",NA,NA,NA,NA,"ESA093559",NA,"41977","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
